frame,x,y,z
0,[-0.8359375  -0.81835938 -0.74804688 -0.77148438],[1.00585938 1.10546875 1.14648438 1.19140625],[0.51757812 0.47070312 0.328125   0.31445312]
1,[-0.79101562 -0.81835938 -0.79101562 -0.81835938],[1.03710938 1.07617188 1.11914062 1.15625   ],[0.52734375 0.53515625 0.31640625 0.32617188]
2,"[-0.8359375  -0.77148438 -0.765625   -0.79101562 -0.77148438 -0.796875
 -0.79101562 -0.81835938 -0.74804688 -0.7265625  -0.72265625 -0.74804688
 -0.77148438 -0.84375     0.04296875  0.0859375 ]","[1.04296875 1.15625    1.01953125 1.05664062 1.13085938 1.18164062
 1.02539062 1.06445312 1.17773438 1.24023438 1.09765625 1.15039062
 1.19140625 1.20507812 1.3515625  1.3046875 ]","[ 0.43945312  0.421875    0.47460938  0.48242188  0.48828125  0.47070312
  0.546875    0.55664062  0.1796875   0.21484375  0.34570312  0.30859375
  0.30859375  0.296875   -0.140625   -0.37109375]"
3,"[-0.72265625 -0.74804688 -0.81835938 -0.796875   -0.765625   -0.79101562
 -0.77148438 -0.796875   -0.8359375  -0.81835938 -0.72265625 -0.74804688
 -0.77148438 -0.796875    0.12304688 -0.72265625 -0.74804688 -0.77148438
 -0.796875    0.04296875  0.04296875  0.0859375  -0.69726562  0.12695312]","[1.08789062 1.11914062 1.12304688 1.19726562 1.015625   1.04492188
 1.11132812 1.15234375 0.95117188 1.015625   1.125      1.16601562
 1.20703125 1.24023438 1.2890625  1.109375   1.14453125 1.18359375
 1.22460938 1.34179688 1.3515625  1.31445312 1.09179688 1.32617188]","[ 0.38085938  0.40820312  0.42773438  0.4296875   0.48046875  0.5078125
  0.53125     0.53515625  0.61328125  0.64257812  0.24414062  0.24609375
  0.24414062  0.28125    -0.21679688  0.3125      0.328125    0.33789062
  0.34179688 -0.2109375  -0.140625   -0.33789062  0.21484375 -0.26757812]"
4,"[ 0.04101562 -0.72265625 -0.74804688 -0.81835938 -0.796875   -0.72265625
 -0.74804688 -0.81835938 -0.84375    -0.765625   -0.79101562 -0.81835938
 -0.79101562 -0.81835938 -0.72265625 -0.74804688 -0.77148438 -0.75
  0.08203125 -0.72265625 -0.74804688 -0.77148438 -0.796875    0.0859375
 -0.69726562]","[1.30859375 1.09375    1.1171875  1.11523438 1.19335938 1.05273438
 1.06835938 1.07421875 1.10546875 1.0234375  0.97460938 1.03125
 1.14453125 1.19335938 1.140625   1.16601562 1.20507812 1.26953125
 1.30273438 1.1171875  1.14453125 1.1796875  1.21875    1.34375
 1.11132812]","[-0.0859375   0.36132812  0.41210938  0.44726562  0.43554688  0.46679688
  0.52539062  0.53710938  0.5625      0.46484375  0.6328125   0.6171875
  0.2109375   0.14257812  0.16601562  0.24414062  0.25195312  0.27929688
 -0.13476562  0.27929688  0.33007812  0.3515625   0.35742188 -0.1875
  0.015625  ]"
5,"[ 0.04101562 -0.765625   -0.79101562 -0.77148438 -0.796875   -0.765625
 -0.79101562 -0.81835938 -0.84375    -0.765625   -0.8359375  -0.81835938
 -0.74804688 -0.77148438 -0.72265625 -0.74804688 -0.77148438 -0.796875
 -0.74804688 -0.79101562 -0.72265625 -0.74804688 -0.77148438 -0.796875
 -0.65625   ]","[1.31054688 1.07421875 1.08398438 1.13476562 1.16796875 1.04101562
 1.04882812 1.05859375 1.0859375  1.00585938 0.97851562 1.0234375
 1.18554688 1.20898438 1.13867188 1.16601562 1.19726562 1.23046875
 0.203125   0.28320312 1.12304688 1.14453125 1.171875   1.203125
 1.13671875]","[-0.04492188  0.33007812  0.41992188  0.4765625   0.50390625  0.421875
  0.50195312  0.56835938  0.59960938  0.5         0.5703125   0.63085938
  0.12695312  0.23242188  0.171875    0.24609375  0.29101562  0.31640625
  0.18945312  0.08007812  0.25585938  0.33398438  0.37890625  0.40820312
  0.04882812]"
6,"[-0.81835938  0.04101562 -0.72265625 -0.79101562 -0.81835938 -0.796875
 -0.765625   -0.79101562 -0.86328125 -0.87890625 -0.79101562  0.08203125
 -0.72265625 -0.74804688 -0.77148438 -0.796875   -0.72265625 -0.79101562
 -0.8359375  -0.72265625 -0.74804688 -0.77148438 -0.796875   -0.61523438
 -0.57421875]","[0.17773438 1.31054688 1.08203125 1.08203125 1.1015625  1.16601562
 0.27734375 1.02929688 1.02929688 0.91015625 0.29296875 1.29101562
 1.13085938 1.1640625  1.1953125  1.23046875 0.29882812 0.28320312
 0.296875   1.11132812 1.140625   1.16992188 1.20507812 1.11132812
 1.17382812]","[ 0.109375   -0.07421875  0.39257812  0.42578125  0.47851562  0.50390625
  0.22460938  0.54101562  0.5546875   0.61328125 -0.01953125 -0.2265625
  0.21484375  0.25390625  0.29101562  0.3203125   0.15429688  0.07421875
  0.09179688  0.30664062  0.34179688  0.3828125   0.40625     0.328125
  0.125     ]"
7,"[-0.84375    -0.69726562 -0.765625   -0.79101562 -0.86328125 -0.796875
 -0.84375     0.12304688 -0.72265625 -0.79101562 -0.81835938 -0.74804688
 -0.84375     0.86328125  0.80859375 -0.69726562 -0.72265625 -0.79101562
 -0.81835938  0.12304688 -0.69726562  0.12304688]","[0.         0.97851562 1.02148438 1.06640625 1.078125   0.
 0.         1.25390625 1.11132812 1.12890625 1.16992188 0.22851562
 0.         0.21875    0.76757812 1.01953125 1.08398438 1.1015625
 1.14648438 1.28515625 1.05273438 1.2734375 ]","[ 0.15820312  0.52929688  0.46875     0.4609375   0.453125    0.23046875
  0.13085938 -0.36914062  0.30273438  0.28125     0.27539062  0.15625
  0.08007812 -0.03320312  0.1484375   0.44140625  0.38867188  0.37304688
  0.36132812 -0.23828125  0.35742188 -0.29296875]"
8,"[-0.796875   -0.81835938  0.86328125 -0.73828125 -0.765625   -0.79101562
 -0.86328125 -0.74804688 -0.81835938 -0.80664062 -0.8359375  -0.72265625
 -0.74804688 -0.81835938 -0.69726562 -0.72265625 -0.79101562 -0.86328125
  0.046875   -0.74804688 -0.81835938 -0.890625    0.8203125   0.76953125
 -0.69726562 -0.765625   -0.79101562 -0.86328125 -0.37304688  0.08203125
  0.08203125  0.6328125  -0.86132812  0.08203125]","[0.         0.         0.         0.99609375 1.03710938 1.07226562
 1.08789062 0.         0.         0.93359375 0.97460938 1.13671875
 1.17578125 0.14453125 1.08007812 1.12109375 1.13085938 1.14257812
 0.7421875  0.08789062 0.12109375 0.         0.359375   0.41601562
 1.05664062 1.06835938 1.10546875 1.11914062 0.37304688 1.30859375
 1.29492188 0.37109375 0.4453125  1.30273438]","[ 0.24023438  0.26367188  0.2265625   0.4296875   0.43359375  0.44726562
  0.43164062  0.38476562  0.30859375  0.5703125   0.57617188  0.18164062
  0.19140625  0.15234375  0.26367188  0.265625    0.27148438  0.25390625
  0.09375     0.26367188  0.171875    0.13085938  0.27734375  0.453125
  0.34765625  0.34765625  0.35742188  0.33789062  0.59765625 -0.04492188
 -0.20117188 -0.15820312 -0.16992188 -0.14257812]"
9,"[-0.84375     0.7421875  -0.73828125 -0.765625   -0.79101562 -0.90820312
 -0.796875   -0.84375    -0.80664062 -0.87890625 -0.73828125 -0.765625
 -0.8359375  -0.73828125 -0.765625   -0.79101562 -0.90820312 -0.65625
 -0.74804688 -0.79101562 -0.86328125  0.84960938  0.76953125  0.7421875
 -0.73828125 -0.765625   -0.79101562 -0.90820312  0.12304688 -0.3984375
  0.29296875]","[0.         0.66992188 1.02539062 1.05273438 1.09570312 1.08984375
 0.         0.         0.99023438 1.0078125  1.08398438 1.11914062
 1.12890625 1.0703125  1.10351562 1.14453125 1.13085938 0.
 0.1015625  0.26953125 0.22070312 0.35351562 0.59179688 0.69140625
 1.04882812 1.08203125 1.125      1.11523438 1.28710938 0.
 0.828125  ]","[ 0.25        0.2578125   0.35742188  0.39257812  0.38867188  0.31640625
  0.234375    0.18945312  0.46679688  0.4375      0.0625      0.09765625
  0.08789062  0.18359375  0.21875     0.203125    0.09375     0.45117188
  0.2578125   0.11523438  0.          0.17773438  0.16210938  0.19335938
  0.27734375  0.30664062  0.296875    0.20898438 -0.22460938  0.703125
 -0.328125  ]"
