frame,x,y,z
0,[0.6015625  0.64453125 0.6015625 ],[1.81054688 1.75976562 1.82226562],[ 0.24023438 -0.07226562 -0.09960938]
1,[0.6015625  0.5859375  0.66015625],[1.82226562 1.77734375 1.80273438],[ 0.11914062 -0.1171875  -0.06835938]
2,[0.52734375 0.6015625  0.64453125 0.66015625],[1.79492188 1.81835938 1.75585938 1.80273438],[ 0.1171875   0.1640625  -0.13476562 -0.09960938]
3,[0.52734375 0.6015625  0.64453125 0.66015625],[1.79492188 1.81835938 1.75585938 1.80273438],[ 0.1171875   0.1640625  -0.13476562 -0.09960938]
4,[0.6015625  0.64453125 0.6015625 ],[1.81640625 1.75976562 1.81835938],[ 0.18164062 -0.06054688 -0.17578125]
5,[0.6015625 0.5859375 0.6015625],[1.81445312 1.77734375 1.82421875],[ 0.20898438 -0.1171875  -0.08007812]
6,[0.6015625  0.5859375  0.66015625],[1.8125     1.76953125 1.8046875 ],[ 0.2265625  -0.21289062 -0.06445312]
7,[0.64453125 0.54101562 0.6015625 ],[1.75390625 1.84375    1.8125    ],[ 0.16015625 -0.04296875 -0.22070312]
8,[0.6015625],[1.82617188],[-0.04296875]
9,[0.5859375  0.66015625],[1.77734375 1.8046875 ],[ 0.12304688 -0.03710938]
10,[0.54101562],[1.83984375],[-0.12109375]
11,[0.6015625  0.52734375 0.6015625 ],[1.79882812 1.79882812 1.8203125 ],[ 0.31640625 -0.01757812 -0.15429688]
12,[ 0.5859375   0.66015625 -0.26367188  0.5859375   0.66015625],[1.765625  1.796875  0.484375  1.78125   1.8046875],[ 0.234375    0.1640625   0.109375   -0.04296875 -0.04492188]
