frame,x,y,z
0,[-0.80078125],[1.76171875],[0.36914062]
1,[-0.80078125 -0.80078125],[1.76171875 1.79882812],[0.36914062 0.05859375]
2,[ 0.73828125 -0.80078125 -0.80078125],[1.06835938 1.74023438 1.79492188],[0.19140625 0.45898438 0.12890625]
3,[-0.80078125 -0.86132812],[1.76953125 1.76953125],[0.33007812 0.04492188]
4,[-0.80078125],[1.79882812],[0.04296875]
5,[-0.78125    -0.86132812  0.77929688 -0.78125    -0.80078125],[1.70507812 1.71875    1.04882812 1.75       1.79101562],[0.421875   0.42773438 0.13085938 0.13867188 0.16210938]
6,[-0.80078125 -0.86132812],[1.734375   1.76953125],[0.4765625 0.0703125]
7,[-0.84179688 -0.80078125 -0.80078125],[1.66796875 1.72070312 1.78515625],[0.45507812 0.5234375  0.21875   ]
8,[-0.84179688 -0.86132812 -0.84179688 -0.86132812 -0.78125    -0.80078125],[1.72070312 1.75390625 1.68164062 1.71484375 1.75       1.79296875],[0.1640625  0.24609375 0.40234375 0.44140625 0.14257812 0.15820312]
9,"[-0.78125    -0.80078125 -0.84179688 -0.86132812 -0.80078125  0.73828125
 -0.78125    -0.80078125]","[1.73046875 1.7734375  1.6875     1.71484375 1.79492188 1.0703125
 1.74609375 1.78515625]","[0.30078125 0.30859375 0.37890625 0.44335938 0.11523438 0.18359375
 0.19726562 0.22265625]"
10,"[ 0.77929688 -0.78125    -0.86132812  0.73828125 -0.84179688 -0.86132812
 -0.78125    -0.80078125  0.77929688 -0.78125    -0.80078125]","[1.00390625 1.72265625 1.73046875 0.95898438 1.66796875 1.7109375
 1.75585938 1.796875   1.015625   1.74414062 1.78125   ]","[0.328125   0.33789062 0.37890625 0.5078125  0.44921875 0.453125
 0.04882812 0.1015625  0.2890625  0.20703125 0.24804688]"
