frame,x,y,z
0,[-0.4921875],[1.90234375],[-0.12109375]
1,[-0.4921875],[1.8984375],[-0.171875]
2,[-0.48046875 -0.4921875  -0.4921875  -0.41992188 -0.43164062 -0.50390625],[1.859375   1.90234375 1.90625    1.875      1.91796875 1.93359375],[ 0.07617188  0.11328125  0.01171875 -0.05664062 -0.12109375 -0.2734375 ]
3,"[ 0.80664062  0.83789062 -0.41992188 -0.4921875  -0.50390625  0.87695312
 -0.41992188 -0.43164062  0.84179688  0.83789062 -0.41992188 -0.43164062
 -0.50390625]","[0.828125   0.84765625 1.875      1.90625    1.95117188 0.83007812
 1.87109375 1.90625    0.79296875 0.85546875 1.87304688 1.91796875
 1.94335938]","[ 0.19921875  0.25585938 -0.00976562 -0.02734375  0.05664062  0.17382812
 -0.12304688 -0.2421875   0.19140625  0.22460938 -0.078125   -0.10546875
 -0.18359375]"
4,"[-0.7734375   0.84179688  0.83789062  0.87109375 -0.48046875 -0.4921875
 -0.50390625  0.84179688  0.87695312  0.87109375 -0.41992188 -0.43164062
 -0.50390625 -0.73828125  0.84179688  0.87695312  0.87109375 -0.48046875
 -0.4921875  -0.50390625  0.73828125 -0.76953125  0.7734375  -0.76953125]","[0.79492188 0.79101562 0.828125   0.83984375 1.86132812 1.90625
 1.94726562 0.80859375 0.828125   0.88671875 1.86914062 1.91601562
 1.9453125  0.82617188 0.80078125 0.8125     0.86132812 1.859375
 1.90625    1.95117188 0.828125   0.86523438 0.81054688 0.87304688]","[ 0.19140625  0.19726562  0.31445312  0.375       0.02539062  0.05664062
  0.13671875  0.09765625  0.17773438  0.24414062 -0.15429688 -0.14257812
 -0.15234375  0.1953125   0.14648438  0.2421875   0.32226562 -0.0703125
 -0.04101562 -0.00195312 -0.18359375  0.17773438 -0.10742188  0.140625  ]"
5,"[-0.80664062 -0.7421875  -0.73828125  0.84179688  0.87695312  0.91015625
 -0.48046875 -0.4921875   0.84179688  0.87695312  0.91015625 -0.41992188
 -0.43164062 -0.890625   -0.80078125 -0.80664062 -0.7421875  -0.73828125
  0.84179688  0.87695312  0.91015625 -0.41992188 -0.4921875   0.80859375
  0.84375   ]","[0.63671875 0.765625   0.8359375  0.74023438 0.79492188 0.80859375
 1.86132812 1.90625    0.796875   0.8359375  0.86328125 1.85351562
 1.90039062 0.         0.56835938 0.640625   0.77539062 0.84375
 0.7734375  0.8203125  0.84375    1.87109375 1.90039062 0.1171875
 0.26757812]","[ 0.1015625   0.16015625  0.14453125  0.33984375  0.29492188  0.34765625
  0.00390625  0.01757812  0.17382812  0.13867188  0.16992188 -0.28320312
 -0.28125    -0.11523438 -0.08398438  0.07226562  0.10546875  0.09960938
  0.2578125   0.21484375  0.25195312 -0.140625   -0.1484375   0.7734375
  0.69335938]"
6,"[-0.79101562 -0.80078125 -0.83789062  0.7734375   0.84179688  0.87695312
  0.87109375 -0.48046875 -0.4921875  -0.80078125 -0.80664062  0.87890625
  0.9140625   0.91015625 -0.41992188 -0.4921875  -0.79101562 -0.76953125
 -0.80664062  0.94335938  0.7734375   0.87890625  0.9140625   0.91015625
 -0.48046875 -0.4921875 ]","[0.45898438 0.546875   0.59570312 0.69921875 0.75585938 0.79492188
 0.86914062 1.86132812 1.90625    0.57226562 0.63867188 0.75976562
 0.79492188 0.86914062 1.8515625  1.87304688 0.48242188 0.61132812
 0.64257812 0.50976562 0.73828125 0.74414062 0.77734375 0.85351562
 1.8515625  1.89648438]","[ 0.20898438  0.171875    0.07617188  0.421875    0.3046875   0.29492188
  0.29882812 -0.00976562 -0.03320312  0.03515625 -0.08203125  0.15820312
  0.1328125   0.13671875 -0.29882812 -0.35351562  0.14648438  0.0703125
  0.02148438  0.1171875   0.34960938  0.22070312  0.21484375  0.21484375
 -0.18164062 -0.19921875]"
7,"[-0.80078125 -0.80664062 -0.80859375  0.80859375  0.87890625  0.953125
  0.98828125 -0.48046875 -0.48046875 -0.48046875 -0.80078125 -0.7734375
 -0.80859375  0.80859375  0.91601562  0.953125    1.02929688 -0.41992188
 -0.4921875  -0.79101562 -0.76953125 -0.7734375  -0.77539062  0.80859375
  0.87890625  0.953125   -0.48046875 -0.703125   -0.79101562 -0.66796875
 -0.75195312 -0.66796875]","[0.57226562 0.63671875 0.7109375  0.6796875  0.71875    0.734375
 0.7890625  1.859375   1.84765625 1.8515625  0.57226562 0.68164062
 0.6953125  0.73828125 0.71484375 0.7578125  0.73632812 1.87109375
 1.89648438 0.4921875  0.61523438 0.68164062 0.75       0.71484375
 0.74414062 0.74804688 1.86132812 0.80859375 0.81835938 0.88671875
 0.9375     0.85742188]","[ 0.04101562  0.09375     0.06445312  0.38671875  0.29101562  0.1953125
  0.02148438  0.0625     -0.21679688 -0.18945312 -0.03710938 -0.04492188
 -0.15820312  0.2578125   0.15429688  0.06054688 -0.03515625 -0.12109375
 -0.18945312 -0.10351562 -0.00195312  0.015625    0.00585938  0.31835938
  0.21484375  0.13476562 -0.02148438  0.34179688  0.55273438  0.18554688
  0.40039062  0.2890625 ]"
8,"[-0.8203125  -0.83007812 -0.80664062 -0.77539062 -0.7734375   0.87890625
  0.953125    0.84179688  0.953125   -0.46875    -0.48046875 -0.4921875
 -0.79101562 -0.83007812 -0.7734375  -0.7421875  -0.73828125  0.91601562
  0.953125    0.98828125 -0.46875    -0.48046875 -0.75195312 -0.79101562
 -0.80078125 -0.80664062 -0.7421875  -0.73828125  0.91601562  0.953125
 -0.48046875  0.80859375  0.80859375]","[0.45117188 0.51953125 0.63867188 0.74804688 0.80273438 0.70117188
 0.71289062 0.80859375 0.75976562 1.80078125 1.83203125 1.85546875
 0.50195312 0.52734375 0.68164062 0.77929688 0.84960938 0.703125
 0.75195312 0.7890625  1.80859375 1.84570312 0.46484375 0.50390625
 0.5703125  0.64257812 0.78320312 0.84375    0.67382812 0.73632812
 1.85546875 0.66601562 0.54296875]","[ 0.04882812  0.09960938  0.07617188  0.04296875  0.15429688  0.33203125
  0.26757812  0.09960938  0.0234375  -0.23828125 -0.328125   -0.43945312
 -0.03320312  0.01757812 -0.02734375 -0.078125    0.02148438  0.19921875
  0.12109375  0.01953125 -0.15625    -0.24023438  0.11132812  0.01367188
  0.05664062  0.04492188 -0.00585938  0.08984375  0.28515625  0.1953125
 -0.15039062  0.41210938  0.5625    ]"
9,"[-0.87890625 -0.7734375  -0.7421875  -0.80859375  0.87890625  0.9140625
  0.94921875  0.87890625  0.953125    0.91015625 -0.46875    -0.41992188
 -0.70898438 -0.7421875  -0.7734375   0.91601562  0.9140625   0.94921875
 -0.46875    -0.48046875 -0.80664062 -0.87890625  0.953125   -0.70898438
 -0.7421875  -0.7734375   0.91601562  0.9140625   0.94921875 -0.48046875
  0.90234375 -0.91601562  0.93554688  0.984375    0.93554688]","[0.23046875 0.65429688 0.74414062 0.69335938 0.68164062 0.73046875
 0.7734375  0.765625   0.75585938 0.87695312 1.79492188 1.859375
 0.74804688 0.77539062 0.79296875 0.69140625 0.78710938 0.82226562
 1.8046875  1.8515625  0.31445312 0.28125    0.24023438 0.74023438
 0.76171875 0.77148438 0.65625    0.76757812 0.80273438 1.85742188
 0.28515625 0.53125    0.20117188 0.         0.31835938]","[ 0.23046875  0.19335938  0.24414062  0.36132812  0.36914062  0.34179688
  0.3203125   0.11914062  0.0859375   0.08203125 -0.2734375  -0.24414062
  0.04101562  0.11523438  0.19726562  0.23632812  0.16992188  0.15429688
 -0.19140625 -0.18945312  0.20703125  0.16601562  0.0390625   0.11328125
  0.18164062  0.27148438  0.32226562  0.24804688  0.23828125 -0.10742188
  0.41015625  0.50390625  0.38671875  0.88867188  0.296875  ]"
