frame,x,y,z
0,"[-0.01367188 -0.03125    -0.05273438  0.05273438  0.72851562  0.70703125
  0.73828125  0.74414062  0.8125      0.83203125  0.79882812  0.8046875
  0.81054688  0.81640625  0.76953125  0.515625    0.25976562  0.25976562
  0.5234375   1.3125     -2.16601562 -0.01367188 -0.03125    -0.05664062
  0.046875    0.70703125  0.73828125  0.74414062  0.76171875  0.78125
  0.79882812  0.8046875   0.81054688  0.81640625  0.51367188  0.515625
  0.          0.25976562  0.5234375   1.3125     -2.16601562  0.6953125
  0.7109375   0.          0.74414062  0.76171875  0.8046875   0.81054688
  0.25976562 -0.01367188 -0.02929688 -0.05273438  0.05273438  0.70703125
  0.73828125  0.79492188  0.76171875  0.83203125  0.79882812  0.8046875
  0.81054688  0.81640625  0.76953125  0.515625  ]","[0.02734375 0.02148438 0.02539062 0.13476562 0.37890625 0.46679688
 0.50195312 1.37109375 1.37109375 1.40429688 4.9375     4.98828125
 5.03515625 5.11132812 8.03320312 8.1328125  8.21484375 8.27148438
 8.30664062 8.25390625 8.28710938 0.02929688 0.03320312 0.
 0.13476562 0.44335938 0.48046875 1.34375    1.37304688 1.40820312
 4.86132812 4.9140625  4.96484375 5.05664062 7.93554688 8.03125
 8.15234375 8.1875     8.22265625 8.29101562 8.18164062 1.34765625
 1.37304688 8.08789062 1.40039062 1.43359375 5.07617188 5.11523438
 8.31835938 0.0234375  0.015625   0.046875   0.13867188 0.48242188
 0.515625   1.359375   1.421875   1.42382812 4.99414062 5.0390625
 5.08398438 5.14453125 8.11132812 8.20117188]","[-0.0234375  -0.06640625  0.09765625  0.04296875  0.13671875  0.19921875
  0.16796875  0.3046875   0.32226562  0.328125    1.03515625  0.9765625
  0.9296875   0.69140625  1.51367188  1.27148438  1.05664062  0.88867188
  0.80859375 -0.828125    1.3046875  -0.01953125 -0.06054688  0.1015625
  0.05273438  0.24609375  0.22265625  0.40625     0.42382812  0.42578125
  1.3515625   1.29492188  1.25        1.01367188  2.0390625   1.80664062
  1.484375    1.47265625  1.42773438 -0.29101562  1.8515625   0.47460938
  0.50390625  1.96484375  0.10546875  0.09960938  0.26171875  0.21875
 -0.1796875  -0.02539062 -0.06835938  0.08789062  0.03125     0.15625
  0.11914062  0.2109375   0.21484375  0.22070312  0.71875     0.66015625
  0.60546875  0.34960938  1.015625    0.70507812]"
1,"[-0.01367188 -0.03125    -0.05273438  0.05273438  0.70703125  0.73828125
  0.74414062  0.8125      0.83203125 -0.8203125   0.79882812  0.8046875
  0.81054688  0.81640625  0.76953125  0.515625    0.25976562  0.51953125
  0.5234375   1.3125     -2.16601562 -0.01367188 -0.03125    -0.05664062
  0.046875    0.70703125  0.70898438  0.74414062  0.76171875  0.78125
 -0.8203125   0.79882812  0.8046875   0.81054688  0.81640625  0.51367188
  0.515625    0.          0.25976562  0.5234375   1.3125     -2.16601562
  0.6953125   0.76171875  0.          0.26171875  0.74414062  0.8125
  0.8046875   0.81054688  0.25976562  0.25976562  0.5234375  -0.01367188
 -0.02929688  0.0390625   0.05273438  0.72851562  0.70703125  0.73828125
  0.79492188  0.76171875  0.83203125 -0.74414062]","[0.02734375 0.02148438 0.02539062 0.13476562 0.46875    0.50195312
 1.37109375 1.37109375 1.40429688 2.14257812 4.9375     4.98632812
 5.03515625 5.11132812 8.03125    8.13476562 8.21484375 8.23828125
 8.30664062 8.25390625 8.296875   0.02929688 0.03320312 0.
 0.13476562 0.4453125  0.51953125 1.34375    1.37304688 1.40625
 2.08984375 4.859375   4.9140625  4.96289062 5.05664062 7.94140625
 8.03515625 8.15234375 8.1875     8.22460938 8.29101562 8.19140625
 1.34765625 1.34179688 8.08984375 8.15039062 1.39648438 1.40234375
 5.05859375 5.10742188 8.28125    8.3125     8.32617188 0.0234375
 0.015625   0.08984375 0.13671875 0.390625   0.48632812 0.51757812
 1.359375   1.41992188 1.42578125 2.20703125]","[-0.0234375  -0.06640625  0.09765625  0.04492188  0.1953125   0.16796875
  0.3046875   0.32226562  0.328125    0.6484375   1.03515625  0.97851562
  0.92773438  0.6796875   1.515625    1.26171875  1.05273438  1.07226562
  0.80664062 -0.82617188  1.23828125 -0.01953125 -0.06054688  0.1015625
  0.05273438  0.24414062  0.22851562  0.40820312  0.421875    0.42773438
  0.80078125  1.35351562  1.29492188  1.2578125   1.01171875  2.015625
  1.78515625  1.4765625   1.47851562  1.41601562 -0.30273438  1.8046875
  0.47460938  0.51367188  1.95507812  1.8515625   0.13476562  0.140625
  0.49023438  0.34960938 -0.10742188 -0.31835938 -0.54882812 -0.02539062
 -0.06835938  0.05859375  0.03515625  0.09960938  0.14453125  0.11328125
  0.21289062  0.21484375  0.21875     0.50390625]"
2,"[-0.01367188 -0.03125    -0.05273438  0.05273438  0.70703125  0.73828125
  0.74414062  0.8125      0.83203125  0.79882812  0.8046875   0.81054688
  0.81640625  0.76953125  0.515625    0.51757812  0.25976562  0.5234375
  1.3125     -2.16601562 -0.01367188 -0.03125    -0.05664062  0.046875
  0.70703125  0.73828125  0.74414062  0.76171875  0.78125     0.79882812
  0.8046875   0.81054688  0.65234375  0.51367188  0.2578125   0.25976562
  0.25976562  0.26171875  1.3125     -2.16601562  0.6953125   0.76171875
  0.8046875   0.6484375   0.          0.          0.26171875  0.74414062
  0.76171875  0.25976562  0.25976562  0.78320312 -2.16601562 -0.01367188
 -0.02929688 -0.05273438  0.05273438  0.70703125  0.73828125  0.79492188
  0.8125      0.83203125  0.79882812  0.8046875 ]","[0.02734375 0.02148438 0.02539062 0.13476562 0.46484375 0.49804688
 1.37109375 1.37109375 1.40429688 4.93554688 4.98632812 5.03515625
 5.11132812 8.03125    8.13085938 8.18164062 8.27148438 8.3046875
 8.25585938 8.2890625  0.02929688 0.03320312 0.         0.13476562
 0.4375     0.47265625 1.34375    1.37304688 1.40820312 4.85351562
 4.91210938 4.96289062 5.08203125 7.93359375 8.05859375 8.11914062
 8.1875     8.27539062 8.29101562 8.18554688 1.34960938 1.33984375
 4.72851562 4.859375   7.9921875  8.11132812 8.17382812 1.40039062
 1.43359375 8.27929688 8.31835938 8.32421875 8.38476562 0.0234375
 0.015625   0.046875   0.13867188 0.48242188 0.515625   1.36132812
 1.39257812 1.42578125 4.99414062 5.0390625 ]","[-0.0234375  -0.06640625  0.09765625  0.04296875  0.20507812  0.17773438
  0.30273438  0.3203125   0.32421875  1.04492188  0.97851562  0.92773438
  0.6875      1.52148438  1.28125     1.20507812  0.890625    0.81054688
 -0.8203125   1.28515625 -0.01953125 -0.06054688  0.1015625   0.05078125
  0.25585938  0.24023438  0.40625     0.421875    0.42382812  1.375
  1.30664062  1.2578125   0.99804688  2.05273438  1.73632812  1.63085938
  1.47851562  1.16992188 -0.28515625  1.83789062  0.47265625  0.51953125
  1.859375    1.68359375  2.18554688  1.8671875   1.74023438  0.1015625
  0.10546875  0.16601562 -0.15820312 -0.09375     0.27148438 -0.02539062
 -0.06835938  0.08789062  0.03515625  0.15429688  0.11914062  0.20703125
  0.21679688  0.21484375  0.71679688  0.66015625]"
3,"[-0.01367188 -0.03125    -0.05273438  0.05273438  0.70703125  0.73828125
  0.74414062  0.8125      0.78125     0.79882812  0.8046875   0.81054688
  0.81640625  0.76953125  0.515625    0.51757812  0.25976562  0.5234375
  1.3125     -2.16601562 -0.01367188 -0.03125    -0.05273438  0.046875
  0.70703125  0.73828125  0.74414062  0.76171875  0.78125    -0.8203125
  0.79882812  0.8046875   0.81054688  0.65234375  0.51367188  0.515625
  0.25976562  0.25976562  0.5234375   1.3125     -2.16601562  0.6953125
  0.76171875  0.8046875   0.6484375   0.          0.79492188  0.8125
  0.8046875   0.81054688  0.51953125 -0.01367188 -0.02929688 -0.05273438
  0.05273438  0.70703125  0.73828125  0.79492188  0.8125      0.83203125
  0.79882812  0.8046875   0.81054688  0.81640625]","[0.02734375 0.02148438 0.02539062 0.13476562 0.46875    0.50195312
 1.37109375 1.37109375 1.43554688 4.93554688 4.98828125 5.03515625
 5.109375   8.03320312 8.13476562 8.18164062 8.27148438 8.30664062
 8.25585938 8.29492188 0.02929688 0.03515625 0.         0.13476562
 0.44140625 0.47851562 1.34375    1.375      1.40820312 2.09375
 4.859375   4.91210938 4.96289062 5.08203125 7.93554688 8.02539062
 8.11914062 8.18945312 8.22460938 8.29101562 8.18554688 1.34570312
 1.3359375  4.84375    4.90234375 8.10546875 1.37109375 1.40429688
 5.078125   5.1171875  8.30664062 0.0234375  0.015625   0.046875
 0.13867188 0.48632812 0.51757812 1.359375   1.39257812 1.42578125
 4.99414062 5.0390625  5.08398438 5.14453125]","[-0.0234375  -0.06640625  0.09765625  0.04296875  0.19335938  0.16796875
  0.3046875   0.32226562  0.31835938  1.0390625   0.9765625   0.9296875
  0.69335938  1.5078125   1.25390625  1.1953125   0.88476562  0.80273438
 -0.81640625  1.25       -0.01953125 -0.06054688  0.10546875  0.04882812
  0.25195312  0.2265625   0.40429688  0.41992188  0.42578125  0.79101562
  1.35742188  1.30273438  1.25390625  1.          2.04296875  1.83007812
  1.63085938  1.46875     1.41210938 -0.28515625  1.83398438  0.48242188
  0.52929688  1.54101562  1.55273438  1.89453125  0.11132812  0.10351562
  0.19726562  0.15625    -0.15039062 -0.02539062 -0.06835938  0.08789062
  0.02929688  0.14648438  0.109375    0.20898438  0.21875     0.21484375
  0.71484375  0.65625     0.609375    0.36523438]"
4,"[-0.01367188 -0.03125    -0.05273438  0.05273438  0.70703125  0.73828125
  0.74414062  0.8125      0.83203125 -0.8203125   0.79882812  0.8046875
  0.81054688  0.81640625  0.76953125  0.515625    0.51757812  0.25976562
  0.5234375   1.3125     -2.16601562 -0.01367188 -0.03125    -0.05664062
  0.046875    0.70703125  0.73828125  0.74414062  0.76171875  0.78125
 -0.8203125   0.79882812  0.8046875   0.81054688  0.81640625  0.51367188
  0.2578125   0.25976562  0.25976562  0.26171875  1.3125     -2.16601562
  0.6953125   0.7109375   0.64257812  0.6484375   0.          0.74414062
  0.76171875  0.25976562 -1.89453125 -0.01367188 -0.02929688  0.04296875
  0.70703125  0.73828125  0.79492188  0.8125      0.83203125 -0.74414062
  0.79882812  0.8046875   0.81054688  0.81640625]","[0.02734375 0.02148438 0.02539062 0.13476562 0.46679688 0.5
 1.37109375 1.37109375 1.40429688 2.14257812 4.93554688 4.98632812
 5.03515625 5.11132812 8.02929688 8.1328125  8.18359375 8.27148438
 8.30664062 8.25195312 8.29101562 0.02929688 0.03320312 0.
 0.13476562 0.44335938 0.47460938 1.34375    1.375      1.40820312
 2.09375    4.86328125 4.9140625  4.96484375 5.05664062 7.9296875
 8.0625     8.125      8.18945312 8.27539062 8.2890625  8.17773438
 1.33984375 1.37890625 4.86132812 4.91015625 8.14453125 1.40234375
 1.43359375 8.3125     8.453125   0.0234375  0.015625   0.08203125
 0.484375   0.515625   1.359375   1.39257812 1.42578125 2.20507812
 4.99414062 5.0390625  5.08203125 5.14453125]","[-0.0234375  -0.06640625  0.09765625  0.04296875  0.19921875  0.17382812
  0.30273438  0.3203125   0.32226562  0.6484375   1.04101562  0.98046875
  0.9296875   0.68359375  1.52929688  1.26953125  1.1953125   0.8828125
  0.80078125 -0.84960938  1.2734375  -0.01953125 -0.06054688  0.1015625
  0.05273438  0.24804688  0.234375    0.40234375  0.41992188  0.421875
  0.79296875  1.34179688  1.29296875  1.24804688  1.0078125   2.06445312
  1.72070312  1.60742188  1.46289062  1.1640625  -0.31640625  1.87109375
  0.49414062  0.48828125  1.55664062  1.52929688  1.71484375  0.03125
  0.08789062 -0.359375    0.04492188 -0.02539062 -0.06835938  0.06640625
  0.15234375  0.12304688  0.20898438  0.21679688  0.21289062  0.50976562
  0.71289062  0.66601562  0.61132812  0.34960938]"
5,"[-0.01367188 -0.03125    -0.05273438  0.05273438  0.70703125  0.73828125
  0.74414062  0.8125      0.83203125 -0.8203125   0.79882812  0.8046875
  0.81054688  0.81640625  0.76953125  0.515625    0.25976562  0.51953125
  0.5234375   1.3125     -2.16601562 -0.01367188 -0.03125    -0.05664062
  0.046875    0.70703125  0.73828125  0.74414062  0.76171875  0.78125
 -0.8203125   0.79882812  0.8046875   0.81054688  0.81640625  0.76953125
  0.515625    0.          0.25976562  0.5234375   1.3125     -2.16601562
  0.6953125   0.76171875  0.6484375   0.25976562  0.          0.26171875
  0.79492188  0.76171875  0.8046875   0.51757812  0.25976562  0.5234375
 -0.01367188 -0.02929688 -0.05273438  0.05273438  0.70703125  0.73828125
  0.79492188  0.76171875  0.83203125 -0.8203125 ]","[0.02734375 0.02148438 0.02539062 0.13476562 0.4609375  0.49609375
 1.36914062 1.37109375 1.40429688 2.140625   4.9375     4.98632812
 5.03515625 5.11132812 8.03125    8.13476562 8.21484375 8.23828125
 8.30664062 8.25195312 8.28710938 0.02929688 0.03320312 0.
 0.13476562 0.43359375 0.46875    1.34375    1.37304688 1.40625
 2.0859375  4.85742188 4.91210938 4.96484375 5.05664062 7.92382812
 8.03320312 8.15039062 8.1875     8.22460938 8.2890625  8.18554688
 1.33007812 1.3359375  4.9296875  7.90625    8.078125   8.1640625
 1.37304688 1.43359375 5.07421875 8.26757812 8.31640625 8.33007812
 0.0234375  0.015625   0.046875   0.13867188 0.484375   0.51367188
 1.359375   1.41992188 1.42578125 2.18164062]","[-0.0234375  -0.06640625  0.09765625  0.04296875  0.20898438  0.18359375
  0.3046875   0.32421875  0.328125    0.65234375  1.03710938  0.98046875
  0.93164062  0.68945312  1.52148438  1.25585938  1.0546875   1.07226562
  0.80273438 -0.85351562  1.3046875  -0.01953125 -0.06054688  0.10351562
  0.04882812  0.26367188  0.24609375  0.40625     0.42382812  0.42773438
  0.8125      1.36132812  1.30078125  1.25195312  1.0078125   2.0078125
  1.79882812  1.49023438  1.4765625   1.41015625 -0.32617188  1.83789062
  0.5234375   0.52929688  1.46289062  2.46289062  2.0078125   1.7890625
  0.1015625   0.09960938  0.296875    0.1875     -0.21679688 -0.49804688
 -0.02539062 -0.06835938  0.08789062  0.02929688  0.15234375  0.12695312
  0.21289062  0.21484375  0.21875     0.49804688]"
6,"[-0.01367188 -0.03125    -0.05273438  0.05273438  0.72851562  0.70703125
  0.73828125  0.74414062  0.76171875  0.83203125  0.79882812  0.8046875
  0.81054688  0.81640625  0.76953125  0.515625    0.25976562  0.25976562
  0.5234375   1.3125     -1.89453125 -0.01367188 -0.03125    -0.05273438
  0.046875    0.70703125  0.70898438  0.74414062  0.8125      0.83203125
  0.79882812  0.8046875   0.81054688  0.81640625  0.76953125  0.515625
  0.25976562  0.          0.5234375   1.3125     -2.16601562  0.74414062
  0.76171875  0.64257812  0.6484375   0.25976562  0.26171875  0.74414062
  0.8125      0.25976562  0.51953125  0.5234375  -0.01367188 -0.02929688
 -0.05273438  0.05273438  0.70703125  0.73828125  0.79492188  0.8125
  0.83203125  0.79882812  0.8046875   0.81054688]","[0.02734375 0.02148438 0.02539062 0.13476562 0.37695312 0.46679688
 0.5        1.36914062 1.40039062 1.40429688 4.93554688 4.98632812
 5.03515625 5.11132812 8.03320312 8.13671875 8.21484375 8.27148438
 8.30664062 8.25195312 8.33789062 0.02929688 0.03320312 0.
 0.13476562 0.44140625 0.515625   1.34375    1.34179688 1.375
 4.86132812 4.9140625  4.96484375 5.05664062 7.91796875 8.03125
 8.12304688 8.22265625 8.22265625 8.2890625  8.17382812 1.30273438
 1.328125   4.85546875 4.90039062 8.01953125 8.17773438 1.40039062
 1.40625    8.28125    8.30664062 8.33789062 0.0234375  0.01757812
 0.046875   0.13867188 0.484375   0.51757812 1.359375   1.39257812
 1.42578125 4.9921875  5.0390625  5.08398438]","[-0.0234375  -0.06640625  0.09765625  0.04296875  0.140625    0.19726562
  0.171875    0.30664062  0.31835938  0.32617188  1.04296875  0.98046875
  0.92773438  0.6875      1.5078125   1.25        1.046875    0.88476562
  0.8046875  -0.8515625   1.40234375 -0.01953125 -0.06054688  0.10546875
  0.04882812  0.24804688  0.234375    0.40820312  0.42773438  0.43554688
  1.3515625   1.29882812  1.25195312  1.01367188  2.02929688  1.80664062
  1.6171875   1.28710938  1.421875   -0.328125    1.8828125   0.5234375
  0.55078125  1.57421875  1.5625      2.21484375  1.72265625  0.1015625
  0.09960938  0.06835938  0.09765625 -0.31835938 -0.02539062 -0.06835938
  0.08789062  0.03515625  0.15039062  0.11328125  0.2109375   0.22070312
  0.21289062  0.73046875  0.65820312  0.59765625]"
7,"[-0.01367188 -0.03125    -0.05273438  0.05273438  0.72851562  0.70703125
  0.73828125  0.74414062  0.76171875  0.83203125 -0.8203125   0.79882812
  0.8046875   0.81054688  0.81640625  0.76953125  0.515625    0.25976562
  0.25976562  0.5234375   1.3125     -1.89453125 -0.01367188 -0.03125
 -0.05664062  0.046875    0.70703125  0.73828125  0.74414062  0.8125
  0.78125    -0.8203125   0.79882812  0.8046875   0.81054688  0.81640625
  0.76953125  0.515625    0.25976562  0.          0.5234375   1.3125
 -2.16601562  0.6953125   0.76171875  0.64257812  0.6484375   0.25976562
  0.79492188  0.76171875  0.8046875   0.81054688  0.51953125  0.5234375
 -0.01367188 -0.02929688 -0.05273438  0.05273438  0.70703125  0.73828125
  0.79492188  0.8125      0.83203125 -0.8203125 ]","[0.02734375 0.02148438 0.02539062 0.13476562 0.37890625 0.46679688
 0.5        1.37109375 1.40039062 1.40429688 2.14257812 4.93359375
 4.98632812 5.03320312 5.11132812 8.02929688 8.13476562 8.21484375
 8.27148438 8.30664062 8.25390625 8.34179688 0.02929688 0.03320312
 0.         0.13476562 0.4453125  0.4765625  1.34375    1.34375
 1.40820312 2.08984375 4.859375   4.9140625  4.96289062 5.05664062
 7.91992188 8.02929688 8.12109375 8.22460938 8.2265625  8.2890625
 8.18164062 1.32421875 1.33789062 4.8515625  4.9375     8.06640625
 1.36132812 1.43164062 5.0703125  5.1171875  8.3046875  8.3359375
 0.0234375  0.01757812 0.046875   0.13867188 0.48632812 0.51757812
 1.359375   1.39257812 1.42578125 2.18359375]","[-0.0234375  -0.06640625  0.09765625  0.04296875  0.13867188  0.19726562
  0.171875    0.3046875   0.31835938  0.32421875  0.6484375   1.05078125
  0.98242188  0.93164062  0.68359375  1.53515625  1.265625    1.05273438
  0.88476562  0.796875   -0.83984375  1.37304688 -0.01953125 -0.06054688
  0.10351562  0.05273438  0.24414062  0.22851562  0.40625     0.42578125
  0.42578125  0.80078125  1.35742188  1.30078125  1.2578125   1.0078125
  2.02539062  1.81445312  1.6171875   1.28515625  1.40429688 -0.31835938
  1.8515625   0.5390625   0.52539062  1.5859375   1.43554688  2.03320312
  0.203125    0.11914062  0.34375     0.17382812 -0.19921875 -0.3828125
 -0.02539062 -0.06835938  0.08789062  0.03515625  0.14257812  0.11132812
  0.21484375  0.21875     0.21875     0.49414062]"
8,"[-0.01367188 -0.03125    -0.05273438  0.05273438  0.72851562  0.70703125
  0.73828125  0.74414062  0.76171875  0.83203125  0.79882812  0.8046875
  0.81054688  0.81640625  0.76953125  0.515625    0.25976562  0.25976562
  0.5234375   1.3125     -1.89453125 -0.01367188 -0.03125    -0.05273438
  0.046875    0.72851562  0.70703125  0.73828125  0.74414062  0.8125
  0.78125     0.79882812  0.8046875   0.81054688  0.81640625  0.76953125
  0.515625    0.25976562  0.          0.5234375   1.3125     -2.16601562
  0.6953125   0.76171875  0.64257812  0.6484375   0.          0.26171875
  0.74414062  0.8125      0.51953125  0.5234375  -2.16601562 -0.01367188
 -0.02929688 -0.05273438  0.046875    0.70703125  0.73828125  0.79492188
  0.8125      0.83203125  0.79882812  0.8046875 ]","[0.02734375 0.02148438 0.02539062 0.13476562 0.37890625 0.46679688
 0.5        1.37109375 1.40234375 1.40429688 4.9375     4.98632812
 5.03515625 5.11132812 8.02929688 8.13476562 8.21484375 8.27148438
 8.30664062 8.25195312 8.33789062 0.02929688 0.03320312 0.
 0.13476562 0.359375   0.44140625 0.47070312 1.34375    1.34375
 1.40820312 4.85742188 4.9140625  4.96484375 5.05664062 7.91796875
 8.03710938 8.125      8.22460938 8.22460938 8.2890625  8.17578125
 1.33398438 1.34375    4.85351562 4.9296875  8.12109375 8.18554688
 1.40039062 1.40429688 8.30664062 8.33398438 8.37890625 0.0234375
 0.015625   0.046875   0.140625   0.48632812 0.51757812 1.359375
 1.39257812 1.42578125 4.99414062 5.04101562]","[-0.0234375  -0.06640625  0.09765625  0.04492188  0.13476562  0.19921875
  0.17578125  0.30273438  0.31835938  0.32617188  1.03710938  0.98242188
  0.92773438  0.68554688  1.52539062  1.26171875  1.05273438  0.88476562
  0.8046875  -0.85351562  1.39257812 -0.01953125 -0.06054688  0.10546875
  0.05273438  0.18164062  0.24804688  0.24414062  0.40625     0.42578125
  0.42578125  1.36132812  1.296875    1.25195312  1.0078125   2.03125
  1.77734375  1.60546875  1.28125     1.41210938 -0.3359375   1.87695312
  0.51171875  0.5078125   1.58398438  1.46289062  1.8203125   1.68945312
  0.09765625  0.12109375 -0.04492188 -0.4140625   0.390625   -0.02539062
 -0.06835938  0.08789062  0.03125     0.14453125  0.11523438  0.2109375
  0.22070312  0.21875     0.71679688  0.65234375]"
9,"[-0.01367188 -0.03125    -0.05273438  0.05273438  0.72851562  0.70703125
  0.73828125  0.74414062  0.76171875  0.83203125 -0.8203125   0.79882812
  0.8046875   0.81054688  0.81640625  0.76953125  0.515625    0.25976562
  0.25976562  0.5234375   1.3125     -1.89453125 -0.01367188 -0.03125
 -0.05664062  0.046875    0.72851562  0.70703125  0.70898438  0.74414062
  0.8125      0.83203125 -0.8203125   0.79882812  0.8046875   0.81054688
  0.81640625  0.76953125  0.515625    0.25976562  0.          0.5234375
  1.3125     -2.16601562  0.6953125   0.76171875  0.64257812  0.6484375
  0.25976562 -2.4375      0.74414062  0.8125      0.96484375  0.81054688
  0.51953125 -0.01367188 -0.02929688 -0.05273438  0.05273438  0.70703125
  0.73828125  0.79492188  0.8125      0.83203125]","[0.02734375 0.02148438 0.0234375  0.13476562 0.37890625 0.46679688
 0.5        1.37109375 1.40234375 1.40429688 2.140625   4.93554688
 4.98632812 5.03320312 5.11132812 8.03125    8.1328125  8.21484375
 8.27148438 8.30664062 8.25195312 8.34179688 0.02929688 0.03320312
 0.         0.13476562 0.359375   0.44140625 0.51757812 1.34375
 1.34375    1.375      2.08984375 4.85546875 4.91210938 4.96484375
 5.0546875  7.91601562 8.03125    8.11914062 8.22265625 8.22460938
 8.2890625  8.1796875  1.30859375 1.32226562 4.8359375  4.859375
 8.03515625 7.95507812 1.39648438 1.40429688 5.03515625 5.10742188
 8.3046875  0.0234375  0.015625   0.046875   0.13867188 0.48828125
 0.51757812 1.359375   1.39257812 1.42578125]","[-0.0234375  -0.06640625  0.09765625  0.04296875  0.13671875  0.19921875
  0.171875    0.3046875   0.31835938  0.32617188  0.65625     1.04296875
  0.98242188  0.93164062  0.68945312  1.51757812  1.26757812  1.05273438
  0.89257812  0.80664062 -0.85351562  1.37890625 -0.01953125 -0.06054688
  0.1015625   0.04882812  0.18359375  0.25        0.22851562  0.40625
  0.42578125  0.43164062  0.80273438  1.36914062  1.30273438  1.25195312
  1.01757812  2.0390625   1.80078125  1.62890625  1.28710938  1.41210938
 -0.34179688  1.85742188  0.57421875  0.5625      1.63867188  1.68164062
  2.15234375  2.41796875  0.13867188  0.12109375  0.42773438  0.359375
 -0.19921875 -0.02539062 -0.06835938  0.08789062  0.03125     0.140625
  0.11328125  0.20898438  0.21679688  0.21679688]"
