frame,x,y,z
0,"[-0.01367188 -0.02929688 -0.05273438  0.0703125   0.703125    0.70703125
  0.70898438  0.6953125   0.76171875  0.78125    -0.8203125  -0.83203125
  0.63867188  0.64257812  0.81054688  0.81640625  0.76953125 -0.25976562
 -0.5234375   0.26367188 -2.16601562 -0.01367188 -0.03125     0.04296875
  0.06054688  0.703125    0.6796875   0.70898438  0.74414062  0.7109375
  0.78125    -0.8203125  -0.83203125  0.63867188  0.64257812  0.6484375
  0.81640625  0.51367188 -0.51953125 -0.78320312  0.         -2.16601562
  0.7109375   0.74414062  0.8125      0.78125     0.8046875   0.81054688
  0.         -0.01367188 -0.02929688  0.04296875  0.06054688  0.703125
  0.70703125  0.73828125  0.74414062  0.76171875  0.78125    -0.8203125
 -0.83203125  0.79882812  0.64257812  0.81054688]","[0.02734375 0.03125    0.02148438 0.10351562 0.43164062 0.47460938
 0.5390625  1.39648438 1.40039062 1.42382812 2.13476562 2.16015625
 4.96875    5.015625   5.03125    5.07421875 8.04101562 8.3046875
 8.34375    8.34179688 8.07617188 0.02929688 0.03515625 0.0625
 0.11132812 0.41210938 0.49023438 0.51953125 1.34179688 1.40039062
 1.390625   2.08007812 2.1015625  4.89257812 4.9453125  4.98242188
 5.00390625 7.9453125  8.25195312 8.31835938 8.2578125  7.89648438
 1.3515625  1.3984375  1.40039062 1.45703125 5.06640625 5.11523438
 8.3046875  0.0234375  0.01757812 0.08203125 0.125      0.44335938
 0.4921875  0.51757812 1.38867188 1.41992188 1.44726562 2.17578125
 2.20703125 5.00195312 5.06640625 5.08203125]","[-0.0234375  -0.0625      0.09765625  0.08398438  0.11328125  0.1796875
  0.171875    0.29882812  0.32617188  0.3671875   0.67382812  0.70703125
  0.99804688  0.94726562  0.94335938  0.921875    1.46484375  0.5078125
 -0.140625    1.23242188  2.26953125 -0.01953125 -0.06054688  0.08398438
  0.08007812  0.171875    0.23242188  0.2265625   0.41015625  0.42578125
  0.47460938  0.82617188  0.8671875   1.3203125   1.265625    1.27539062
  1.24609375  2.          0.96289062  0.34179688  1.73046875  2.83398438
  0.55859375  0.12109375  0.15234375  0.1953125   0.38867188  0.2265625
 -0.55859375 -0.02539062 -0.06835938  0.06640625  0.06054688  0.04882812
  0.12304688  0.11523438  0.20898438  0.22460938  0.26367188  0.52539062
  0.54492188  0.6640625   0.63085938  0.62304688]"
1,"[-0.01367188 -0.02929688  0.046875    0.0703125   0.6953125   0.703125
  0.70703125  0.70898438  0.76757812  0.6953125   0.76171875  0.78125
 -0.8203125  -0.83203125  0.79882812  0.64257812  0.6484375   0.81640625
  0.51367188 -0.51953125 -0.78320312  0.         -2.16601562 -0.01367188
 -0.03125     0.0390625   0.06054688  0.6953125   0.703125    0.6796875
  0.68164062  0.6953125   0.7109375   0.78125     0.63867188  0.64257812
  0.6484375   0.65234375  0.51367188 -0.51953125 -0.78320312  0.
 -2.16601562  0.7109375   0.74414062  0.76171875  0.78125    -0.8203125
 -0.83203125  0.64257812  0.6484375  -0.25976562 -0.01367188 -0.02929688
  0.04296875  0.06054688  0.6953125   0.72851562  0.6796875   0.70898438
  0.76757812  0.74414062  0.76171875  0.78125   ]","[0.02734375 0.03125    0.06445312 0.10351562 0.37890625 0.43164062
 0.45703125 0.53515625 0.52539062 1.39453125 1.39453125 1.41601562
 2.13476562 2.16601562 4.9375     5.01367188 5.05273438 5.07617188
 8.04296875 8.29882812 8.3203125  8.35546875 8.05078125 0.02929688
 0.03515625 0.07421875 0.11328125 0.36914062 0.41601562 0.47070312
 0.55273438 1.3671875  1.39453125 1.3828125  4.875      4.94140625
 4.98242188 5.03320312 7.92578125 8.25195312 8.31640625 8.2578125
 7.86914062 1.46289062 1.3984375  1.43164062 1.46484375 2.19921875
 2.234375   5.09375    5.13476562 8.3046875  0.0234375  0.01757812
 0.08203125 0.125      0.38476562 0.39453125 0.51953125 0.55078125
 0.5390625  1.38671875 1.41601562 1.44335938]","[-0.0234375  -0.0625      0.08203125  0.08398438  0.06445312  0.1171875
  0.22070312  0.18554688  0.1640625   0.3125      0.34375     0.39453125
  0.67382812  0.69140625  1.03710938  0.96679688  0.953125    0.91015625
  1.56445312  0.38476562 -0.23632812  1.16601562  2.359375   -0.01953125
 -0.06054688  0.07617188  0.078125    0.109375    0.16015625  0.2734375
  0.234375    0.4140625   0.44140625  0.50195312  1.38671875  1.28320312
  1.27148438  1.22460938  2.07617188  0.94921875  0.34960938  1.73046875
  2.91015625 -0.01953125  0.12695312  0.12890625  0.1328125   0.41601562
  0.42382812  0.34570312  0.2734375  -0.48828125 -0.02539062 -0.06835938
  0.06640625  0.05859375  0.02539062  0.078125    0.15625     0.13085938
  0.11914062  0.22070312  0.24023438  0.28515625]"
2,"[-0.01367188 -0.02929688 -0.05273438  0.0703125   0.65234375  0.70898438
  0.76757812  0.6953125   0.76171875  0.78125    -0.89453125 -0.90820312
  0.63867188  0.64257812  0.6484375   0.65234375  0.76953125 -0.25976562
 -0.25976562 -0.78320312  0.         -2.16601562 -0.01367188 -0.03125
 -0.05664062  0.06054688  0.65234375  0.70898438  0.74414062  0.7109375
  0.78125    -0.89453125 -0.90820312  0.63867188  0.64257812  0.6484375
  0.65234375 -0.51757812 -0.51953125  0.         -2.16601562  0.74414062
  0.76171875  0.78125     0.8046875   0.81054688  0.65234375 -0.51953125
 -2.4375     -0.01367188 -0.02929688  0.04296875  0.0703125   0.65234375
  0.73828125  0.76757812  0.74414062  0.76171875  0.83203125 -0.8203125
 -0.83203125  0.79882812  0.8046875   0.6484375 ]","[0.02734375 0.03125    0.02148438 0.10546875 0.5078125  0.53320312
 0.5234375  1.39453125 1.39648438 1.421875   2.09375    2.125
 4.95898438 5.01367188 5.05273438 5.10351562 8.01367188 8.24609375
 8.3046875  8.3203125  8.3515625  8.02539062 0.02929688 0.03515625
 0.         0.11523438 0.4609375  0.50195312 1.33789062 1.39453125
 1.38867188 2.03515625 2.06640625 4.87109375 4.94140625 4.97851562
 5.03515625 8.18554688 8.25390625 8.25390625 7.82617188 1.39648438
 1.4296875  1.45898438 5.07617188 5.11328125 5.17773438 8.2734375
 8.25195312 0.0234375  0.015625   0.08203125 0.11132812 0.5390625
 0.50976562 0.54101562 1.38671875 1.41796875 1.41601562 2.16601562
 2.20117188 4.99804688 5.04296875 5.10351562]","[-0.0234375  -0.0625      0.09765625  0.08203125  0.2734375   0.19140625
  0.17382812  0.31054688  0.33984375  0.37109375  0.70703125  0.72265625
  1.0390625   0.96484375  0.9609375   0.88476562  1.61328125  0.77148438
  0.5        -0.25976562  1.19335938  2.44335938 -0.01953125 -0.06054688
  0.10351562  0.07617188  0.34570312  0.265625    0.42382812  0.43945312
  0.48242188  0.859375    0.87695312  1.3984375   1.28515625  1.28710938
  1.21875     1.16796875  0.93164062  1.75        3.02148438  0.1484375
  0.1484375   0.1875      0.25976562  0.26367188  0.16992188 -0.75585938
  1.02148438 -0.02539062 -0.06835938  0.06640625  0.07421875  0.203125
  0.140625    0.10546875  0.22265625  0.23632812  0.26757812  0.5625
  0.57226562  0.68554688  0.625       0.63476562]"
3,"[-0.01367188 -0.02929688 -0.05273438  0.0703125   0.72851562  0.70703125
  0.70898438  0.74414062  0.76171875  0.78125    -0.8203125   0.63867188
  0.64257812  0.6484375   0.65234375  0.51367188 -0.51757812 -0.51953125
  0.         -0.01367188 -0.03125     0.04296875  0.06054688  0.6796875
  0.70898438  0.6953125   0.76171875  0.78125    -0.89453125  0.63867188
  0.64257812  0.6484375   0.65234375  0.51367188 -0.51757812 -0.51953125
  0.          0.76171875  0.74414062  0.76171875  0.83203125 -0.8203125
  0.8046875   0.81054688  0.65234375  0.         -0.25976562  0.
 -0.01367188 -0.02929688  0.04882812  0.06054688  0.72851562  0.6796875
  0.70898438  0.76757812  0.74414062  0.76171875  0.78125    -0.8203125
 -0.83203125  0.63867188  0.8046875   0.81054688]","[0.02734375 0.03125    0.02148438 0.10546875 0.38476562 0.47460938
 0.54296875 1.36523438 1.39648438 1.42578125 2.1328125  4.9609375
 5.015625   5.05664062 5.11523438 8.02148438 8.24414062 8.30078125
 8.34570312 0.02929688 0.03320312 0.0625     0.11328125 0.484375
 0.5234375  1.3671875  1.3671875  1.39453125 2.04492188 4.8828125
 4.9453125  4.98632812 5.04882812 7.90039062 8.1796875  8.26171875
 8.2421875  1.4375     1.39648438 1.4296875  1.43164062 2.21289062
 5.07226562 5.11132812 5.17382812 8.27929688 8.2890625  8.43554688
 0.0234375  0.01757812 0.0625     0.125      0.39648438 0.5234375
 0.55664062 0.546875   1.38476562 1.41796875 1.44921875 2.17773438
 2.20507812 5.01757812 5.04296875 5.08203125]","[-0.0234375  -0.0625      0.09765625  0.08203125  0.11914062  0.1796875
  0.1640625   0.328125    0.34179688  0.36132812  0.67578125  1.03125
  0.953125    0.9375      0.8203125   1.671875    0.64453125  0.3203125
  1.24023438 -0.01953125 -0.06054688  0.08398438  0.078125    0.24609375
  0.21875     0.41796875  0.44335938  0.46875     0.83789062  1.35742188
  1.26953125  1.26171875  1.15820312  2.17382812  1.22070312  0.87109375
  1.80273438  0.0078125   0.13476562  0.14453125  0.17382812  0.33007812
  0.30859375  0.28125     0.23632812 -0.296875   -0.70898438  0.13476562
 -0.02539062 -0.06835938  0.08007812  0.06054688  0.07226562  0.14453125
  0.10546875  0.0703125   0.22851562  0.23828125  0.25390625  0.515625
  0.5546875   0.7109375   0.625       0.6171875 ]"
4,"[-0.01367188 -0.02929688  0.046875    0.0703125   0.703125    0.70703125
  0.70898438  0.73828125  0.74414062  0.76171875  0.83203125 -0.8203125
  0.63867188  0.64257812  0.6484375   0.65234375  0.51367188 -0.25976562
 -0.51953125  0.26171875  0.         -2.16601562 -0.01367188 -0.03125
  0.0390625   0.05664062  0.67578125  0.70703125  0.70898438  0.74414062
  0.76171875  0.78125    -0.89453125  0.63867188  0.64257812  0.6484375
  0.65234375 -0.51757812 -0.51953125 -2.63671875 -2.16601562  0.8125
  0.74414062  0.76171875  0.83203125 -0.8203125   0.63867188  0.8046875
  0.81054688  0.81640625 -0.51757812 -0.25976562 -2.63671875 -2.16601562
 -0.01367188 -0.02929688  0.04296875  0.0703125   0.67578125  0.70703125
  0.73828125  0.73828125  0.74414062  0.76171875]","[0.02734375 0.03125    0.06445312 0.10546875 0.40429688 0.46679688
 0.5390625  0.57421875 1.36523438 1.39648438 1.40039062 2.13476562
 4.984375   5.015625   5.05859375 5.12695312 8.04101562 8.25390625
 8.3046875  8.23046875 8.3359375  8.08203125 0.02929688 0.03515625
 0.07421875 0.11914062 0.41601562 0.44335938 0.51757812 1.3359375
 1.3671875  1.3984375  2.05078125 4.91992188 4.9453125  4.99023438
 5.07226562 8.19335938 8.27734375 5.48046875 7.890625   1.40820312
 1.3984375  1.43164062 1.43554688 2.2109375  5.06445312 5.07226562
 5.11328125 5.15625    8.25       8.27148438 3.09179688 8.33007812
 0.0234375  0.01757812 0.08203125 0.11132812 0.4609375  0.48632812
 0.51367188 0.58398438 1.38476562 1.41796875]","[-0.0234375  -0.0625      0.08203125  0.08398438  0.18945312  0.19726562
  0.17578125  0.13476562  0.328125    0.33789062  0.33789062  0.671875
  0.91015625  0.94921875  0.92773438  0.73828125  1.58007812  0.68164062
  0.16015625  1.65039062  1.30664062  2.25       -0.01953125 -0.06054688
  0.07617188  0.07421875  0.25        0.24804688  0.23242188  0.43359375
  0.44140625  0.453125    0.82226562  1.21484375  1.27148438  1.24414062
  1.05273438  1.12109375  0.70898438 -5.84765625  2.84570312  0.0625
  0.12695312  0.12890625  0.13476562  0.3515625   0.1953125   0.32421875
  0.2578125   0.06445312 -0.55664062 -0.890625   -7.39453125  0.9921875
 -0.02539062 -0.06835938  0.06445312  0.07226562  0.15039062  0.14453125
  0.12695312  0.08203125  0.22460938  0.234375  ]"
5,"[-0.01367188 -0.02929688  0.046875    0.0703125   0.6953125   0.703125
  0.70703125  0.73828125  0.74414062  0.8125      0.83203125  0.63867188
  0.64257812  0.6484375   0.65234375 -0.51757812 -0.51953125  0.26171875
 -2.63671875 -0.01367188 -0.03125     0.04296875  0.06640625  0.66992188
  0.67578125  0.70703125  0.73828125  0.74414062  0.76171875  0.78125
  0.63867188  0.64257812  0.6484375   0.65234375 -0.51757812 -0.51953125
  0.26171875 -2.63671875  0.74414062  0.76171875  0.83203125 -0.8203125
  0.79882812  0.8046875   0.81054688 -0.25976562 -0.51953125 -2.63671875
 -0.01367188 -0.02929688  0.04882812  0.06054688  0.6953125   0.703125
  0.70703125  0.73828125  0.74414062  0.8125      0.83203125 -0.8203125
  0.63867188  0.8046875   0.81054688  0.81640625]","[0.02734375 0.03125    0.0625     0.10546875 0.37695312 0.41210938
 0.46875    0.5078125  1.3671875  1.36914062 1.40625    4.98828125
 5.01171875 5.05859375 5.13085938 8.25       8.30664062 8.2421875
 4.87695312 0.02929688 0.03515625 0.0625     0.10742188 0.41210938
 0.43554688 0.44140625 0.48632812 1.33789062 1.37304688 1.40625
 4.92578125 4.93945312 4.984375   5.06835938 8.19335938 8.2890625
 8.1171875  5.50390625 1.40039062 1.43359375 1.43359375 2.19921875
 5.03515625 5.07226562 5.11132812 8.26367188 8.21875    2.93359375
 0.0234375  0.01757812 0.0625     0.125      0.3828125  0.4296875
 0.48828125 0.52148438 1.38671875 1.390625   1.42382812 2.16992188
 5.03320312 5.04101562 5.08203125 5.14257812]","[-0.0234375  -0.0625      0.08203125  0.08203125  0.07617188  0.171875
  0.1953125   0.1484375   0.3203125   0.33203125  0.31835938  0.89453125
  0.96679688  0.92773438  0.71484375  0.55859375 -0.0078125   1.58984375
 -6.359375   -0.01953125 -0.06054688  0.08398438  0.08398438  0.10742188
  0.21484375  0.25        0.2109375   0.42382812  0.42578125  0.43164062
  1.19140625  1.28710938  1.265625    1.06640625  1.11328125  0.5390625
  2.140625   -5.82617188  0.10546875  0.109375    0.14648438  0.41796875
  0.296875    0.30664062  0.29296875 -0.54101562 -1.21289062 -7.45898438
 -0.02539062 -0.06835938  0.08007812  0.06054688  0.03710938  0.12304688
  0.13671875  0.08984375  0.21679688  0.2265625   0.22265625  0.55078125
  0.59179688  0.64453125  0.61132812  0.39453125]"
6,"[-0.01367188 -0.02929688  0.046875    0.0703125   0.6953125   0.65234375
  0.73828125  0.74414062  0.76171875  0.78125     0.63867188  0.64257812
  0.6484375  -0.25976562 -0.51953125  0.26171875 -0.01367188 -0.03125
  0.04296875  0.05664062  0.73828125  0.74414062  0.76171875  0.78125
  0.63867188  0.64257812  0.6484375  -0.51757812 -0.51953125  0.
  0.79492188  0.8125      0.78125    -0.8203125   0.63867188  0.64257812
  0.81054688 -0.25976562 -0.25976562  0.26171875 -2.63671875 -0.01367188
 -0.02929688  0.04296875  0.06640625  0.65234375  0.73828125  0.74414062
  0.76171875  0.83203125 -0.8203125   0.63867188  0.8046875   0.6484375
 -0.25976562 -0.51953125  0.26171875 -2.63671875 -0.03515625 -0.07421875
 -0.05273438  0.          2.88671875 -0.03710938]","[2.73437500e-02 3.12500000e-02 6.44531250e-02 1.05468750e-01
 3.82812500e-01 5.33203125e-01 5.15625000e-01 1.36914062e+00
 1.40234375e+00 1.42968750e+00 4.97656250e+00 5.00390625e+00
 5.04882812e+00 8.25976562e+00 8.30468750e+00 8.26367188e+00
 2.92968750e-02 3.51562500e-02 6.44531250e-02 1.19140625e-01
 5.00000000e-01 1.33984375e+00 1.37500000e+00 1.40234375e+00
 4.90625000e+00 4.92968750e+00 4.97851562e+00 8.20117188e+00
 8.30078125e+00 8.16406250e+00 1.37304688e+00 1.40429688e+00
 1.46484375e+00 2.20507812e+00 5.05859375e+00 5.09375000e+00
 5.10937500e+00 8.26367188e+00 8.23437500e+00 8.38867188e+00
 3.03320312e+00 2.34375000e-02 1.56250000e-02 8.20312500e-02
 1.21093750e-01 5.50781250e-01 5.25390625e-01 1.38867188e+00
 1.42187500e+00 1.42382812e+00 2.17187500e+00 5.02734375e+00
 5.03515625e+00 5.10156250e+00 8.28125000e+00 8.27343750e+00
 8.34179688e+00 4.07617188e+00 3.90625000e-03 1.56250000e-02
 1.95312500e-02 1.23046875e-01 5.29882812e+00 0.00000000e+00]","[-0.0234375  -0.0625      0.08203125  0.08203125  0.04101562  0.21484375
  0.1171875   0.31054688  0.31054688  0.34375     0.95117188  1.00976562
  0.97265625  0.58984375 -0.20507812  1.48242188 -0.01953125 -0.06054688
  0.08398438  0.07421875  0.17578125  0.41992188  0.41601562  0.44335938
  1.26953125  1.32226562  1.29296875  1.06054688  0.34570312  1.97460938
  0.10546875  0.10546875  0.12109375  0.38476562  0.31054688  0.34375
  0.30664062 -0.55664062 -1.18359375  0.33984375 -7.41796875 -0.02539062
 -0.06835938  0.06640625  0.06445312  0.16796875  0.05664062  0.20507812
  0.20507812  0.23046875  0.54296875  0.63867188  0.68359375  0.6484375
  0.0390625  -0.75585938  0.93554688 -6.90039062  0.01171875  0.00976562
  0.09765625  0.08789062 -5.84179688  0.01367188]"
7,"[-0.01367188 -0.02929688  0.046875    0.0703125   0.70703125  0.70898438
  0.74414062  0.76171875  0.72851562  0.63867188  0.64257812  0.6484375
 -0.25976562 -0.51953125  0.26171875 -0.01367188 -0.03125     0.04296875
  0.06640625  0.70703125  0.74414062  0.76171875  0.78125     0.63867188
  0.64257812  0.6484375  -0.19140625 -0.51757812 -0.51953125  0.
  0.64257812  0.79492188  0.8125      0.78125     0.63867188  0.64257812
  0.6484375  -0.51757812 -0.51953125  0.         -0.01367188 -0.02929688
  0.04296875  0.0703125   0.75390625  0.70703125  0.73828125  0.79492188
  0.8125      0.78125    -0.8203125   0.63867188  0.64257812  0.81054688
 -0.25976562 -0.51953125  0.         -0.03515625 -0.07421875 -0.05273438
  0.          0.83203125  2.88671875 -0.03710938]","[2.73437500e-02 3.12500000e-02 6.25000000e-02 1.05468750e-01
 4.98046875e-01 5.60546875e-01 1.37304688e+00 1.40625000e+00
 1.45117188e+00 4.97265625e+00 5.01171875e+00 5.06445312e+00
 8.26562500e+00 8.29882812e+00 8.25781250e+00 2.92968750e-02
 3.32031250e-02 6.25000000e-02 1.05468750e-01 4.86328125e-01
 1.34765625e+00 1.38085938e+00 1.40234375e+00 4.89843750e+00
 4.93945312e+00 5.00000000e+00 5.34570312e+00 8.20898438e+00
 8.30468750e+00 8.16015625e+00 5.10546875e+00 1.37109375e+00
 1.40625000e+00 1.46289062e+00 5.05468750e+00 5.09375000e+00
 5.13671875e+00 8.25000000e+00 8.18945312e+00 8.38476562e+00
 2.34375000e-02 1.75781250e-02 8.20312500e-02 1.13281250e-01
 3.37890625e-01 5.05859375e-01 5.29296875e-01 1.36132812e+00
 1.39453125e+00 1.44921875e+00 2.16015625e+00 5.02343750e+00
 5.06250000e+00 5.08789062e+00 8.28125000e+00 8.25390625e+00
 8.35156250e+00 3.90625000e-03 1.56250000e-02 1.95312500e-02
 1.23046875e-01 1.40429688e+00 5.32617188e+00 0.00000000e+00]","[-0.0234375  -0.0625      0.08203125  0.08398438  0.09375     0.08398438
  0.2890625   0.29492188  0.36523438  0.97265625  0.96875     0.88671875
  0.51367188 -0.3828125   1.5078125  -0.01953125 -0.06054688  0.08398438
  0.0859375   0.14648438  0.39257812  0.39453125  0.43945312  1.29492188
  1.2890625   1.20507812  2.99023438  0.9921875   0.17382812  1.99023438
  0.01757812  0.109375    0.08789062  0.14453125  0.36132812  0.3359375
  0.25390625 -0.56640625 -1.390625    0.48632812 -0.02539062 -0.06835938
  0.06640625  0.07226562 -0.09570312  0.04882812  0.02734375  0.203125
  0.19726562  0.24414062  0.58984375  0.66601562  0.65429688  0.5625
 -0.02734375 -0.9296875   0.89648438  0.01171875  0.00976562  0.09765625
  0.08789062  0.328125   -5.81640625  0.01367188]"
8,"[-0.01367188 -0.02929688  0.046875    0.0703125   0.67578125  0.70703125
  0.73828125  0.79492188  0.8125      0.78125     0.63867188  0.64257812
  0.6484375  -0.51757812 -0.51953125  0.         -0.01367188 -0.03125
  0.0390625   0.06054688  0.67578125  0.70703125  0.73828125  0.74414062
  0.76171875  0.72851562  0.63867188  0.64257812  0.6484375  -0.19140625
 -0.51757812 -0.51953125  0.          0.74414062  0.76171875  0.72851562
 -0.89453125  0.63867188  0.8046875   0.81054688 -0.51757812 -0.51953125
  0.26171875 -0.01367188 -0.02929688  0.04296875  0.06054688  0.703125
  0.70703125  0.73828125  0.79492188  0.8125      0.72851562 -0.8203125
  0.63867188  0.64257812  0.6484375  -0.25976562 -0.51953125  0.
 -0.03515625 -0.07421875 -0.05273438  0.00390625]","[2.73437500e-02 3.12500000e-02 6.25000000e-02 1.05468750e-01
 4.55078125e-01 4.86328125e-01 5.21484375e-01 1.34375000e+00
 1.37500000e+00 1.42382812e+00 4.97265625e+00 5.01757812e+00
 5.07812500e+00 8.26367188e+00 8.28906250e+00 8.28125000e+00
 2.92968750e-02 3.32031250e-02 7.42187500e-02 1.13281250e-01
 4.31640625e-01 4.66796875e-01 5.09765625e-01 1.34960938e+00
 1.37695312e+00 1.41601562e+00 4.90039062e+00 4.94726562e+00
 5.01757812e+00 5.28515625e+00 8.22460938e+00 8.30664062e+00
 8.16601562e+00 1.40429688e+00 1.43554688e+00 1.48632812e+00
 2.17773438e+00 5.05664062e+00 5.07421875e+00 5.11914062e+00
 8.23437500e+00 8.16015625e+00 8.38671875e+00 2.34375000e-02
 1.56250000e-02 8.20312500e-02 1.25000000e-01 4.31640625e-01
 4.98046875e-01 5.29296875e-01 1.36328125e+00 1.39453125e+00
 1.47070312e+00 2.16210938e+00 5.02539062e+00 5.06835938e+00
 5.11914062e+00 8.27929688e+00 8.23437500e+00 8.35546875e+00
 3.90625000e-03 1.56250000e-02 2.14843750e-02 1.30859375e-01]","[-0.0234375  -0.0625      0.08203125  0.08398438  0.16601562  0.14453125
  0.08789062  0.29296875  0.3046875   0.3671875   0.97460938  0.93945312
  0.80859375  0.3203125  -0.53710938  1.40820312 -0.01953125 -0.06054688
  0.07617188  0.078125    0.22070312  0.19726562  0.14648438  0.38476562
  0.41015625  0.48632812  1.29296875  1.26171875  1.13085938  3.09765625
  0.86132812  0.01757812  1.96289062  0.015625    0.05664062  0.18164062
  0.37890625  0.34375     0.28320312  0.11132812 -0.76953125 -1.55664062
  0.3515625  -0.02539062 -0.06835938  0.06640625  0.05859375  0.11328125
  0.09375     0.03125     0.18554688  0.19921875  0.27539062  0.578125
  0.65625     0.61914062  0.48242188 -0.1640625  -1.08984375  0.8515625
  0.01171875  0.00976562  0.09765625  0.07617188]"
9,"[-0.01367188 -0.02929688  0.046875    0.0703125   0.67578125  0.70703125
  0.73828125  0.79492188  0.76171875  0.72851562  0.79882812  0.64257812
  0.6484375  -0.51757812  0.         -0.01367188 -0.03125     0.0390625
  0.06054688  0.65039062  0.70703125  0.70898438  0.74414062  0.76171875
  0.67578125  0.63867188  0.64257812  0.6484375  -0.51757812 -0.26171875
  0.48242188  0.8046875   0.79492188  0.76171875  0.72851562 -0.8203125
  0.63867188  0.8046875   0.81054688 -0.25976562  0.         -0.01367188
 -0.02929688  0.04296875  0.0703125   0.67578125  0.734375    0.73828125
  0.79492188  0.76171875  0.72851562  0.63867188  0.8046875   0.6484375
 -0.51757812  0.         -0.03515625 -0.07421875 -0.05273438  0.
 -2.88671875 -0.03710938 -0.07617188 -0.05664062]","[2.73437500e-02 3.12500000e-02 6.44531250e-02 1.05468750e-01
 4.21875000e-01 4.62890625e-01 4.94140625e-01 1.34960938e+00
 1.40234375e+00 1.43945312e+00 4.95312500e+00 5.01953125e+00
 5.08007812e+00 8.26367188e+00 8.27734375e+00 2.92968750e-02
 3.51562500e-02 7.42187500e-02 1.13281250e-01 4.21875000e-01
 4.33593750e-01 5.07812500e-01 1.35546875e+00 1.37500000e+00
 1.42382812e+00 4.90039062e+00 4.94921875e+00 5.01953125e+00
 8.22656250e+00 8.18750000e+00 4.87695312e+00 5.08007812e+00
 1.37500000e+00 1.43359375e+00 1.48242188e+00 2.19921875e+00
 5.05664062e+00 5.07226562e+00 5.11718750e+00 8.24609375e+00
 8.39257812e+00 2.34375000e-02 1.75781250e-02 8.20312500e-02
 1.11328125e-01 4.51171875e-01 4.43359375e-01 5.13671875e-01
 1.36523438e+00 1.42187500e+00 1.46484375e+00 5.02539062e+00
 5.04492188e+00 5.12109375e+00 8.26562500e+00 8.35546875e+00
 3.90625000e-03 1.56250000e-02 2.14843750e-02 1.25000000e-01
 4.72851562e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[-0.0234375  -0.0625      0.08203125  0.08398438  0.23828125  0.20703125
  0.18945312  0.26757812  0.31054688  0.41210938  0.95898438  0.93359375
  0.79492188  0.27929688  1.421875   -0.01953125 -0.06054688  0.07617188
  0.078125    0.30273438  0.26367188  0.25        0.36328125  0.41601562
  0.53320312  1.29101562  1.25        1.11914062  0.84375     1.85546875
  1.56835938 -0.13867188  0.06835938  0.109375    0.20898438  0.41796875
  0.3203125   0.30859375  0.16601562 -0.75976562  0.34179688 -0.02539062
 -0.06835938  0.06445312  0.07226562  0.1796875   0.1484375   0.12890625
  0.16796875  0.2109375   0.30664062  0.64648438  0.61132812  0.47851562
 -0.26171875  0.86132812  0.01171875  0.00976562  0.09765625  0.0859375
 -6.3125      0.01367188  0.01171875  0.10351562]"
