frame,x,y,z
0,-0.37304688,2.2578125,0.69335938
1,-0.37304688 -0.38085938 -0.37304688 -0.38085938,2.28515625 2.3515625  2.34570312 2.390625  ,0.59570312 0.515625   0.27734375 0.28125   
2,"-0.3671875  -0.29882812 -0.38085938 -0.29882812 -0.37304688 -0.3671875
 -0.29882812 -0.3046875 ","2.20507812 2.28710938 2.3359375  2.23046875 2.35546875 2.28710938
 2.3515625  2.40039062","0.70703125 0.6328125  0.58203125 0.80859375 0.16796875 0.35742188
 0.31835938 0.296875  "
3,-0.37304688 -0.3046875  -0.37304688 -0.3046875 ,2.28320312 2.34765625 2.33203125 2.3984375 ,0.60351562 0.58398438 0.3671875  0.30859375
4,"-0.3671875  -0.37304688 -0.38085938 -0.29882812 -0.29296875 -0.29882812
 -0.3046875 ","2.1875     2.29296875 2.3359375  2.35351562 2.30273438 2.3515625
 2.40234375","0.75585938 0.56835938 0.5859375  0.2890625  0.3203125  0.31445312
 0.27929688"
5,"-0.29882812 -0.38085938 -0.3671875  -0.37304688 -0.3046875  -0.37304688
 -0.22460938 -0.3046875  -0.29296875 -0.29882812 -0.22851562","2.31445312 2.34960938 2.21289062 2.28515625 2.34179688 2.20507812
 2.37109375 2.41210938 2.3046875  2.34765625 2.40625   ","0.51953125 0.5234375  0.68359375 0.59375    0.60351562 0.84375
 0.19921875 0.18945312 0.31640625 0.34570312 0.31445312"
6,"-0.3671875  -0.37304688 -0.3046875  -0.29296875 -0.37304688 -0.38085938
 -0.37304688 -0.45703125 -0.44921875 -0.37304688 -0.3671875  -0.29882812
 -0.3046875  -0.3671875  -0.29882812 -0.3046875 ","2.23242188 2.30664062 2.36132812 2.24414062 2.27539062 2.32617188
 2.22070312 2.26367188 2.2265625  2.359375   2.296875   2.36523438
 2.4140625  2.28125    2.34570312 2.39648438","0.61523438 0.50390625 0.52148438 0.61132812 0.6328125  0.625
 0.80078125 0.77929688 0.74609375 0.11914062 0.2890625  0.1796875
 0.15820312 0.3984375  0.34960938 0.33203125"
7,"-0.3671875  -0.29882812 -0.38085938 -0.3671875  -0.37304688 -0.38085938
 -0.43945312 -0.37304688 -0.38085938 -0.44921875 -0.29882812 -0.29296875
 -0.29882812 -0.22851562  0.92382812 -0.67773438 -0.67382812 -0.66796875
 -0.29296875 -0.37304688 -0.3046875  -0.67773438  0.96679688","2.25976562 2.31054688 2.35351562 2.19335938 2.25585938 2.30859375
 2.140625   2.203125   2.25195312 2.015625   2.37109375 2.31445312
 2.36328125 2.41796875 0.34179688 0.77148438 0.84179688 0.90039062
 2.29296875 2.33203125 2.38867188 0.70507812 0.33398438"," 0.50585938  0.5390625   0.50976562  0.74414062  0.69921875  0.6875
  0.84765625  0.84960938  0.85351562  1.20507812  0.04492188  0.2265625
  0.21679688  0.20703125  0.03320312  0.09960938  0.03710938  0.09765625
  0.390625    0.36914062  0.37304688  0.12304688 -0.12890625"
8,"-0.64453125 -0.640625   -0.3671875  -0.29882812 -0.38085938 -0.3671875
 -0.37304688 -0.38085938 -0.29296875 -0.37304688 -0.45703125 -0.37304688
 -0.29882812 -0.29296875 -0.29882812 -0.3046875  -0.80664062  0.87890625
  0.92382812 -0.67773438 -0.67382812 -0.66796875 -0.29296875 -0.29882812
 -0.3046875  -0.67773438","0.78125    0.86132812 2.24804688 2.29882812 2.33398438 2.1953125
 2.25       2.29882812 2.06640625 2.18359375 2.25390625 2.20507812
 2.37109375 2.31054688 2.35546875 2.40234375 0.375      0.32617188
 0.33007812 0.76953125 0.8359375  0.90234375 2.28710938 2.33398438
 2.37890625 0.66210938"," 0.19335938  0.10546875  0.55664062  0.58398438  0.59375     0.734375
  0.71484375  0.71289062  1.06640625  0.8984375   0.80859375  0.84375
  0.09375     0.2578125   0.2734375   0.28710938  0.03515625 -0.00390625
 -0.08984375  0.12109375  0.09375     0.07617188  0.421875    0.42578125
  0.44140625  0.26953125"
9," 0.84960938  0.89257812 -0.67382812  1.0546875   1.08398438 -0.3671875
 -0.37304688 -0.38085938  1.00195312 -0.3671875  -0.37304688 -0.3671875
 -0.37304688 -0.44921875 -0.37304688  0.89257812  1.10742188  1.13867188
 -0.29296875 -0.37304688 -0.3046875  -0.6953125   0.8203125   0.86132812
 -0.67773438 -0.67382812 -0.6328125   1.0546875   1.08398438 -0.3671875
 -0.29882812 -0.3046875  -0.73828125  0.75195312 -0.703125   -0.70703125
  0.90234375","0.37890625 0.39453125 0.8203125  1.2578125  1.28320312 2.24414062
 2.2890625  2.3359375  1.26757812 2.20898438 2.24414062 2.15625
 2.19726562 2.1171875  2.35742188 0.41015625 1.26171875 1.29296875
 2.31054688 2.34570312 2.40039062 0.54296875 0.453125   0.4765625
 0.765625   0.83398438 0.92578125 1.28515625 1.3125     2.27734375
 2.33203125 2.37695312 0.52539062 0.47851562 0.50195312 0.55273438
 0.49414062"," 0.11328125  0.13085938  0.18945312  0.38867188  0.43359375  0.57226562
  0.578125    0.58398438  0.49023438  0.6953125   0.73242188  0.84570312
  0.8671875   1.015625    0.12695312 -0.0703125   0.17773438  0.20507812
  0.25976562  0.26953125  0.29492188  0.11523438  0.02539062  0.015625
  0.13867188  0.11914062  0.09375     0.28710938  0.33398438  0.41796875
  0.43359375  0.44726562  0.38671875 -0.01171875  0.36523438  0.40234375
 -0.07226562"
10," 0.8203125   0.86132812 -0.67382812  1.0546875   1.08398438 -0.3671875
 -0.37304688 -0.38085938 -0.43945312 -0.37304688 -0.51367188 -0.44921875
 -0.37304688 -0.29882812  0.87890625  0.89257812  1.0546875   1.08398438
 -0.29296875 -0.29882812 -0.3046875  -0.71289062 -0.77929688  0.87890625
  0.89257812 -0.58007812 -0.67382812 -0.66796875  1.0546875   1.08398438
 -0.3671875  -0.29882812 -0.38085938  0.87109375","0.40429688 0.45703125 0.81445312 1.2578125  1.28320312 2.24414062
 2.29101562 2.33984375 2.14648438 2.21289062 2.09960938 2.1328125
 2.16210938 2.36523438 0.3203125  0.41601562 1.3046875  1.33398438
 2.30664062 2.35546875 2.40429688 0.4453125  0.4296875  0.29882812
 0.41015625 0.85351562 0.8203125  0.89453125 1.28515625 1.3125
 2.2734375  2.33203125 2.37109375 0.55273438","0.20703125 0.13671875 0.2109375  0.390625   0.43164062 0.5703125
 0.57617188 0.56640625 0.8359375  0.82617188 0.90625    0.984375
 0.95117188 0.16796875 0.05859375 0.0234375  0.18164062 0.22851562
 0.296875   0.28515625 0.27148438 0.0859375  0.03125    0.1328125
 0.07226562 0.01171875 0.19140625 0.13867188 0.28710938 0.33007812
 0.43554688 0.43945312 0.41796875 0.02148438"
11," 0.8203125   0.86132812 -0.64453125 -0.7421875   1.0546875   1.08398438
 -0.3671875  -0.37304688  1.00195312 -0.43945312 -0.37304688 -0.43945312
 -0.44921875 -0.44921875 -0.44921875  0.87890625  0.89257812  1.0546875
  1.08398438 -0.29296875 -0.29882812 -0.73828125  0.80664062  0.84960938
  0.89257812 -0.61328125 -0.70703125  1.0546875   1.08398438 -0.3671875
 -0.29882812  0.83789062  0.83789062","0.37304688 0.43164062 0.77734375 0.70898438 1.25976562 1.29296875
 2.24804688 2.29296875 1.25390625 2.18945312 2.24609375 2.14257812
 2.19335938 2.16992188 2.34765625 0.31640625 0.4140625  1.30664062
 1.33984375 2.31054688 2.35546875 0.375      0.37695312 0.36914062
 0.39257812 0.80859375 0.76757812 1.28515625 1.31835938 2.27734375
 2.33398438 0.59960938 0.59960938"," 0.25976562  0.19921875  0.2109375   0.33203125  0.38671875  0.40429688
  0.55664062  0.56835938  0.52148438  0.7109375   0.7265625   0.84375
  0.83789062  0.89648438  0.0546875   0.08007812  0.04492188  0.17382812
  0.203125    0.26757812  0.27929688  0.16210938 -0.01171875  0.14257812
  0.13671875  0.1875      0.26757812  0.28710938  0.31054688  0.41210938
  0.42773438  0.04882812 -0.0546875 "
12," 0.8203125   0.83007812  1.02539062  1.0546875   1.08398438 -0.3671875
 -0.37304688  1.00195312  1.02929688 -0.3671875  -0.37304688 -0.51367188
 -0.44921875 -0.37304688  0.86132812  1.02539062  1.10742188  1.13867188
 -0.29296875 -0.37304688  0.84960938  0.89257812 -0.64453125 -0.70703125
  1.07617188  1.0546875   1.08398438 -0.3671875  -0.37304688 -0.38085938
  0.90234375  0.9765625 ","0.3984375  0.484375   1.22851562 1.25976562 1.29296875 2.24414062
 2.29296875 1.265625   1.30859375 2.20507812 2.25976562 2.15820312
 2.21875    2.359375   0.4765625  1.27148438 1.26171875 1.296875
 2.30664062 2.34570312 0.34960938 0.40820312 0.78320312 0.76171875
 1.21484375 1.28515625 1.32421875 2.27539062 2.32421875 2.38085938
 0.48828125 0.        "," 0.21679688  0.2109375   0.359375    0.38867188  0.40039062  0.57226562
  0.56640625  0.49414062  0.48632812  0.70703125  0.6875      0.75585938
  0.76757812 -0.09375     0.0234375   0.15429688  0.17773438  0.16992188
  0.2890625   0.265625    0.18945312  0.078125    0.18554688  0.28710938
  0.2421875   0.2890625   0.27929688  0.42382812  0.4140625   0.36328125
 -0.10546875  1.0546875 "
13," 0.8203125   0.89257812  1.02539062  1.0546875   1.02929688 -0.359375
 -0.3671875  -0.37304688  1.00195312 -0.3671875  -0.44921875 -0.43945312
 -0.44921875 -0.671875    0.84960938  1.02539062  1.0546875   1.08398438
 -0.359375   -0.3671875  -0.29882812  0.75195312  0.84960938  0.89257812
  1.02539062  1.0546875   1.08398438 -0.359375   -0.3671875  -0.37304688","0.4375     0.41210938 1.22851562 1.25390625 1.33984375 2.21875
 2.24414062 2.29492188 1.24609375 2.18945312 2.21289062 2.02929688
 2.13085938 2.11328125 0.39453125 1.27148438 1.3046875  1.34375
 2.26367188 2.30078125 2.35742188 0.46484375 0.38867188 0.41601562
 1.25390625 1.28320312 1.32421875 2.24804688 2.27734375 2.32617188"," 0.11914062  0.0625      0.36132812  0.40429688  0.390625    0.47265625
  0.57226562  0.56054688  0.54101562  0.75390625  0.78710938  1.0859375
  0.98828125  0.89648438 -0.03710938  0.15625     0.18945312  0.171875
  0.15234375  0.2578125   0.26171875  0.11132812  0.08203125  0.00976562
  0.26171875  0.29492188  0.28125     0.31445312  0.41601562  0.40820312"
14," 0.8203125   0.86132812  0.97460938  1.0546875   1.02929688 -0.43164062
 -0.3671875  -0.37304688 -0.51367188 -0.5234375  -0.51367188 -0.44921875
  0.84960938  1.02539062  1.0546875   1.08398438 -0.359375   -0.29296875
 -0.37304688 -0.71289062  0.75195312  0.84960938  0.86132812  1.02539062
  1.0546875   1.08398438 -0.359375   -0.3671875  -0.37304688","0.41796875 0.41601562 1.2578125  1.24609375 1.33203125 2.203125
 2.24023438 2.2890625  2.21289062 2.27148438 2.15820312 2.2265625
 0.37890625 1.265625   1.29882812 1.33789062 2.25976562 2.30664062
 2.34570312 0.43945312 0.41992188 0.375      0.453125   1.24414062
 1.27734375 1.31835938 2.2421875  2.2734375  2.32421875","0.17578125 0.23046875 0.40234375 0.42578125 0.41601562 0.49023438
 0.5859375  0.578125   0.578125   0.52929688 0.75976562 0.74609375
 0.1171875  0.203125   0.21875    0.20507812 0.2109375  0.29882812
 0.27148438 0.11132812 0.2265625  0.12695312 0.1484375  0.30273438
 0.32617188 0.30664062 0.34960938 0.4375     0.41992188"
15," 1.02539062  1.0546875   1.02929688 -0.359375   -0.3671875  -0.37304688
 -0.5859375  -0.5234375  -0.37304688  1.07617188  1.10742188  1.08398438
 -0.359375   -0.3671875  -0.37304688 -0.69726562 -0.73828125  0.72460938
  0.87890625  0.86132812 -0.703125    1.02539062  1.0546875   1.08398438
 -0.359375   -0.3671875  -0.37304688 -0.75195312 -0.70703125","1.21679688 1.24023438 1.32226562 2.2109375  2.23632812 2.28710938
 2.18164062 2.19140625 2.31054688 1.22265625 1.25195312 1.3359375
 2.25585938 2.29492188 2.34375    0.37890625 0.40234375 0.
 0.3046875  0.46679688 0.82226562 1.24609375 1.2734375  1.31054688
 2.23828125 2.27148438 2.3203125  0.47460938 0.6328125 ","0.3984375  0.44726562 0.44726562 0.51171875 0.6015625  0.5859375
 0.62695312 0.80273438 0.49023438 0.1953125  0.23632812 0.22460938
 0.25195312 0.30859375 0.28515625 0.0703125  0.06835938 0.6328125
 0.1171875  0.09179688 0.30664062 0.29296875 0.33984375 0.34179688
 0.375      0.44921875 0.43554688 0.05664062 0.26367188"
16,"-0.72460938  1.02539062  1.0546875  -0.43164062 -0.3671875  -0.37304688
 -0.43945312 -0.5234375  -0.44921875 -0.43945312 -0.44921875  1.02539062
  1.0546875  -0.359375   -0.3671875  -0.37304688 -0.71289062 -0.72460938
 -0.73242188 -0.70898438 -0.67382812 -0.66796875  1.07617188  1.0546875
 -0.359375   -0.3671875  -0.37304688  0.75195312  0.84960938  0.97460938","0.51171875 1.203125   1.22265625 2.18164062 2.234375   2.28710938
 2.15234375 2.2578125  2.3359375  2.29101562 2.34375    1.2578125
 1.28710938 2.25       2.29492188 2.34375    0.43945312 0.51953125
 0.5703125  0.69335938 0.78320312 0.87109375 1.1875     1.2578125
 2.22851562 2.26953125 2.3203125  0.         0.16210938 1.2734375 "," 0.08398438  0.44140625  0.4921875   0.57421875  0.60546875  0.59179688
  0.81640625  0.58789062 -0.24023438  0.22460938  0.15625     0.2421875
  0.28125     0.29296875  0.30859375  0.28515625  0.109375    0.01953125
 -0.12890625  0.28125     0.30664062  0.25        0.34960938  0.39257812
  0.42773438  0.45507812  0.43945312  0.61328125  0.36132812  0.34765625"
