frame,x,y,z
0,"[-0.01367188 -0.02929688 -0.05273438  0.06054688  0.703125    0.734375
  0.73828125  0.77539062  0.84375     0.86523438  0.95703125  0.96484375
  0.97265625  0.7734375   0.51757812  0.25976562  0.5234375  -1.87109375
 -0.01367188 -0.03125    -0.05664062  0.06054688  0.72851562  0.70703125
  0.73828125  0.77539062  0.79492188  0.86523438  0.95703125  0.96484375
  0.97265625  0.515625    0.51757812  0.25976562  0.26171875 -2.13671875
  0.79492188  0.76171875  0.8046875   0.81054688  0.25976562  0.25976562
  0.26171875  0.51953125  0.96484375  0.51757812  0.51953125  0.78320312
 -0.01367188 -0.02929688 -0.05273438  0.06054688  0.734375    0.73828125
  0.84375     0.86523438  0.95703125  0.96484375  0.97265625  0.7734375
  0.51757812  0.51953125  0.5234375  -1.87109375]","[0.02734375 0.03125    0.02539062 0.1171875  0.4140625  0.43945312
 0.51757812 1.3125     1.30859375 1.33789062 4.93164062 4.96289062
 5.01367188 8.08398438 8.15820312 8.24804688 8.26757812 8.25976562
 0.02929688 0.03515625 0.         0.109375   0.34960938 0.4609375
 0.5        1.28515625 1.31445312 1.30859375 4.86523438 4.890625
 4.9453125  8.00585938 8.04882812 8.15429688 8.21289062 8.12109375
 1.27929688 1.35351562 4.8515625  4.86132812 7.94921875 8.02929688
 8.06835938 8.2890625  5.03320312 8.26953125 8.30664062 8.32226562
 0.0234375  0.01757812 0.046875   0.12304688 0.45703125 0.52734375
 1.328125   1.359375   4.98046875 5.01367188 5.05859375 8.1640625
 8.23046875 8.28125    8.32617188 8.32226562]","[-0.0234375  -0.0625      0.09765625  0.07421875  0.16601562  0.15625
  0.11328125  0.2890625   0.31640625  0.33398438  0.91796875  0.95703125
  0.8828125   1.43945312  1.34570312  1.08984375  1.12890625  1.171875
 -0.01953125 -0.06054688  0.1015625   0.08398438  0.20117188  0.21289062
  0.17578125  0.39453125  0.41015625  0.43554688  1.22851562  1.2734375
  1.20703125  1.91601562  1.89648438  1.6484375   1.54882812  1.60742188
  0.50585938  0.48242188  1.515625    1.60546875  2.32421875  2.17578125
  2.17773438 -0.53515625  0.46484375  0.09765625  0.02929688  0.1640625
 -0.02539062 -0.06835938  0.08789062  0.06445312  0.09375     0.04296875
  0.21484375  0.22851562  0.61132812  0.640625    0.57226562  0.88867188
  0.79296875  0.64453125  0.5546875   0.58984375]"
1,"[-0.01367188 -0.02929688 -0.05273438  0.06054688  0.72851562  0.734375
  0.765625    0.82421875  0.79492188  0.86523438  0.95703125  0.96484375
  0.97265625  0.515625    0.51757812  0.51953125  0.26171875 -0.01367188
 -0.03125    -0.05664062  0.06054688  0.703125    0.734375    0.73828125
  0.79492188  0.8125      0.95703125  0.96484375  0.97265625  0.515625
  0.25976562  0.51953125  0.26171875  0.74414062  0.8046875   0.25976562
  0.25976562  0.26171875  0.51953125  0.84375     0.96484375  0.51757812
  0.51953125  0.5234375  -0.01367188 -0.02929688 -0.05273438  0.06054688
  0.72851562  0.734375    0.765625    0.82421875  0.84375     0.86523438
  0.95703125  0.96484375  0.97265625  0.7734375   0.51757812  0.51953125
  0.5234375  -0.03515625 -0.07421875  0.046875  ]","[2.73437500e-02 3.12500000e-02 2.53906250e-02 1.17187500e-01
 3.71093750e-01 4.39453125e-01 4.72656250e-01 1.27734375e+00
 1.34179688e+00 1.33593750e+00 4.93359375e+00 4.96289062e+00
 5.01367188e+00 8.11914062e+00 8.16015625e+00 8.21875000e+00
 8.30078125e+00 2.92968750e-02 3.32031250e-02 0.00000000e+00
 1.09375000e-01 3.82812500e-01 4.10156250e-01 4.98046875e-01
 1.31445312e+00 1.34179688e+00 4.86523438e+00 4.89257812e+00
 4.94726562e+00 8.01171875e+00 8.08398438e+00 8.11914062e+00
 8.21484375e+00 1.31835938e+00 4.87500000e+00 7.96289062e+00
 8.01367188e+00 8.05468750e+00 8.29492188e+00 1.33789062e+00
 5.04492188e+00 8.26367188e+00 8.30664062e+00 8.34570312e+00
 2.34375000e-02 1.75781250e-02 4.68750000e-02 1.25000000e-01
 3.92578125e-01 4.57031250e-01 4.82421875e-01 1.29687500e+00
 1.32812500e+00 1.35937500e+00 4.98046875e+00 5.01367188e+00
 5.05859375e+00 8.16210938e+00 8.23046875e+00 8.28125000e+00
 8.32617188e+00 3.90625000e-03 1.56250000e-02 6.25000000e-02]","[-0.0234375  -0.0625      0.09765625  0.07421875  0.15820312  0.15625
  0.12109375  0.31054688  0.30664062  0.3359375   0.91601562  0.95703125
  0.88867188  1.36132812  1.34570312  1.203125    0.97070312 -0.01953125
 -0.06054688  0.1015625   0.0859375   0.23046875  0.22265625  0.17773438
  0.41015625  0.4296875   1.22851562  1.26757812  1.20507812  1.88671875
  1.79882812  1.75976562  1.53710938  0.484375    1.43359375  2.2734375
  2.23242188  2.23046875 -0.43554688  0.1484375   0.31054688  0.3125
  0.08203125  0.         -0.02539062 -0.06835938  0.08789062  0.06054688
  0.09375     0.09570312  0.07226562  0.20703125  0.21484375  0.23046875
  0.6015625   0.64257812  0.5703125   0.90820312  0.796875    0.65039062
  0.55078125  0.01171875  0.00976562  0.08203125]"
2,"[-0.01367188 -0.02929688 -0.05273438  0.06640625  0.703125    0.734375
  0.73828125  0.82421875  0.79492188  0.86523438  0.95703125  0.96484375
  0.97265625  0.515625    0.51757812  0.51953125  0.26171875 -0.01367188
 -0.03125    -0.05664062  0.06054688  0.703125    0.734375    0.73828125
  0.79492188  0.8125      0.95703125  0.96484375  0.97265625  0.515625
  0.25976562  0.51953125  0.5234375   0.74414062  0.8046875   0.25976562
  0.25976562  0.26171875  0.51953125  0.84375     0.96484375  0.51757812
  0.51953125  0.5234375  -0.01367188 -0.02929688 -0.05273438  0.06054688
  0.72851562  0.734375    0.765625    0.84375     0.86523438  0.95703125
  0.96484375  0.97265625  0.7734375   0.51757812  0.51953125  0.5234375
 -2.13671875 -0.03515625 -0.07421875  0.046875  ]","[2.73437500e-02 3.12500000e-02 2.53906250e-02 1.07421875e-01
 4.14062500e-01 4.39453125e-01 5.15625000e-01 1.27734375e+00
 1.34179688e+00 1.33593750e+00 4.93164062e+00 4.96289062e+00
 5.01171875e+00 8.11718750e+00 8.15820312e+00 8.21875000e+00
 8.29882812e+00 2.92968750e-02 3.51562500e-02 0.00000000e+00
 1.09375000e-01 3.84765625e-01 4.12109375e-01 4.98046875e-01
 1.31445312e+00 1.33984375e+00 4.86523438e+00 4.89062500e+00
 4.94531250e+00 8.00781250e+00 8.08203125e+00 8.11718750e+00
 8.16796875e+00 1.30664062e+00 4.86523438e+00 7.94726562e+00
 8.02539062e+00 8.08007812e+00 8.30468750e+00 1.33984375e+00
 5.04492188e+00 8.26562500e+00 8.30664062e+00 8.34375000e+00
 2.34375000e-02 1.75781250e-02 4.68750000e-02 1.21093750e-01
 3.88671875e-01 4.55078125e-01 4.84375000e-01 1.32812500e+00
 1.35742188e+00 4.97851562e+00 5.01171875e+00 5.05859375e+00
 8.16210938e+00 8.23046875e+00 8.28125000e+00 8.32617188e+00
 8.26757812e+00 3.90625000e-03 1.56250000e-02 6.25000000e-02]","[-0.0234375  -0.0625      0.09765625  0.08203125  0.16992188  0.16015625
  0.1171875   0.30859375  0.30664062  0.33789062  0.92382812  0.9609375
  0.89257812  1.36914062  1.3515625   1.20898438  0.98046875 -0.01953125
 -0.06054688  0.1015625   0.0859375   0.2265625   0.21875     0.1796875
  0.41015625  0.43359375  1.22460938  1.27539062  1.21484375  1.91015625
  1.8046875   1.76757812  1.70898438  0.51367188  1.46875     2.33203125
  2.19140625  2.13476562 -0.18359375  0.12109375  0.296875    0.24609375
  0.02929688 -0.08789062 -0.02539062 -0.06835938  0.08789062  0.06445312
  0.109375    0.109375    0.05664062  0.21679688  0.234375    0.61914062
  0.64648438  0.5703125   0.90234375  0.796875    0.65039062  0.55664062
  0.43554688  0.01171875  0.00976562  0.08203125]"
3,"[-0.01367188 -0.02929688 -0.05273438  0.06640625  0.72851562  0.734375
  0.765625    0.82421875  0.79492188  0.86523438  0.95703125  0.96484375
  0.97265625  0.97851562  0.515625    0.51757812  0.51953125  0.26171875
 -0.01367188 -0.03125    -0.05664062  0.06054688  0.703125    0.734375
  0.73828125  0.79492188  0.8125      0.95703125  0.96484375  0.97265625
  0.97851562  0.515625    0.25976562  0.51953125  0.5234375   0.74414062
  0.8046875   0.51757812  0.25976562  0.26171875  0.          0.84375
  0.8125      1.125       0.51757812  0.51953125  0.5234375  -0.01367188
 -0.02929688 -0.05273438  0.0703125   0.703125    0.734375    0.765625
  0.82421875  0.84375     0.86523438  0.95703125  0.96484375  0.97265625
 -0.63085938  0.7734375   0.51757812  0.51953125]","[0.02734375 0.03125    0.02734375 0.10742188 0.37109375 0.43945312
 0.47265625 1.27734375 1.34179688 1.33789062 4.93164062 4.9609375
 5.01171875 5.10742188 8.11914062 8.15820312 8.21875    8.29882812
 0.02929688 0.03320312 0.         0.109375   0.39453125 0.41796875
 0.49804688 1.31445312 1.34179688 4.86328125 4.890625   4.94335938
 5.06835938 8.00585938 8.08007812 8.11523438 8.16796875 1.30859375
 4.86523438 7.88476562 7.9921875  8.09375    7.84179688 1.34179688
 1.40429688 5.01171875 8.26757812 8.30664062 8.34375    0.0234375
 0.015625   0.046875   0.1015625  0.4296875  0.45507812 0.48242188
 1.29882812 1.328125   1.359375   4.98046875 5.01367188 5.05859375
 6.28515625 8.16210938 8.23046875 8.28125   ]","[-0.0234375  -0.0625      0.09570312  0.08203125  0.15625     0.15625
  0.11914062  0.30664062  0.3046875   0.33398438  0.91796875  0.9609375
  0.89453125  0.46484375  1.36132812  1.3515625   1.2109375   0.98242188
 -0.01953125 -0.06054688  0.1015625   0.0859375   0.2109375   0.20898438
  0.17773438  0.41015625  0.42773438  1.23242188  1.27148438  1.21679688
  0.77734375  1.91210938  1.81445312  1.7734375   1.7109375   0.5078125
  1.46679688  2.49414062  2.3125      2.08203125  2.7890625   0.109375
  0.11914062  0.31054688  0.1328125   0.02734375 -0.09960938 -0.02539062
 -0.06835938  0.08789062  0.0859375   0.12109375  0.10546875  0.06835938
  0.20507812  0.21679688  0.23046875  0.609375    0.64257812  0.578125
  2.3359375   0.89648438  0.79882812  0.65429688]"
4,"[-0.01367188 -0.02929688 -0.05273438  0.06640625  0.703125    0.734375
  0.765625    0.82421875  0.79492188  0.86523438  0.95703125  0.96484375
  0.97265625  0.515625    0.51757812  0.51953125  0.26171875 -0.01367188
 -0.03125    -0.05664062  0.06054688  0.703125    0.734375    0.73828125
  0.79492188  0.8125      0.95703125  0.96484375  0.97265625  0.97851562
  0.515625    0.51757812  0.25976562  0.5234375   0.74414062  0.8046875
  0.51757812  0.25976562  0.26171875  0.96484375  0.51757812  0.51953125
  0.5234375  -0.01367188 -0.02929688 -0.05273438  0.0703125   0.703125
  0.734375    0.765625    0.82421875  0.84375     0.86523438  0.95703125
  0.96484375  0.97265625  0.515625    0.51757812  0.51953125  0.5234375
 -0.03515625 -0.07421875  0.046875    0.11914062]","[2.73437500e-02 3.12500000e-02 2.53906250e-02 1.07421875e-01
 4.12109375e-01 4.39453125e-01 4.70703125e-01 1.27734375e+00
 1.34179688e+00 1.33789062e+00 4.93164062e+00 4.96093750e+00
 5.01171875e+00 8.11718750e+00 8.16015625e+00 8.21875000e+00
 8.30078125e+00 2.92968750e-02 3.51562500e-02 0.00000000e+00
 1.09375000e-01 3.88671875e-01 4.16015625e-01 5.00000000e-01
 1.31250000e+00 1.34179688e+00 4.86328125e+00 4.89062500e+00
 4.94335938e+00 5.07031250e+00 8.00781250e+00 8.05078125e+00
 8.15429688e+00 8.16796875e+00 1.30664062e+00 4.83593750e+00
 7.90820312e+00 8.00000000e+00 8.05859375e+00 5.04687500e+00
 8.26757812e+00 8.30664062e+00 8.34570312e+00 2.34375000e-02
 1.75781250e-02 4.68750000e-02 1.05468750e-01 4.31640625e-01
 4.55078125e-01 4.82421875e-01 1.29687500e+00 1.32812500e+00
 1.35742188e+00 4.97851562e+00 5.01367188e+00 5.05859375e+00
 8.18945312e+00 8.23046875e+00 8.28125000e+00 8.32617188e+00
 3.90625000e-03 1.56250000e-02 6.25000000e-02 0.00000000e+00]","[-0.0234375  -0.0625      0.09765625  0.08398438  0.171875    0.15625
  0.125       0.3125      0.30859375  0.3359375   0.92382812  0.96289062
  0.89648438  1.36914062  1.34570312  1.20507812  0.9765625  -0.01953125
 -0.06054688  0.10351562  0.0859375   0.22070312  0.2109375   0.17578125
  0.41210938  0.43164062  1.23242188  1.27734375  1.22070312  0.77539062
  1.91015625  1.890625    1.65039062  1.7109375   0.51367188  1.56054688
  2.41992188  2.28320312  2.21484375  0.27539062  0.17773438  0.046875
 -0.015625   -0.02539062 -0.06835938  0.08789062  0.08203125  0.1171875
  0.10546875  0.0625      0.21289062  0.21875     0.23242188  0.6171875
  0.64453125  0.58007812  0.83007812  0.796875    0.6484375   0.55078125
  0.01171875  0.00976562  0.08203125 -0.1015625 ]"
5,"[-0.01367188 -0.02929688 -0.05273438  0.06640625  0.72851562  0.734375
  0.73828125  0.82421875  0.79492188  0.86523438  0.95703125  0.96484375
  0.97265625  0.515625    0.51757812  0.51953125  0.26171875 -0.01367188
 -0.03125    -0.05664062  0.06054688  0.703125    0.734375    0.73828125
  0.79492188  0.8125      0.95703125  0.96484375  0.97265625  0.515625
  0.25976562  0.51953125  0.5234375   0.79492188  0.8046875   0.51757812
  0.25976562  0.26171875  0.25976562  0.84375     0.96484375  0.51757812
  0.51953125  0.5234375  -0.01367188 -0.02929688 -0.05273438  0.06054688
  0.72851562  0.734375    0.765625    0.82421875  0.84375     0.86523438
  0.95703125  0.96484375  0.97265625  0.7734375   0.51757812  0.51953125
  0.5234375  -0.03515625 -0.07421875  0.046875  ]","[2.73437500e-02 3.12500000e-02 2.53906250e-02 1.07421875e-01
 3.73046875e-01 4.41406250e-01 5.17578125e-01 1.27734375e+00
 1.34179688e+00 1.33593750e+00 4.93164062e+00 4.96289062e+00
 5.01171875e+00 8.11718750e+00 8.15820312e+00 8.21875000e+00
 8.30078125e+00 2.92968750e-02 3.51562500e-02 0.00000000e+00
 1.09375000e-01 3.90625000e-01 4.19921875e-01 4.98046875e-01
 1.31445312e+00 1.34179688e+00 4.86328125e+00 4.89062500e+00
 4.94531250e+00 8.00781250e+00 8.08398438e+00 8.11914062e+00
 8.16796875e+00 1.27343750e+00 4.79296875e+00 7.87890625e+00
 8.02343750e+00 8.09179688e+00 7.82031250e+00 1.34179688e+00
 5.02929688e+00 8.26562500e+00 8.30664062e+00 8.34570312e+00
 2.34375000e-02 1.56250000e-02 4.68750000e-02 1.21093750e-01
 3.88671875e-01 4.57031250e-01 4.84375000e-01 1.29882812e+00
 1.32812500e+00 1.35937500e+00 4.97851562e+00 5.01171875e+00
 5.05859375e+00 8.16406250e+00 8.23046875e+00 8.28125000e+00
 8.32617188e+00 3.90625000e-03 1.56250000e-02 6.25000000e-02]","[-0.0234375  -0.0625      0.09765625  0.08203125  0.15429688  0.15429688
  0.11523438  0.30859375  0.30664062  0.3359375   0.921875    0.9609375
  0.89257812  1.3671875   1.34765625  1.20507812  0.9765625  -0.01953125
 -0.06054688  0.1015625   0.0859375   0.21484375  0.20507812  0.17773438
  0.40820312  0.42773438  1.234375    1.27929688  1.2109375   1.90625
  1.80273438  1.76171875  1.70703125  0.5234375   1.69140625  2.50976562
  2.20117188  2.08984375  2.83789062  0.11132812  0.49609375  0.26953125
  0.11914062 -0.02929688 -0.02539062 -0.06835938  0.08789062  0.06640625
  0.10351562  0.09765625  0.046875    0.20507812  0.21679688  0.23046875
  0.62304688  0.64648438  0.57226562  0.88867188  0.796875    0.64648438
  0.55273438  0.01171875  0.00976562  0.08203125]"
6,"[-0.01367188 -0.02929688 -0.05273438  0.06640625  0.72851562  0.734375
  0.73828125  0.82421875  0.79492188  0.86523438  0.95703125  0.96484375
  0.97265625  0.515625    0.51757812  0.51953125  0.26171875 -0.01367188
 -0.03125    -0.05664062  0.05664062  0.703125    0.734375    0.73828125
  0.77539062  0.79492188  0.8125      0.95703125  0.96484375  0.97265625
  0.515625    0.51757812  0.51953125  0.5234375   0.79492188  0.96484375
  0.51757812  0.25976562  0.26171875  0.          0.51953125  0.79492188
  0.96484375  0.51757812  0.51953125  0.5234375  -0.01367188 -0.02929688
 -0.05273438  0.06054688  0.72851562  0.734375    0.765625    0.82421875
  0.84375     0.86523438  0.95703125  0.96484375  0.97265625  0.515625
  0.51757812  0.51953125  0.5234375  -0.03515625]","[2.73437500e-02 3.12500000e-02 2.53906250e-02 1.07421875e-01
 3.69140625e-01 4.39453125e-01 5.15625000e-01 1.27734375e+00
 1.34179688e+00 1.33789062e+00 4.92968750e+00 4.96093750e+00
 5.01367188e+00 8.11718750e+00 8.15820312e+00 8.21875000e+00
 8.29882812e+00 2.92968750e-02 3.51562500e-02 0.00000000e+00
 1.17187500e-01 3.88671875e-01 4.16015625e-01 4.98046875e-01
 1.28320312e+00 1.31445312e+00 1.34179688e+00 4.86132812e+00
 4.88867188e+00 4.94335938e+00 8.01171875e+00 8.04882812e+00
 8.11718750e+00 8.16796875e+00 1.26953125e+00 4.77148438e+00
 7.91406250e+00 8.01562500e+00 8.07812500e+00 7.91796875e+00
 8.28906250e+00 1.37109375e+00 5.04492188e+00 8.26171875e+00
 8.30664062e+00 8.34375000e+00 2.34375000e-02 1.75781250e-02
 4.68750000e-02 1.21093750e-01 3.88671875e-01 4.55078125e-01
 4.82421875e-01 1.29687500e+00 1.32812500e+00 1.35937500e+00
 4.97851562e+00 5.01171875e+00 5.05859375e+00 8.18945312e+00
 8.23046875e+00 8.28125000e+00 8.32617188e+00 3.90625000e-03]","[-0.0234375  -0.0625      0.09765625  0.08398438  0.16015625  0.15820312
  0.11914062  0.30859375  0.30664062  0.3359375   0.9296875   0.96289062
  0.890625    1.36328125  1.34765625  1.2109375   0.984375   -0.01953125
 -0.06054688  0.1015625   0.078125    0.21875     0.21289062  0.17773438
  0.39453125  0.41015625  0.42773438  1.24023438  1.27929688  1.21484375
  1.89257812  1.8984375   1.76757812  1.70703125  0.53125     1.66601562
  2.39648438  2.2265625   2.13867188  2.56640625 -0.5390625   0.12695312
  0.30664062  0.3359375   0.0859375  -0.06445312 -0.02539062 -0.06835938
  0.08789062  0.06445312  0.10351562  0.1015625   0.06445312  0.20898438
  0.21679688  0.23242188  0.61328125  0.65429688  0.57617188  0.828125
  0.796875    0.65234375  0.55859375  0.01171875]"
7,"[-0.01367188 -0.02929688 -0.05273438  0.06054688  0.72851562  0.734375
  0.73828125  0.82421875  0.79492188  0.86523438  0.95703125  0.96484375
  0.97265625  0.515625    0.51757812  0.51953125  0.26171875 -0.01367188
 -0.03125    -0.05664062  0.05664062  0.703125    0.734375    0.73828125
  0.77539062  0.79492188  0.8125      0.95703125  0.96484375  0.97265625
  0.515625    0.51757812  0.25976562  0.5234375   0.79492188  0.8046875
  0.25976562  0.25976562  0.26171875  0.51953125  0.84375     1.125
  0.51757812  0.51953125  0.5234375  -0.01367188 -0.02929688 -0.05273438
  0.06054688  0.72851562  0.734375    0.765625    0.84375     0.86523438
  0.95703125  0.96484375  0.97265625  0.515625    0.51757812  0.51953125
  0.5234375  -0.03515625 -0.07421875  0.046875  ]","[2.73437500e-02 3.12500000e-02 2.53906250e-02 1.17187500e-01
 3.71093750e-01 4.41406250e-01 5.17578125e-01 1.27734375e+00
 1.34179688e+00 1.33789062e+00 4.92968750e+00 4.96093750e+00
 5.01171875e+00 8.11914062e+00 8.15820312e+00 8.21875000e+00
 8.30078125e+00 2.92968750e-02 3.51562500e-02 0.00000000e+00
 1.17187500e-01 3.92578125e-01 4.21875000e-01 5.05859375e-01
 1.28515625e+00 1.31445312e+00 1.34179688e+00 4.86132812e+00
 4.89062500e+00 4.94531250e+00 8.00781250e+00 8.05078125e+00
 8.15429688e+00 8.16796875e+00 1.26953125e+00 4.78125000e+00
 7.93164062e+00 8.01171875e+00 8.08398438e+00 8.29296875e+00
 1.33789062e+00 5.01953125e+00 8.26562500e+00 8.30664062e+00
 8.34570312e+00 2.34375000e-02 1.75781250e-02 4.68750000e-02
 1.21093750e-01 3.88671875e-01 4.55078125e-01 4.84375000e-01
 1.32812500e+00 1.35937500e+00 4.97851562e+00 5.01171875e+00
 5.05859375e+00 8.18945312e+00 8.23046875e+00 8.28125000e+00
 8.32617188e+00 3.90625000e-03 1.56250000e-02 6.25000000e-02]","[-0.0234375  -0.0625      0.09765625  0.07421875  0.15429688  0.15429688
  0.11132812  0.30664062  0.3046875   0.33398438  0.9296875   0.96484375
  0.89257812  1.36132812  1.34570312  1.20703125  0.9765625  -0.01953125
 -0.06054688  0.1015625   0.07617188  0.21484375  0.19921875  0.15429688
  0.39257812  0.40820312  0.42773438  1.2421875   1.27929688  1.2109375
  1.90429688  1.89257812  1.64648438  1.70507812  0.53320312  1.72460938
  2.38476562  2.24414062  2.11523438 -0.47070312  0.15234375  0.0703125
  0.234375    0.04882812 -0.05273438 -0.02539062 -0.06835938  0.08789062
  0.06445312  0.10742188  0.10546875  0.0625      0.21679688  0.23046875
  0.61132812  0.64648438  0.56835938  0.828125    0.796875    0.6484375
  0.55273438  0.01171875  0.00976562  0.08203125]"
8,"[-0.01367188 -0.02929688 -0.05273438  0.06640625  0.72851562  0.734375
  0.73828125  0.82421875  0.79492188  0.86523438  0.95703125  0.96484375
  0.97265625  0.515625    0.51757812  0.51953125  0.26171875 -0.01367188
 -0.03125    -0.05664062  0.06054688  0.703125    0.734375    0.73828125
  0.79492188  0.8125      0.95703125  0.96484375  0.97265625  0.515625
  0.25976562  0.51953125  0.26171875  0.74414062  0.8046875   0.97265625
  0.51757812  0.25976562  0.26171875  0.51953125  0.84375     0.96484375
  0.51757812  0.51953125  0.5234375  -0.01367188 -0.02929688 -0.05273438
  0.06054688  0.72851562  0.734375    0.765625    0.82421875  0.84375
  0.86523438  0.95703125  0.96484375  0.97265625  0.7734375   0.51757812
  0.51953125  0.5234375  -0.03515625 -0.07421875]","[2.73437500e-02 3.12500000e-02 2.53906250e-02 1.07421875e-01
 3.69140625e-01 4.41406250e-01 5.17578125e-01 1.27734375e+00
 1.34179688e+00 1.33593750e+00 4.93164062e+00 4.96093750e+00
 5.01171875e+00 8.11718750e+00 8.15820312e+00 8.21875000e+00
 8.29882812e+00 2.92968750e-02 3.51562500e-02 0.00000000e+00
 1.09375000e-01 3.90625000e-01 4.17968750e-01 5.03906250e-01
 1.31445312e+00 1.34179688e+00 4.86132812e+00 4.88867188e+00
 4.94140625e+00 8.00390625e+00 8.08007812e+00 8.11523438e+00
 8.20898438e+00 1.30664062e+00 4.76171875e+00 4.76757812e+00
 7.87109375e+00 7.98437500e+00 8.01953125e+00 8.29687500e+00
 1.33593750e+00 5.04492188e+00 8.26562500e+00 8.30664062e+00
 8.34375000e+00 2.34375000e-02 1.56250000e-02 4.68750000e-02
 1.23046875e-01 3.88671875e-01 4.57031250e-01 4.84375000e-01
 1.29882812e+00 1.32812500e+00 1.35937500e+00 4.97851562e+00
 5.01171875e+00 5.05859375e+00 8.16210938e+00 8.23046875e+00
 8.28125000e+00 8.32617188e+00 3.90625000e-03 1.56250000e-02]","[-0.0234375  -0.0625      0.09765625  0.08203125  0.1640625   0.15429688
  0.11328125  0.30664062  0.3046875   0.3359375   0.92578125  0.96679688
  0.89648438  1.37304688  1.35546875  1.21289062  0.98632812 -0.01953125
 -0.06054688  0.10351562  0.0859375   0.21875     0.20703125  0.1640625
  0.41015625  0.43164062  1.23632812  1.28320312  1.22851562  1.91992188
  1.81445312  1.77148438  1.5625      0.51367188  1.7734375   1.78710938
  2.53515625  2.3359375   2.34960938 -0.4296875   0.1640625   0.3203125
  0.25390625  0.09570312  0.05664062 -0.02539062 -0.06835938  0.08789062
  0.0625      0.10351562  0.09765625  0.046875    0.20507812  0.21679688
  0.23242188  0.61523438  0.65039062  0.578125    0.90429688  0.80273438
  0.65429688  0.56445312  0.01171875  0.00976562]"
9,"[-0.01367188 -0.02929688 -0.05273438  0.06640625  0.703125    0.734375
  0.765625    0.77539062  0.79492188  0.86523438  0.95703125  0.96484375
  0.97265625  0.97851562  0.515625    0.51757812  0.25976562  0.5234375
 -0.01367188 -0.03125    -0.05664062  0.06054688  0.703125    0.734375
  0.73828125  0.82421875  0.79492188  0.8125      0.95703125  0.96484375
  0.97265625  0.97851562 -0.63085938  0.515625    0.51757812  0.51953125
  0.26171875  0.74414062  0.8046875   0.25976562  0.25976562  0.26171875
  0.25976562  0.51953125  0.84375     1.125       0.51757812  0.51953125
  0.78320312 -0.01367188 -0.02929688 -0.05273438  0.0703125   0.72851562
  0.734375    0.765625    0.82421875  0.84375     0.86523438  0.95703125
  0.96484375  0.97265625  0.7734375   0.51757812]","[0.02734375 0.03125    0.02539062 0.10742188 0.41210938 0.43945312
 0.47070312 1.31054688 1.34179688 1.33789062 4.93164062 4.9609375
 5.01367188 5.109375   8.1171875  8.15820312 8.24609375 8.265625
 0.02929688 0.03515625 0.         0.109375   0.38867188 0.41992188
 0.49804688 1.24804688 1.3125     1.34179688 4.86328125 4.88867188
 4.9453125  5.07617188 5.88476562 8.00585938 8.046875   8.1171875
 8.2109375  1.29882812 4.78515625 7.94921875 8.01953125 8.06640625
 7.83789062 8.30078125 1.33789062 5.015625   8.265625   8.30664062
 8.32226562 0.0234375  0.01757812 0.046875   0.10546875 0.390625
 0.45507812 0.48242188 1.296875   1.328125   1.359375   4.97851562
 5.01367188 5.05859375 8.16210938 8.23046875]","[-0.0234375  -0.0625      0.09765625  0.08203125  0.171875    0.15625
  0.12304688  0.29101562  0.30664062  0.33398438  0.92382812  0.9609375
  0.890625    0.43164062  1.3671875   1.35546875  1.10351562  1.14257812
 -0.01953125 -0.06054688  0.1015625   0.0859375   0.22070312  0.20507812
  0.17773438  0.41210938  0.41015625  0.4296875   1.23632812  1.28320312
  1.21289062  0.7265625   3.21289062  1.9140625   1.90234375  1.76953125
  1.55664062  0.53320312  1.71289062  2.32226562  2.21484375  2.18164062
  2.7890625  -0.32617188  0.14453125  0.22265625  0.22851562  0.08007812
  0.20703125 -0.02539062 -0.06835938  0.08789062  0.08203125  0.1015625
  0.1015625   0.06640625  0.20703125  0.21679688  0.23046875  0.61523438
  0.640625    0.56835938  0.90429688  0.81054688]"
