frame,x,y,z
0,"[-0.01367188 -0.02929688 -0.05273438  0.03125     0.03320312  0.
 -0.01367188 -0.03125    -0.05664062  0.03125     0.          0.
 -0.01367188 -0.02929688  0.04882812  0.03125     0.03320312  0.03515625
 -0.03515625 -0.07421875  0.046875   -0.68554688 -0.03710938 -0.07617188
  0.04296875 -0.72070312 -0.03515625 -0.07617188 -0.05273438 -0.68554688]","[0.02734375 0.03125    0.02734375 0.74023438 0.77539062 0.8046875
 0.02929688 0.03320312 0.         0.8046875  0.828125   0.86914062
 0.0234375  0.015625   0.06445312 0.6796875  0.69921875 0.75585938
 0.00585938 0.015625   0.06445312 0.82226562 0.         0.
 0.06640625 0.8125     0.00976562 0.         0.04882812 0.79296875]","[-0.0234375  -0.0625      0.09570312 -0.703125   -0.72070312 -0.74609375
 -0.01953125 -0.06054688  0.1015625  -0.62890625 -0.66015625 -0.66992188
 -0.02539062 -0.06835938  0.08007812 -0.76171875 -0.79492188 -0.79492188
  0.01171875  0.00976562  0.08007812 -0.23828125  0.01367188  0.01171875
  0.08203125 -0.16015625  0.00976562  0.          0.08789062 -0.32421875]"
1,"[-0.01367188 -0.02929688 -0.05273438  0.03125     0.03320312  0.03515625
 -0.01367188 -0.03125    -0.05664062  0.          0.         -0.01367188
 -0.02929688 -0.05273438  0.03125     0.03320312 -0.03515625 -0.07421875
  0.046875   -0.68554688 -0.03710938 -0.07617188  0.04296875 -0.03515625
 -0.07617188  0.04882812]","[0.02734375 0.03125    0.02734375 0.74414062 0.77929688 0.82226562
 0.02929688 0.03320312 0.         0.79101562 0.8359375  0.0234375
 0.01757812 0.046875   0.66601562 0.703125   0.00585938 0.015625
 0.06445312 0.82617188 0.         0.         0.06445312 0.00976562
 0.         0.06445312]","[-0.0234375  -0.0625      0.09570312 -0.69921875 -0.71679688 -0.7265625
 -0.01953125 -0.06054688  0.1015625  -0.64648438 -0.65039062 -0.02539062
 -0.06835938  0.08789062 -0.7734375  -0.79296875  0.01171875  0.00976562
  0.08203125 -0.22265625  0.01367188  0.01171875  0.08203125  0.00976562
  0.          0.08007812]"
2,"[-0.01367188 -0.03125    -0.05273438  0.03125     0.03320312  0.
 -0.01367188 -0.03125    -0.05664062  0.          0.         -0.01367188
 -0.02929688  0.04882812  0.03125     0.03320312 -0.03515625 -0.07421875
  0.046875   -0.68554688 -0.03710938 -0.07617188  0.04296875 -0.03515625
 -0.07617188 -0.05273438]","[0.02734375 0.02148438 0.02734375 0.74609375 0.78125    0.8125
 0.02929688 0.03515625 0.         0.80273438 0.83203125 0.0234375
 0.01757812 0.06445312 0.67382812 0.703125   0.00585938 0.015625
 0.06445312 0.82226562 0.         0.         0.06640625 0.00976562
 0.         0.04882812]","[-0.0234375  -0.06640625  0.09570312 -0.69726562 -0.71484375 -0.73828125
 -0.01953125 -0.06054688  0.1015625  -0.6328125  -0.65625    -0.02539062
 -0.06835938  0.08007812 -0.76757812 -0.79101562  0.01171875  0.00976562
  0.08007812 -0.2421875   0.01367188  0.01171875  0.08203125  0.00976562
  0.          0.08789062]"
3,"[-0.01367188 -0.03125    -0.05273438  0.03125     0.03320312  0.
 -0.01367188 -0.03125    -0.05664062  0.03125     0.          0.
 -0.01367188 -0.02929688 -0.05273438  0.03125     0.          0.03515625
 -0.03515625 -0.07421875  0.046875   -0.68554688 -0.03710938 -0.07617188
  0.04296875 -0.68554688 -0.03515625 -0.07617188  0.04882812 -0.68554688]","[0.02734375 0.02148438 0.02734375 0.74609375 0.77734375 0.80664062
 0.02929688 0.03320312 0.         0.796875   0.81640625 0.86914062
 0.0234375  0.015625   0.04882812 0.6796875  0.68164062 0.76367188
 0.00585938 0.015625   0.06445312 0.81835938 0.         0.
 0.06640625 0.83984375 0.00976562 0.         0.06445312 0.80078125]","[-0.0234375  -0.06640625  0.09570312 -0.6953125  -0.71875    -0.7421875
 -0.01953125 -0.06054688  0.1015625  -0.63867188 -0.67382812 -0.66992188
 -0.02539062 -0.06835938  0.08789062 -0.76171875 -0.81054688 -0.78710938
  0.01171875  0.00976562  0.08007812 -0.25195312  0.01367188  0.01171875
  0.08203125 -0.171875    0.00976562  0.          0.08007812 -0.30273438]"
4,"[-0.01367188 -0.02929688 -0.05273438  0.03125     0.03320312  0.03515625
 -0.01367188 -0.03125    -0.05664062  0.03125     0.03320312 -0.01367188
 -0.02929688  0.04882812  0.03125     0.          0.         -0.03515625
 -0.07421875  0.046875   -0.68554688 -0.03710938 -0.07617188  0.04296875
 -0.03515625 -0.07617188 -0.05273438 -0.68554688]","[0.02734375 0.03125    0.02734375 0.7421875  0.78320312 0.82421875
 0.02929688 0.03320312 0.         0.8046875  0.83398438 0.0234375
 0.015625   0.06445312 0.66992188 0.69921875 0.734375   0.00585938
 0.015625   0.06445312 0.82226562 0.         0.         0.06445312
 0.00976562 0.         0.046875   0.80859375]","[-0.0234375  -0.0625      0.09570312 -0.70117188 -0.7109375  -0.72265625
 -0.01953125 -0.06054688  0.1015625  -0.62890625 -0.65039062 -0.02539062
 -0.06835938  0.08007812 -0.77148438 -0.79492188 -0.81445312  0.01171875
  0.00976562  0.08007812 -0.2421875   0.01367188  0.01171875  0.08203125
  0.00976562  0.          0.08789062 -0.28515625]"
5,"[-0.01367188 -0.03125    -0.05273438  0.03125     0.03320312  0.
 -0.01367188 -0.03125    -0.05664062  0.06445312  0.         -0.01367188
 -0.02929688  0.04882812  0.03125     0.03320312 -0.03515625 -0.07421875
  0.046875   -0.68554688 -0.03710938 -0.07617188  0.04296875 -0.03515625
 -0.07617188 -0.05273438]","[0.02734375 0.02148438 0.02734375 0.74414062 0.78125    0.80078125
 0.02929688 0.03320312 0.         0.82226562 0.82617188 0.0234375
 0.015625   0.06445312 0.67382812 0.70703125 0.00585938 0.015625
 0.06445312 0.82226562 0.         0.         0.06640625 0.00976562
 0.         0.04882812]","[-0.0234375  -0.06640625  0.09570312 -0.69921875 -0.71484375 -0.75
 -0.01953125 -0.06054688  0.1015625  -0.6015625  -0.66210938 -0.02539062
 -0.06835938  0.08007812 -0.76757812 -0.78710938  0.01171875  0.00976562
  0.08007812 -0.23828125  0.01367188  0.01171875  0.08203125  0.00976562
  0.          0.08789062]"
6,"[-0.01367188 -0.02929688 -0.05273438  0.03125     0.03320312  0.03515625
 -0.01367188 -0.03125    -0.05664062  0.03125     0.03320312 -0.01367188
 -0.02929688  0.04882812  0.03125     0.03320312  0.         -0.03515625
 -0.07421875  0.046875   -0.68554688 -0.03710938 -0.07617188  0.04296875
 -0.03515625 -0.07617188 -0.05273438 -0.68554688]","[0.02734375 0.03125    0.02734375 0.74023438 0.77929688 0.82421875
 0.02929688 0.03320312 0.         0.80664062 0.83203125 0.0234375
 0.015625   0.06445312 0.671875   0.69726562 0.72851562 0.00585938
 0.015625   0.06445312 0.83203125 0.         0.         0.06640625
 0.00976562 0.         0.046875   0.81835938]","[-0.0234375  -0.0625      0.09570312 -0.703125   -0.71679688 -0.72265625
 -0.01953125 -0.06054688  0.1015625  -0.62695312 -0.65625    -0.02539062
 -0.06835938  0.08007812 -0.76953125 -0.796875   -0.8203125   0.01171875
  0.00976562  0.08007812 -0.203125    0.01367188  0.01171875  0.08203125
  0.00976562  0.          0.08789062 -0.25      ]"
7,"[-0.01367188 -0.03125    -0.05273438  0.03125     0.03320312  0.
 -0.01367188 -0.03125    -0.05664062  0.          0.         -0.01367188
 -0.02929688 -0.05273438  0.03125     0.03320312 -0.03515625 -0.07421875
  0.046875   -0.68554688 -0.03710938 -0.07617188  0.0390625  -0.03515625
 -0.07617188  0.04882812]","[0.02734375 0.02148438 0.02734375 0.74414062 0.77539062 0.80273438
 0.02929688 0.03320312 0.         0.79492188 0.82421875 0.0234375
 0.015625   0.04882812 0.67578125 0.68554688 0.00585938 0.015625
 0.06445312 0.82617188 0.         0.         0.07617188 0.00976562
 0.         0.06445312]","[-0.0234375  -0.06640625  0.09570312 -0.69921875 -0.72070312 -0.74609375
 -0.01953125 -0.06054688  0.1015625  -0.64257812 -0.6640625  -0.02539062
 -0.06835938  0.08789062 -0.765625   -0.80664062  0.01171875  0.00976562
  0.08007812 -0.22265625  0.01367188  0.01171875  0.07421875  0.00976562
 -0.00195312  0.08007812]"
8,"[-0.01367188 -0.03125    -0.05273438  0.03125     0.          0.03515625
 -0.01367188 -0.03125    -0.05664062  0.03125     0.03320312 -0.01367188
 -0.02929688  0.04882812  0.06445312  0.         -0.03515625 -0.07421875
  0.046875   -0.68554688 -0.03710938 -0.07617188  0.04296875 -0.03515625
 -0.07617188 -0.05273438]","[0.02734375 0.02148438 0.02734375 0.73828125 0.76171875 0.8203125
 0.02929688 0.03320312 0.         0.79882812 0.83398438 0.0234375
 0.015625   0.06445312 0.67773438 0.68554688 0.00585938 0.015625
 0.06445312 0.81445312 0.         0.         0.06640625 0.00976562
 0.         0.04882812]","[-0.0234375  -0.06640625  0.09570312 -0.70507812 -0.73632812 -0.72851562
 -0.01953125 -0.06054688  0.1015625  -0.63476562 -0.65234375 -0.02539062
 -0.06835938  0.08007812 -0.76171875 -0.80859375  0.01171875  0.00976562
  0.08007812 -0.265625    0.01367188  0.01171875  0.08203125  0.00976562
  0.          0.08789062]"
9,"[-0.01367188 -0.02929688 -0.05273438  0.03125     0.03320312  0.
 -0.01367188 -0.03125    -0.05664062  0.03125     0.         -0.01367188
 -0.02929688  0.04882812  0.03125     0.03320312 -0.03515625 -0.07421875
  0.046875   -0.72070312 -0.03710938 -0.07617188  0.04296875 -0.03515625
 -0.07421875 -0.05273438]","[0.02734375 0.03125    0.02734375 0.7578125  0.79882812 0.82421875
 0.02929688 0.03515625 0.         0.81835938 0.84960938 0.0234375
 0.01757812 0.06445312 0.69335938 0.71679688 0.00585938 0.015625
 0.06445312 0.79296875 0.         0.         0.06640625 0.00976562
 0.01757812 0.04882812]","[-0.0234375  -0.0625      0.09570312 -0.68359375 -0.6953125  -0.72460938
 -0.01953125 -0.06054688  0.1015625  -0.61132812 -0.6328125  -0.02539062
 -0.06835938  0.08007812 -0.75       -0.77929688  0.01171875  0.00976562
  0.08007812 -0.23828125  0.01367188  0.01171875  0.08203125  0.00976562
  0.00390625  0.08789062]"
