frame,x,y,z
0,"[-0.01367188 -0.03125    -0.05273438  0.06054688 -0.1328125   0.51367188
  0.72265625  0.703125   -1.24804688 -1.26367188  0.68554688 -0.01367188
 -0.03125    -0.05664062  0.05664062 -0.1328125   0.48046875  0.68359375
  0.703125   -1.24804688 -1.26367188  0.68554688  0.68554688 -0.01367188
 -0.02929688 -0.05273438  0.72265625  0.74414062 -1.24804688 -1.26367188
  0.68554688 -0.03515625 -0.07421875  0.046875    0.109375    0.23242188
  0.171875   -0.03710938 -0.07617188  0.04296875  0.11328125  0.19921875
  0.171875   -0.03515625 -0.07421875  0.04296875]","[2.73437500e-02 2.14843750e-02 2.73437500e-02 1.25000000e-01
 9.86328125e-01 5.35156250e-01 9.84375000e-01 1.05664062e+00
 2.95117188e+00 2.94531250e+00 5.10937500e+00 2.92968750e-02
 3.32031250e-02 0.00000000e+00 1.26953125e-01 1.00195312e+00
 7.75390625e-01 9.80468750e-01 1.02343750e+00 2.87500000e+00
 2.85546875e+00 4.97070312e+00 5.30664062e+00 2.34375000e-02
 1.75781250e-02 4.88281250e-02 1.01562500e+00 1.05468750e+00
 3.00976562e+00 3.01562500e+00 5.22265625e+00 3.90625000e-03
 1.56250000e-02 6.44531250e-02 0.00000000e+00 2.24609375e-01
 3.96484375e-01 0.00000000e+00 0.00000000e+00 6.64062500e-02
 1.56250000e-02 6.44531250e-02 2.36328125e-01 9.76562500e-03
 1.75781250e-02 8.39843750e-02]","[-0.0234375  -0.06640625  0.09570312  0.05664062 -0.36523438 -0.80664062
  0.40429688  0.37890625  0.90429688  1.03320312  1.875      -0.01953125
 -0.06054688  0.1015625   0.06054688 -0.31835938 -0.61132812  0.4765625
  0.45898438  1.125       1.2578125   2.21484375  1.20898438 -0.02539062
 -0.06835938  0.08789062  0.31640625  0.29296875  0.68554688  0.80664062
  1.53515625  0.01171875  0.00976562  0.08007812 -0.11328125  1.00976562
  1.0078125   0.01367188  0.01171875  0.08203125 -0.09960938  1.0390625
  1.05664062  0.00976562  0.00390625  0.0625    ]"
1,"[-0.01367188 -0.02929688 -0.05273438  0.06054688 -0.1328125   0.72265625
  0.74414062 -1.24804688 -1.26367188  0.51367188 -0.01367188 -0.03125
 -0.05664062  0.05664062 -0.1328125   0.72265625  0.703125   -1.24804688
 -1.26367188  0.68554688  0.68554688 -0.01367188 -0.02929688 -0.05273438
  0.74414062 -1.14453125 -1.26367188  0.68554688 -0.03515625 -0.07421875
  0.046875    0.109375    0.52929688 -0.03710938 -0.07617188  0.0390625
  0.11328125  0.49609375 -0.03515625 -0.07421875  0.04882812]","[0.02734375 0.03320312 0.02734375 0.12695312 0.97460938 0.98828125
 1.02734375 2.94921875 2.94726562 5.13085938 0.02929688 0.03320312
 0.         0.12890625 0.98828125 0.94921875 1.02148438 2.87304688
 2.85742188 4.97460938 5.31445312 0.0234375  0.01953125 0.04882812
 1.0546875  3.04492188 3.015625   5.22460938 0.00585938 0.015625
 0.06445312 0.         0.91601562 0.         0.         0.07617188
 0.01367188 0.93164062 0.00976562 0.01757812 0.06445312]","[-0.0234375  -0.0625      0.09570312  0.0546875  -0.39257812  0.39453125
  0.37695312  0.90820312  1.02929688  1.87304688 -0.01953125 -0.06054688
  0.1015625   0.05664062 -0.35546875  0.47851562  0.46484375  1.12695312
  1.25585938  2.2109375   1.17578125 -0.02539062 -0.06835938  0.08789062
  0.29492188  0.7109375   0.80273438  1.52734375  0.01171875  0.00976562
  0.08007812 -0.11328125 -0.0546875   0.01367188  0.01171875  0.07421875
 -0.09960938 -0.08398438  0.00976562  0.00390625  0.08007812]"
2,"[-0.01367188 -0.03125    -0.05273438  0.06054688 -0.1328125   0.51367188
  0.72265625  0.74414062 -1.24804688 -1.26367188  0.68554688 -0.01367188
 -0.03125    -0.05664062  0.05664062 -0.1328125   0.703125   -1.24804688
 -1.3671875   0.51367188  0.51367188  0.68554688 -0.01367188 -0.02929688
 -0.05273438 -0.1328125   0.72265625  0.703125   -1.14453125  0.68554688
 -0.03515625 -0.07421875  0.046875    0.109375    0.23242188  0.171875
 -0.03710938 -0.07617188  0.04296875  0.11328125  0.19921875 -0.03515625
 -0.0703125   0.04296875  0.23242188]","[2.73437500e-02 2.14843750e-02 2.73437500e-02 1.26953125e-01
 9.82421875e-01 8.18359375e-01 9.80468750e-01 1.02539062e+00
 2.94921875e+00 2.94531250e+00 5.10742188e+00 2.92968750e-02
 3.51562500e-02 0.00000000e+00 1.26953125e-01 1.00781250e+00
 1.02539062e+00 2.87304688e+00 2.82812500e+00 4.98828125e+00
 4.77734375e+00 5.31445312e+00 2.34375000e-02 1.75781250e-02
 4.88281250e-02 9.55078125e-01 1.01171875e+00 1.08007812e+00
 3.04296875e+00 5.22070312e+00 3.90625000e-03 1.56250000e-02
 6.44531250e-02 0.00000000e+00 2.20703125e-01 3.28125000e-01
 0.00000000e+00 0.00000000e+00 6.44531250e-02 1.75781250e-02
 0.00000000e+00 9.76562500e-03 2.53906250e-02 8.39843750e-02
 4.55078125e-01]","[-0.0234375  -0.06640625  0.09570312  0.05664062 -0.37304688 -0.52148438
  0.4140625   0.3828125   0.91210938  1.03515625  1.87890625 -0.01953125
 -0.06054688  0.1015625   0.05859375 -0.29492188  0.45703125  1.12890625
  1.2109375   2.22460938  2.64648438  1.17773438 -0.02539062 -0.06835938
  0.08789062 -0.43945312  0.33007812  0.30273438  0.71875     1.5390625
  0.01171875  0.00976562  0.08007812 -0.11328125  1.00976562  1.03320312
  0.01367188  0.01171875  0.08203125 -0.09765625 -1.04101562  0.00976562
  0.0078125   0.0625      0.92773438]"
3,"[-0.01367188 -0.03125    -0.05273438  0.05664062 -0.1328125   0.51367188
  0.72265625  0.703125   -1.14453125 -1.26367188  0.68554688 -0.01367188
 -0.03125    -0.05273438  0.05664062 -0.1328125   0.68359375  0.703125
 -1.24804688 -1.26367188  0.51367188  0.85742188 -0.01367188 -0.02929688
 -0.05273438  0.05664062 -0.1328125   0.68359375  0.74414062 -1.24804688
 -1.15820312  0.68554688 -0.03515625 -0.07421875  0.046875    0.109375
  0.52929688 -0.171875   -0.03710938 -0.07617188  0.0390625   0.06640625
  0.19921875 -0.03515625 -0.07617188  0.04882812  0.11328125  0.19921875]","[0.02734375 0.02148438 0.02734375 0.13085938 0.98632812 0.
 0.97460938 1.05078125 2.98632812 2.9453125  5.1015625  0.02929688
 0.03515625 0.         0.12890625 1.00585938 0.96679688 1.01757812
 2.875      2.859375   4.97851562 5.27539062 0.0234375  0.01757812
 0.04882812 0.13671875 0.96289062 1.03515625 1.04882812 3.0078125
 3.04882812 5.21484375 0.00585938 0.015625   0.06445312 0.
 0.91601562 1.0625     0.         0.         0.07617188 0.11132812
 0.28515625 0.00976562 0.         0.0625     0.         0.37890625]","[-0.0234375  -0.06640625  0.09570312  0.04882812 -0.36328125 -1.01757812
  0.42773438  0.390625    0.92578125  1.03320312  1.89648438 -0.01953125
 -0.06054688  0.10546875  0.05664062 -0.30664062  0.50390625  0.47070312
  1.12304688  1.25390625  2.24414062  1.24023438 -0.02539062 -0.06835938
  0.08789062  0.03515625 -0.421875    0.33984375  0.31445312  0.69335938
  0.83984375  1.55859375  0.01171875  0.00976562  0.08007812 -0.11328125
 -0.06054688 -0.20898438  0.01367188  0.01171875  0.07421875  0.078125
  1.          0.00976562  0.          0.08007812 -0.12109375  0.96875   ]"
4,"[-0.01367188 -0.03125    -0.05273438 -0.1328125   0.72265625  0.74414062
  0.51367188 -0.01367188 -0.03125    -0.05273438  0.68359375  0.703125
  0.68554688  0.68554688 -0.01367188 -0.02929688 -0.05273438  0.72265625
  0.74414062  0.68554688 -0.03515625 -0.07421875  0.046875   -0.49609375
 -0.03710938 -0.07617188  0.04296875 -0.03515625 -0.07617188  0.04296875]","[2.73437500e-02 2.14843750e-02 2.73437500e-02 9.80468750e-01
 9.80468750e-01 1.02539062e+00 5.12500000e+00 2.92968750e-02
 3.51562500e-02 0.00000000e+00 9.74609375e-01 1.01953125e+00
 4.97070312e+00 5.30273438e+00 2.34375000e-02 1.75781250e-02
 4.88281250e-02 1.01171875e+00 1.05078125e+00 5.21875000e+00
 3.90625000e-03 1.56250000e-02 6.44531250e-02 6.03515625e-01
 0.00000000e+00 0.00000000e+00 6.64062500e-02 9.76562500e-03
 0.00000000e+00 8.39843750e-02]","[-0.0234375  -0.06640625  0.09570312 -0.37695312  0.41210938  0.38476562
  1.88671875 -0.01953125 -0.06054688  0.10546875  0.48632812  0.46679688
  2.21679688  1.2265625  -0.02539062 -0.06835938  0.08789062  0.328125
  0.30664062  1.54492188  0.01171875  0.00976562  0.08007812  0.71484375
  0.01367188  0.01171875  0.08203125  0.00976562  0.          0.06445312]"
5,"[-0.01367188 -0.02929688 -0.05273438  0.06054688 -0.1328125  -0.54882812
  0.72265625  0.74414062  0.68554688 -0.01367188 -0.03125    -0.05664062
  0.05664062 -0.16601562  0.68554688  0.68554688 -0.01367188 -0.02929688
 -0.05273438  0.06054688 -0.1328125   0.72265625  0.74414062  0.68554688
 -0.03515625 -0.07421875  0.046875    0.109375    0.16601562 -0.20507812
 -0.03710938 -0.07617188  0.04296875  0.11328125  0.09960938 -0.03515625
 -0.07617188  0.04882812  0.11328125  0.16601562]","[2.73437500e-02 3.32031250e-02 2.73437500e-02 1.26953125e-01
 9.88281250e-01 4.86328125e-01 1.00000000e+00 1.03125000e+00
 5.08398438e+00 2.92968750e-02 3.51562500e-02 0.00000000e+00
 1.26953125e-01 1.01171875e+00 4.94140625e+00 5.29687500e+00
 2.34375000e-02 1.75781250e-02 4.88281250e-02 1.30859375e-01
 9.64843750e-01 1.02539062e+00 1.05664062e+00 5.20117188e+00
 3.90625000e-03 1.56250000e-02 6.44531250e-02 0.00000000e+00
 2.07031250e-01 1.07226562e+00 0.00000000e+00 0.00000000e+00
 6.64062500e-02 1.36718750e-02 4.72656250e-01 9.76562500e-03
 0.00000000e+00 6.25000000e-02 0.00000000e+00 4.62890625e-01]","[-0.0234375  -0.0625      0.09570312  0.05664062 -0.35546875 -0.81640625
  0.36328125  0.36523438  1.94335938 -0.01953125 -0.06054688  0.1015625
  0.06054688 -0.26757812  2.28125     1.25195312 -0.02539062 -0.06835938
  0.08789062  0.04296875 -0.41796875  0.28320312  0.28515625  1.60351562
  0.01171875  0.00976562  0.08203125 -0.11328125  1.02539062 -0.1171875
  0.01367188  0.01171875  0.08203125 -0.09960938 -0.94335938  0.00976562
  0.          0.08007812 -0.11914062  0.93945312]"
6,"[-0.01367188 -0.03125    -0.05273438  0.06054688 -0.09960938  0.58203125
  0.68359375  0.703125    0.68554688 -0.01367188 -0.03125    -0.05664062
  0.05664062  0.68554688  0.68554688 -0.01367188 -0.02929688 -0.05273438
  0.68554688 -0.03515625 -0.07421875  0.046875    0.109375   -0.6953125
 -0.68554688 -0.03710938 -0.07617188  0.04296875  0.11328125 -0.03515625
 -0.07421875  0.04296875]","[0.02734375 0.02148438 0.02734375 0.12695312 0.95898438 0.63671875
 1.0234375  1.06054688 5.09179688 0.02929688 0.03515625 0.
 0.12695312 4.95117188 5.30664062 0.0234375  0.01757812 0.04882812
 5.20703125 0.00585938 0.015625   0.06445312 0.         0.49023438
 0.59375    0.         0.         0.06640625 0.01953125 0.00976562
 0.01757812 0.08398438]","[-0.0234375  -0.06640625  0.09570312  0.0546875  -0.4375     -0.67773438
  0.37695312  0.3671875   1.92382812 -0.01953125 -0.06054688  0.1015625
  0.05859375  2.26171875  1.21484375 -0.02539062 -0.06835938  0.08789062
  1.5859375   0.01171875  0.00976562  0.08007812 -0.11328125 -0.63085938
 -0.6171875   0.01367188  0.01171875  0.08203125 -0.09765625  0.00976562
  0.00390625  0.06445312]"
7,"[-0.01367188 -0.03125    -0.05273438 -0.09960938  0.58203125  0.68359375
  0.703125    0.68554688 -0.01367188 -0.03125    -0.05273438  0.68554688
  0.51367188 -0.01367188 -0.02929688 -0.05273438 -0.1328125   0.68554688
 -0.03515625 -0.07421875  0.046875   -0.6953125  -0.20507812 -0.03710938
 -0.07617188  0.04296875 -0.03515625 -0.07617188  0.04296875 -0.6953125 ]","[2.73437500e-02 2.14843750e-02 2.73437500e-02 9.64843750e-01
 6.48437500e-01 1.02343750e+00 1.06250000e+00 5.10546875e+00
 2.92968750e-02 3.51562500e-02 0.00000000e+00 4.96679688e+00
 4.78710938e+00 2.34375000e-02 1.75781250e-02 4.88281250e-02
 9.41406250e-01 5.21875000e+00 3.90625000e-03 1.56250000e-02
 6.44531250e-02 2.24609375e-01 1.06054688e+00 0.00000000e+00
 0.00000000e+00 6.64062500e-02 9.76562500e-03 0.00000000e+00
 8.39843750e-02 0.00000000e+00]","[-0.0234375  -0.06640625  0.09570312 -0.42773438 -0.66601562  0.375
  0.359375    1.88476562 -0.01953125 -0.06054688  0.10546875  2.22460938
  2.62890625 -0.02539062 -0.06835938  0.08789062 -0.46875     1.54492188
  0.01171875  0.00976562  0.08007812 -0.76757812 -0.1875      0.01367188
  0.01171875  0.08203125  0.00976562  0.          0.06445312 -0.87304688]"
8,"[-0.01367188 -0.03125    -0.05273438  0.06054688 -0.1328125   0.58203125
  0.68359375  0.74414062  0.68554688 -0.01367188 -0.03125    -0.05273438
  0.05664062  0.703125    0.68554688  0.51367188  0.68554688 -0.01367188
 -0.02929688 -0.05273438  0.703125    0.68554688 -0.03515625 -0.07421875
  0.046875    0.11328125  0.52929688 -0.65234375 -0.03710938 -0.07617188
  0.04296875  0.11328125 -0.03515625 -0.07421875  0.04296875]","[2.73437500e-02 2.14843750e-02 2.73437500e-02 1.26953125e-01
 9.78515625e-01 6.50390625e-01 1.02343750e+00 1.03710938e+00
 5.08593750e+00 2.92968750e-02 3.51562500e-02 0.00000000e+00
 1.26953125e-01 1.02929688e+00 4.94531250e+00 4.75976562e+00
 5.29492188e+00 2.34375000e-02 1.75781250e-02 4.88281250e-02
 1.08398438e+00 5.20117188e+00 3.90625000e-03 1.56250000e-02
 6.44531250e-02 0.00000000e+00 0.00000000e+00 5.85937500e-01
 0.00000000e+00 0.00000000e+00 6.64062500e-02 2.14843750e-02
 9.76562500e-03 1.75781250e-02 8.39843750e-02]","[-0.0234375  -0.06640625  0.09570312  0.05664062 -0.3828125  -0.6640625
  0.37304688  0.3515625   1.9375     -0.01953125 -0.06054688  0.10546875
  0.06054688  0.4453125   2.27539062  2.6796875   1.25585938 -0.02539062
 -0.06835938  0.08789062  0.29101562  1.60351562  0.01171875  0.00976562
  0.08203125 -0.109375   -1.01757812 -0.66015625  0.01367188  0.01171875
  0.08203125 -0.09765625  0.00976562  0.00390625  0.06445312]"
9,"[-0.01367188 -0.03125    -0.05273438  0.06054688 -0.09960938  0.54882812
  0.703125    0.68554688 -0.01367188 -0.03125    -0.05273438  0.703125
  0.68554688  0.68554688  0.68554688 -0.01367188 -0.02929688 -0.05273438
  0.68554688 -0.03515625 -0.07421875  0.046875    0.0703125  -0.6953125
 -0.20507812 -0.03710938 -0.07617188  0.0390625  -0.03515625 -0.07617188
  0.04296875]","[2.73437500e-02 2.14843750e-02 2.73437500e-02 1.26953125e-01
 9.70703125e-01 6.66015625e-01 1.05859375e+00 5.10156250e+00
 2.92968750e-02 3.51562500e-02 0.00000000e+00 1.02539062e+00
 4.96289062e+00 4.75585938e+00 5.30664062e+00 2.34375000e-02
 1.75781250e-02 4.68750000e-02 5.21484375e+00 3.90625000e-03
 1.56250000e-02 6.44531250e-02 1.07421875e-01 2.24609375e-01
 1.05664062e+00 0.00000000e+00 0.00000000e+00 7.61718750e-02
 7.81250000e-03 0.00000000e+00 8.39843750e-02]","[-0.0234375  -0.06640625  0.09570312  0.0546875  -0.41210938 -0.67773438
  0.37109375  1.89648438 -0.01953125 -0.06054688  0.10546875  0.453125
  2.23632812  2.64648438  1.20898438 -0.02539062 -0.06835938  0.08789062
  1.55859375  0.01171875  0.00976562  0.08203125  0.08007812 -0.76757812
 -0.21679688  0.01367188  0.01171875  0.07421875  0.00976562  0.
  0.06445312]"
