frame,x,y,z
0,"[-0.01367188 -0.02929688 -0.05273438 -0.03125     0.         -0.01367188
 -0.03125    -0.05664062  0.         -0.01367188 -0.02929688 -0.05273438
  0.         -0.03515625 -0.07421875  0.046875   -0.03710938 -0.07617188
  0.04296875 -0.03515625 -0.07617188  0.04882812]","[0.02734375 0.03320312 0.02929688 0.72265625 0.76171875 0.02929688
 0.03515625 0.         0.8203125  0.0234375  0.01757812 0.04882812
 0.70507812 0.00585938 0.015625   0.06445312 0.         0.
 0.06445312 0.00976562 0.         0.0625    ]","[-0.0234375  -0.0625      0.09570312 -0.72070312 -0.73632812 -0.01953125
 -0.06054688  0.1015625  -0.66992188 -0.02539062 -0.06835938  0.08789062
 -0.79101562  0.01171875  0.00976562  0.08203125  0.01367188  0.01171875
  0.08203125  0.00976562  0.          0.08203125]"
1,"[-0.01367188 -0.02929688 -0.05273438 -0.03125    -0.03320312 -0.01367188
 -0.03125    -0.05664062  0.         -0.01367188 -0.02929688 -0.05273438
  0.         -0.03515625 -0.07421875  0.046875   -0.03710938 -0.07617188
  0.04296875 -0.03515625 -0.07617188  0.04882812]","[0.02734375 0.03320312 0.02929688 0.72851562 0.7890625  0.02929688
 0.03320312 0.         0.8359375  0.0234375  0.01757812 0.04882812
 0.70898438 0.00585938 0.015625   0.06445312 0.         0.
 0.06445312 0.00976562 0.         0.0625    ]","[-0.0234375  -0.0625      0.09570312 -0.71484375 -0.70507812 -0.01953125
 -0.06054688  0.1015625  -0.65234375 -0.02539062 -0.06835938  0.08789062
 -0.78710938  0.01171875  0.00976562  0.08203125  0.01367188  0.01171875
  0.08203125  0.00976562  0.          0.08007812]"
2,"[-0.01367188 -0.02929688 -0.05273438 -0.03125     0.         -0.01367188
 -0.03125    -0.05664062  0.         -0.01367188 -0.02929688 -0.05273438
  0.         -0.03515625 -0.07421875  0.046875   -0.03710938 -0.07617188
  0.04296875 -0.03515625 -0.07421875  0.04882812]","[0.02734375 0.03320312 0.02929688 0.73632812 0.76367188 0.02929688
 0.03515625 0.         0.828125   0.0234375  0.015625   0.04882812
 0.71484375 0.00585938 0.015625   0.06445312 0.         0.
 0.06445312 0.00976562 0.01757812 0.0625    ]","[-0.0234375  -0.0625      0.09570312 -0.70898438 -0.734375   -0.01953125
 -0.06054688  0.1015625  -0.66210938 -0.02539062 -0.06835938  0.08789062
 -0.78320312  0.01171875  0.00976562  0.08203125  0.01367188  0.01171875
  0.08398438  0.00976562  0.00390625  0.08007812]"
3,"[-0.01367188 -0.02929688 -0.05273438 -0.03125     0.         -0.01367188
 -0.03125    -0.05664062 -0.03320312 -0.01367188 -0.02929688 -0.05273438
  0.         -0.03515625 -0.07421875  0.046875   -0.03710938 -0.07617188
  0.04296875 -0.03515625 -0.0703125   0.04882812]","[0.02734375 0.03320312 0.02929688 0.72070312 0.765625   0.02929688
 0.03515625 0.         0.83398438 0.0234375  0.01757812 0.04882812
 0.6953125  0.00585938 0.015625   0.06445312 0.         0.
 0.06445312 0.00976562 0.02539062 0.0625    ]","[-0.0234375  -0.0625      0.09570312 -0.72460938 -0.73242188 -0.01953125
 -0.06054688  0.1015625  -0.65234375 -0.02539062 -0.06835938  0.08789062
 -0.79882812  0.01171875  0.00976562  0.08203125  0.01367188  0.01171875
  0.08398438  0.00976562  0.0078125   0.08007812]"
4,"[-0.01367188 -0.02929688 -0.05273438 -0.03125     0.          0.
 -0.01367188 -0.03125    -0.05273438  0.         -0.01367188 -0.02929688
 -0.05273438  0.         -0.03515625 -0.07421875  0.046875   -0.03710938
 -0.07617188  0.04296875 -0.03515625 -0.07421875  0.04882812]","[0.02734375 0.03320312 0.02929688 0.7421875  0.77539062 0.83007812
 0.02929688 0.03515625 0.         0.83203125 0.0234375  0.01757812
 0.04882812 0.72070312 0.00390625 0.015625   0.0625     0.
 0.         0.06445312 0.00976562 0.01757812 0.0625    ]","[-0.0234375  -0.0625      0.09570312 -0.70117188 -0.72070312 -0.71679688
 -0.01953125 -0.06054688  0.10351562 -0.65625    -0.02539062 -0.06835938
  0.08789062 -0.77734375  0.01171875  0.00976562  0.08203125  0.01367188
  0.01171875  0.08203125  0.00976562  0.00390625  0.08007812]"
5,"[-0.01367188 -0.02929688 -0.05273438  0.          0.          0.
 -0.03515625 -0.01367188 -0.03125    -0.05664062 -0.03320312 -0.01367188
 -0.02929688 -0.05273438  0.         -0.03515625 -0.07421875  0.046875
  0.20898438 -0.03710938 -0.07617188  0.04296875 -0.03515625 -0.07421875
  0.04882812]","[0.02734375 0.03320312 0.02929688 0.3515625  0.68945312 0.77734375
 0.81054688 0.02929688 0.03320312 0.         0.84765625 0.0234375
 0.01757812 0.04882812 0.703125   0.00585938 0.015625   0.06445312
 0.0859375  0.         0.         0.06445312 0.00976562 0.01757812
 0.0625    ]","[-0.0234375  -0.0625      0.09570312 -0.22265625 -0.75390625 -0.71875
 -0.73828125 -0.01953125 -0.06054688  0.1015625  -0.6328125  -0.02539062
 -0.06835938  0.08789062 -0.79296875  0.01171875  0.00976562  0.08203125
 -0.34960938  0.01367188  0.01171875  0.08203125  0.00976562  0.00390625
  0.08007812]"
6,"[-0.01367188 -0.03125    -0.05273438  0.          0.         -0.01367188
 -0.03125    -0.05664062 -0.03320312 -0.01367188 -0.02929688 -0.05273438
  0.         -0.03515625 -0.07421875  0.046875   -0.03710938 -0.07617188
  0.046875   -0.03515625 -0.07617188  0.04882812]","[0.02734375 0.02148438 0.02929688 0.69921875 0.7734375  0.02929688
 0.03515625 0.         0.8359375  0.0234375  0.01757812 0.04882812
 0.71679688 0.00585938 0.015625   0.0625     0.         0.
 0.05078125 0.00976562 0.         0.0625    ]","[-0.0234375  -0.06640625  0.09570312 -0.74609375 -0.72460938 -0.01953125
 -0.06054688  0.1015625  -0.65039062 -0.02539062 -0.06835938  0.08789062
 -0.77929688  0.01171875  0.00976562  0.08203125  0.01367188  0.01171875
  0.08984375  0.00976562  0.          0.08007812]"
7,"[-0.01367188 -0.03125    -0.05273438  0.          0.         -0.03515625
 -0.01367188 -0.03125    -0.05664062  0.         -0.01367188 -0.02929688
 -0.05273438  0.         -0.03515625 -0.07421875  0.046875   -0.03710938
 -0.07617188  0.04296875 -0.03515625 -0.07617188  0.04882812]","[0.02734375 0.02148438 0.02929688 0.69726562 0.78515625 0.81835938
 0.02929688 0.03320312 0.         0.84179688 0.0234375  0.01757812
 0.04882812 0.73046875 0.00585938 0.015625   0.0625     0.
 0.         0.06445312 0.00976562 0.         0.0625    ]","[-0.0234375  -0.06640625  0.09570312 -0.74609375 -0.7109375  -0.73046875
 -0.01953125 -0.06054688  0.1015625  -0.64257812 -0.02539062 -0.06835938
  0.08789062 -0.76757812  0.01171875  0.00976562  0.08203125  0.01367188
  0.01171875  0.08203125  0.00976562  0.          0.08007812]"
8,"[-0.01367188 -0.03125    -0.05273438  0.          0.         -0.01367188
 -0.03125    -0.05273438 -0.03320312 -0.01367188 -0.02929688 -0.05273438
  0.         -0.03515625 -0.07421875  0.046875   -0.03710938 -0.07617188
  0.04296875 -0.03515625 -0.07421875  0.04882812]","[0.02734375 0.02148438 0.02929688 0.6875     0.79296875 0.02929688
 0.03320312 0.         0.85351562 0.0234375  0.01757812 0.04882812
 0.72851562 0.00585938 0.015625   0.06445312 0.         0.
 0.06445312 0.00976562 0.01757812 0.0625    ]","[-0.0234375  -0.06640625  0.09570312 -0.75585938 -0.703125   -0.01953125
 -0.06054688  0.10351562 -0.62695312 -0.02539062 -0.06835938  0.08789062
 -0.76953125  0.01171875  0.00976562  0.08203125  0.01367188  0.01171875
  0.08203125  0.00976562  0.00390625  0.08007812]"
9,"[-0.01367188 -0.02929688 -0.05273438  0.          0.         -0.01367188
 -0.03125    -0.05664062  0.         -0.01367188 -0.02929688 -0.05273438
  0.          0.         -0.03515625 -0.07421875  0.046875   -0.03710938
 -0.07617188  0.04296875 -0.03515625 -0.07421875  0.04882812]","[0.02734375 0.03320312 0.02929688 0.6953125  0.80859375 0.02929688
 0.03320312 0.         0.85742188 0.0234375  0.015625   0.04882812
 0.6484375  0.74609375 0.00585938 0.015625   0.0625     0.
 0.         0.06445312 0.00976562 0.01757812 0.0625    ]","[-0.0234375  -0.0625      0.09570312 -0.75       -0.68359375 -0.01953125
 -0.06054688  0.1015625  -0.62304688 -0.02539062 -0.06835938  0.08789062
 -0.7890625  -0.75195312  0.01171875  0.00976562  0.08203125  0.01367188
  0.01171875  0.08398438  0.00976562  0.00390625  0.08007812]"
