frame,x,y,z
0,"[-0.01367188 -0.03125    -0.05273438 -0.01367188 -0.03125    -0.05664062
 -0.01367188 -0.02929688 -0.05273438 -0.03515625 -0.07421875  0.046875
 -0.03710938 -0.07617188  0.04296875 -0.03515625 -0.07617188  0.04882812]","[0.02734375 0.01953125 0.02734375 0.02929688 0.03320312 0.
 0.0234375  0.015625   0.04882812 0.00585938 0.015625   0.06640625
 0.         0.         0.06835938 0.00976562 0.         0.06445312]","[-0.0234375  -0.06640625  0.09570312 -0.01953125 -0.06054688  0.1015625
 -0.02539062 -0.06835938  0.08789062  0.01171875  0.00976562  0.08007812
  0.01367188  0.01171875  0.08007812  0.00976562  0.          0.078125  ]"
1,"[-0.01367188 -0.03125    -0.05273438  0.          0.          0.03320312
 -0.65234375 -0.01367188 -0.03125    -0.05664062  0.01367188  0.
 -0.68554688  1.1640625  -0.01367188 -0.02929688 -0.05273438  0.
  0.03515625  1.1640625  -0.03515625 -0.07421875  0.08203125 -0.66210938
  0.06835938 -0.03710938 -0.07617188  0.0390625  -0.66210938  0.03515625
 -0.03515625 -0.07617188  0.04882812 -0.66210938 -0.68554688]","[0.02734375 0.01953125 0.02929688 0.36523438 0.38476562 0.453125
 0.6875     0.02929688 0.03320312 0.         0.40820312 0.80273438
 0.5546875  0.94921875 0.0234375  0.015625   0.04882812 0.49414062
 1.09375    1.0078125  0.00585938 0.015625   0.         0.40429688
 0.3671875  0.         0.         0.078125   0.1328125  1.09375
 0.00976562 0.         0.06445312 0.54296875 0.62890625]","[-0.0234375  -0.06640625  0.09570312 -0.19726562 -0.24023438 -0.95703125
  0.55273438 -0.01953125 -0.06054688  0.1015625  -0.19726562 -0.69140625
  0.65234375  0.39257812 -0.02539062 -0.06835938  0.08789062 -0.9375
  0.06835938  0.19335938  0.01171875  0.00976562 -0.078125    0.72265625
  1.03125     0.01367188  0.01171875  0.07226562  0.81640625  0.06835938
  0.00976562  0.          0.08007812  0.62304688  0.58007812]"
2,"[-0.01367188 -0.03125    -0.05273438  0.          0.          0.
  0.54882812 -0.01367188 -0.03125    -0.05664062  0.03320312  0.54882812
 -0.01367188 -0.02929688  0.04882812  0.          0.54882812 -0.03515625
 -0.07421875  0.078125    0.46289062 -0.6171875  -0.03710938 -0.07617188
  0.08203125  0.46289062 -0.65234375 -0.03515625 -0.07617188  0.07421875
  0.49609375  0.6171875 ]","[0.02734375 0.01953125 0.02929688 0.34960938 0.37695312 0.77734375
 0.85351562 0.02929688 0.03320312 0.         0.78710938 0.88085938
 0.0234375  0.015625   0.06445312 0.70117188 0.80664062 0.00585938
 0.015625   0.         0.8984375  0.         0.         0.
 0.0390625  0.91992188 0.         0.00976562 0.         0.
 0.84570312 0.73046875]","[-0.0234375  -0.06640625  0.09570312 -0.22460938 -0.25390625 -0.71875
 -0.41601562 -0.01953125 -0.06054688  0.1015625  -0.70898438 -0.35546875
 -0.02539062 -0.06835938  0.08007812 -0.79492188 -0.50195312  0.01171875
  0.00976562 -0.08398438 -0.31640625  0.9296875   0.01367188  0.01171875
 -0.06835938 -0.24609375  1.0390625   0.00976562  0.         -0.09960938
 -0.40039062 -0.53710938]"
3,"[-0.01367188 -0.03125    -0.05273438  0.          0.01367188  0.
  0.54882812 -0.01367188 -0.03125    -0.05664062  0.          0.51367188
 -0.01367188 -0.02929688  0.0859375   0.03320312  0.51367188 -0.03515625
 -0.07421875  0.078125    0.46289062  0.06835938 -0.03710938 -0.07617188
  0.0859375   0.46289062  0.06835938 -0.03515625 -0.07617188 -0.05273438
  0.49609375  0.10351562]","[0.02734375 0.01953125 0.02929688 0.37304688 0.38476562 0.59179688
 0.87304688 0.02929688 0.03320312 0.         0.65039062 0.921875
 0.0234375  0.015625   0.         0.52539062 0.84375    0.00585938
 0.015625   0.         0.86523438 1.06445312 0.         0.
 0.0390625  0.8984375  1.05078125 0.00976562 0.         0.04882812
 0.8203125  1.04101562]","[-0.0234375  -0.06640625  0.09570312 -0.18554688 -0.23828125 -0.87890625
 -0.37304688 -0.01953125 -0.06054688  0.1015625  -0.8359375  -0.30078125
 -0.02539062 -0.06835938 -0.08398438  0.91796875 -0.4765625   0.01171875
  0.00976562 -0.08398438 -0.3984375   0.25585938  0.01367188  0.01171875
 -0.06445312 -0.31640625  0.30664062  0.00976562  0.          0.08789062
 -0.44921875  0.33007812]"
4,"[-0.01367188 -0.03125    -0.05273438  0.          0.          0.54882812
  1.1640625  -0.01367188 -0.03125    -0.05664062  0.          0.54882812
  1.1640625  -0.01367188 -0.02929688 -0.05273438 -0.03515625 -0.07421875
  0.046875   -0.66210938  0.06835938 -0.03710938 -0.07617188  0.04296875
  0.52929688 -0.68554688 -0.03515625 -0.07421875  0.04296875]","[0.02734375 0.01953125 0.02929688 0.39257812 0.         0.89648438
 0.96484375 0.02929688 0.03320312 0.         0.53125    0.9140625
 0.921875   0.0234375  0.015625   0.04882812 0.00585938 0.015625
 0.06640625 0.71875    0.828125   0.         0.         0.06835938
 0.89453125 0.71679688 0.00976562 0.01757812 0.08398438]","[-0.0234375  -0.06640625  0.09570312 -0.2265625   1.05859375 -0.31445312
  0.3515625  -0.01953125 -0.06054688  0.1015625  -0.91601562 -0.25976562
  0.44921875 -0.02539062 -0.06835938  0.08789062  0.01171875  0.00976562
  0.08007812  0.41015625  0.71679688  0.01367188  0.01171875  0.08007812
 -0.20507812  0.46875     0.00976562  0.00390625  0.0625    ]"
5,"[-0.01367188 -0.03125    -0.05273438  0.          0.          0.5625
  0.58203125 -0.01367188 -0.03125    -0.05664062  0.52929688  0.54882812
 -0.01367188 -0.02929688 -0.05273438  0.5625      0.58203125 -0.03515625
 -0.07421875  0.078125    0.         -0.65234375 -0.03710938 -0.07617188
  0.08203125  0.         -0.65234375 -0.03515625 -0.07421875  0.04882812
  0.         -0.65234375]","[0.02734375 0.01953125 0.02929688 0.35546875 0.37304688 0.859375
 0.87890625 0.02929688 0.03320312 0.         0.8828125  0.91796875
 0.0234375  0.015625   0.04882812 0.8359375  0.84570312 0.00585938
 0.015625   0.         0.1953125  0.84960938 0.         0.
 0.03710938 0.62109375 0.81640625 0.00976562 0.01757812 0.06445312
 0.57421875 0.875     ]","[-0.0234375  -0.06640625  0.09570312 -0.21484375 -0.25976562 -0.2578125
 -0.3046875  -0.01953125 -0.06054688  0.1015625  -0.25       -0.24414062
 -0.02539062 -0.06835938  0.08789062 -0.32421875 -0.38476562  0.01171875
  0.00976562 -0.08398438  1.04101562  0.24023438  0.01367188  0.01171875
 -0.0703125  -0.85742188  0.33398438  0.00976562  0.00390625  0.08007812
  0.890625    0.11523438]"
6,"[-0.01367188 -0.03125    -0.05273438  0.          0.03320312  0.58203125
 -0.01367188 -0.03125    -0.05664062  0.52929688  0.54882812 -0.01367188
 -0.02929688 -0.05273438  0.          0.54882812 -0.03515625 -0.07421875
  0.08203125  0.5625     -0.65234375 -0.03710938 -0.07617188  0.04296875
 -0.66210938 -0.65234375 -0.03515625 -0.07617188  0.078125   -0.66210938
 -0.65234375]","[0.02734375 0.01953125 0.02929688 0.38867188 0.49023438 0.875
 0.02929688 0.03320312 0.         0.890625   0.91601562 0.0234375
 0.015625   0.04882812 0.53125    0.85351562 0.00585938 0.015625
 0.00585938 0.859375   0.8125     0.         0.         0.06835938
 0.65234375 0.7421875  0.00976562 0.         0.         0.75195312
 0.8359375 ]","[-0.0234375  -0.06640625  0.09570312 -0.234375    0.93945312 -0.31445312
 -0.01953125 -0.06054688  0.1015625  -0.21875    -0.25585938 -0.02539062
 -0.06835938  0.08789062  0.91601562 -0.41992188  0.01171875  0.00976562
 -0.078125   -0.2578125   0.34375     0.01367188  0.01171875  0.08007812
  0.5078125   0.47851562  0.00976562  0.         -0.09375     0.34570312
  0.28320312]"
7,"[-0.01367188 -0.03125    -0.05273438 -0.01367188  0.          0.5625
  0.58203125 -0.01367188 -0.03125    -0.05664062  0.59570312  0.58203125
 -0.01367188 -0.02929688 -0.05273438  0.5625      0.6171875  -0.03515625
 -0.07421875  0.078125    0.         -0.65234375 -0.03710938 -0.07617188
  0.04296875 -0.62890625 -0.65234375 -0.03515625 -0.07617188  0.078125
 -0.62890625  0.06835938]","[0.02734375 0.01953125 0.02929688 0.35351562 0.38867188 0.85742188
 0.8828125  0.02929688 0.03320312 0.         0.86328125 0.90429688
 0.0234375  0.015625   0.04882812 0.8203125  0.8359375  0.00585938
 0.015625   0.         0.31054688 0.85742188 0.         0.
 0.06640625 0.79296875 0.828125   0.00976562 0.         0.
 0.84960938 1.09179688]","[-0.0234375  -0.06640625  0.09570312 -0.22070312 -0.234375   -0.265625
 -0.29101562 -0.01953125 -0.06054688  0.1015625  -0.14648438 -0.21289062
 -0.02539062 -0.06835938  0.08789062 -0.36523438 -0.35351562  0.01171875
  0.00976562 -0.08398438  1.01171875  0.20898438  0.01367188  0.01171875
  0.08203125  0.31445312  0.3046875   0.00976562  0.         -0.09375
  0.07617188  0.09570312]"
8,"[-0.01367188 -0.03125    -0.05273438  0.          0.          0.
  0.54882812 -0.01367188 -0.03125    -0.05664062  0.46289062  0.51367188
 -0.01367188 -0.02929688 -0.05273438 -0.03515625 -0.07421875  0.046875
  0.52929688  0.06835938 -0.03710938 -0.07617188  0.04296875 -0.03320312
  0.06835938 -0.03515625 -0.07617188  0.04882812]","[0.02734375 0.01953125 0.02929688 0.35742188 0.37695312 0.26953125
 0.88671875 0.02929688 0.03320312 0.         0.90429688 0.92578125
 0.0234375  0.015625   0.04882812 0.00585938 0.015625   0.06640625
 0.8671875  1.04882812 0.         0.         0.06835938 0.4921875
 0.88476562 0.00976562 0.         0.06445312]","[-0.0234375  -0.06640625  0.09570312 -0.21289062 -0.25390625  1.02539062
 -0.34179688 -0.01953125 -0.06054688  0.1015625  -0.29882812 -0.28710938
 -0.02539062 -0.06835938  0.08789062  0.01171875  0.00976562  0.08007812
 -0.29882812  0.31640625  0.01367188  0.01171875  0.08007812 -0.9375
  0.64453125  0.00976562  0.          0.08007812]"
9,"[-0.01367188 -0.03125    -0.05273438  0.          0.          0.5625
  0.58203125 -0.01367188 -0.03125    -0.05664062  0.52929688  0.58203125
 -0.01367188 -0.02929688 -0.05273438  0.59570312  0.6171875  -0.03515625
 -0.07421875  0.08203125  0.         -0.65234375 -0.03710938 -0.07617188
  0.04296875 -0.66210938 -0.65234375 -0.03515625 -0.0703125   0.04882812
  0.         -0.65234375]","[0.02734375 0.01953125 0.02929688 0.359375   0.37304688 0.859375
 0.875      0.02929688 0.03320312 0.         0.88671875 0.89648438
 0.0234375  0.015625   0.04882812 0.8203125  0.83007812 0.00585938
 0.015625   0.00585938 0.38867188 0.8515625  0.         0.
 0.06640625 0.734375   0.83984375 0.00976562 0.02539062 0.06445312
 0.21679688 0.859375  ]","[-0.0234375  -0.06640625  0.09570312 -0.20898438 -0.25976562 -0.26171875
 -0.3125     -0.01953125 -0.06054688  0.1015625  -0.23828125 -0.24414062
 -0.02539062 -0.06835938  0.08789062 -0.30859375 -0.36523438  0.01171875
  0.00976562 -0.078125   -0.98632812  0.23242188  0.01367188  0.01171875
  0.08007812  0.37890625  0.2734375   0.00976562  0.0078125   0.078125
 -1.03710938  0.20507812]"
