frame,x,y,z
0,"[-0.01367188 -0.02929688 -0.05273438  0.01367188  0.          0.
 -0.06835938  1.04296875  0.         -0.01367188 -0.03125    -0.05664062
  0.          0.          1.04296875  0.86914062  1.04296875 -0.01367188
 -0.02929688 -0.05273438  0.          0.          1.04296875  0.
 -0.03515625 -0.07421875  0.046875    0.16992188  0.58203125 -0.03710938
 -0.07617188  0.04296875 -0.03515625 -0.0703125   0.04882812]","[2.73437500e-02 3.12500000e-02 2.92968750e-02 3.65234375e-01
 7.28515625e-01 7.34375000e-01 5.64453125e-01 5.13281250e+00
 7.80273438e+00 2.92968750e-02 3.51562500e-02 0.00000000e+00
 7.81250000e-01 8.04687500e-01 4.99218750e+00 4.85351562e+00
 5.34179688e+00 2.34375000e-02 1.56250000e-02 4.88281250e-02
 6.44531250e-01 6.58203125e-01 5.24414062e+00 7.90625000e+00
 5.85937500e-03 1.56250000e-02 6.44531250e-02 4.16015625e-01
 8.80859375e-01 0.00000000e+00 0.00000000e+00 6.44531250e-02
 9.76562500e-03 2.53906250e-02 6.25000000e-02]","[-0.0234375  -0.0625      0.09570312 -0.26757812 -0.71679688 -0.76367188
 -0.9375      1.87109375  2.16210938 -0.01953125 -0.06054688  0.1015625
 -0.65820312 -0.68945312  2.21875     2.57226562  1.14257812 -0.02539062
 -0.06835938  0.08789062 -0.79296875 -0.83007812  1.52734375  1.7421875
  0.01171875  0.00976562  0.08203125  0.05859375 -0.29492188  0.01367188
  0.01171875  0.08398438  0.00976562  0.0078125   0.08007812]"
1,"[-0.01367188 -0.02929688 -0.05273438  0.01367188  0.          0.
 -0.06835938  1.04296875  0.         -0.01367188 -0.03125    -0.05664062
  0.          0.          1.04296875  0.          1.04296875 -0.01367188
 -0.02929688 -0.05273438  0.          0.          1.21679688  0.
 -0.03515625 -0.07421875  0.046875    0.18359375  0.58203125 -0.03710938
 -0.07617188  0.0859375  -0.03515625 -0.07617188  0.04882812]","[2.73437500e-02 3.12500000e-02 2.92968750e-02 3.63281250e-01
 7.38281250e-01 7.50000000e-01 6.30859375e-01 5.12109375e+00
 7.77929688e+00 2.92968750e-02 3.51562500e-02 0.00000000e+00
 7.98828125e-01 8.20312500e-01 4.97851562e+00 7.64453125e+00
 5.33203125e+00 2.34375000e-02 1.75781250e-02 4.88281250e-02
 6.71875000e-01 6.81640625e-01 5.20312500e+00 7.92382812e+00
 5.85937500e-03 1.56250000e-02 6.44531250e-02 4.14062500e-01
 8.86718750e-01 0.00000000e+00 0.00000000e+00 4.29687500e-02
 9.76562500e-03 0.00000000e+00 6.25000000e-02]","[-0.0234375  -0.0625      0.09570312 -0.27148438 -0.70507812 -0.74804688
 -0.89453125  1.90039062  2.24414062 -0.01953125 -0.06054688  0.1015625
 -0.63671875 -0.66992188  2.24804688  2.66992188  1.18554688 -0.02539062
 -0.06835938  0.08789062 -0.76953125 -0.81054688  1.54101562  1.66015625
  0.01171875  0.00976562  0.08203125  0.00585938 -0.28125     0.01367188
  0.01171875 -0.0625      0.00976562  0.          0.08007812]"
2,"[-0.01367188 -0.02929688 -0.05273438  0.          0.01367188  0.
 -0.03320312  0.58203125  1.04296875 -0.01367188 -0.03125    -0.05664062
  0.         -0.03320312  1.04296875  0.86914062  1.04296875 -0.01367188
 -0.02929688 -0.05273438  0.         -0.03320312  1.04296875 -0.03515625
 -0.07421875  0.046875    0.16992188  0.16992188  0.62890625 -0.06835938
 -0.03710938 -0.07617188  0.05273438  0.59570312 -0.03515625 -0.07617188
  0.04882812  0.62890625]","[0.02734375 0.03125    0.02929688 0.34375    0.36328125 0.73632812
 0.765625   0.75195312 5.11914062 0.02929688 0.03320312 0.
 0.78125    0.8125     4.97851562 4.81640625 5.3203125  0.0234375
 0.01757812 0.04882812 0.67382812 0.70507812 5.234375   0.00585938
 0.015625   0.06445312 0.3671875  0.41992188 0.83203125 0.6953125
 0.         0.         0.         0.859375   0.00976562 0.
 0.0625     0.81445312]","[-0.0234375  -0.0625      0.09570312 -0.234375   -0.2734375  -0.70703125
 -0.73046875 -0.546875    1.90820312 -0.01953125 -0.06054688  0.1015625
 -0.65625    -0.67773438  2.25        2.64257812  1.23828125 -0.02539062
 -0.06835938  0.08789062 -0.76757812 -0.7890625   1.5625      0.01171875
  0.00976562  0.08203125 -0.09960938  0.03320312 -0.18554688 -0.84570312
  0.01367188  0.01171875  0.10742188 -0.16796875  0.00976562  0.
  0.08007812 -0.25195312]"
3,"[-0.01367188 -0.02929688 -0.05273438  0.01367188  0.          0.
  0.          1.04296875 -0.01367188 -0.03125    -0.05664062  0.
  0.          1.04296875  1.04296875 -0.01367188 -0.02929688 -0.05273438
  0.          0.          1.21679688 -0.03515625 -0.07421875  0.046875
  0.18359375  0.62890625  0.65234375 -0.03710938 -0.07617188  0.04296875
  0.62890625 -0.03515625 -0.0703125   0.04882812  0.62890625]","[0.02734375 0.03125    0.02929688 0.36328125 0.73242188 0.7734375
 0.80664062 5.11132812 0.02929688 0.03320312 0.         0.78710938
 0.82421875 4.96875    5.3203125  0.0234375  0.015625   0.04882812
 0.68554688 0.71875    5.19726562 0.00585938 0.015625   0.06445312
 0.41210938 0.83007812 0.54492188 0.         0.         0.06445312
 0.83789062 0.00976562 0.02539062 0.0625     0.80273438]","[-0.0234375  -0.0625      0.09570312 -0.27148438 -0.7109375  -0.72265625
 -0.7421875   1.92773438 -0.01953125 -0.06054688  0.1015625  -0.65039062
 -0.66601562  2.26953125  1.24023438 -0.02539062 -0.06835938  0.08789062
 -0.7578125  -0.77929688  1.56445312  0.01171875  0.00976562  0.08203125
  0.05273438 -0.19335938 -0.6953125   0.01367188  0.01171875  0.08203125
 -0.15234375  0.00976562  0.0078125   0.08007812 -0.2890625 ]"
4,"[-0.01367188 -0.02929688 -0.05273438  0.01367188  0.01367188  0.
  0.03320312  0.03515625  1.04296875 -0.01367188 -0.03125    -0.05664062
  0.01367188  0.          0.          1.04296875  0.86914062  1.04296875
 -0.01367188 -0.02929688 -0.05273438  0.01367188  0.          0.03320312
  1.21679688 -0.03515625 -0.07421875  0.046875    0.18164062  0.18359375
  0.66210938  0.68554688 -0.03710938 -0.07617188  0.08203125  0.16992188
  0.62890625 -0.03515625 -0.07421875  0.04882812  0.16992188  0.66210938]","[0.02734375 0.03125    0.02929688 0.34375    0.36328125 0.73828125
 0.78125    0.875      5.09179688 0.02929688 0.03320312 0.
 0.38085938 0.79296875 0.83398438 4.9453125  4.80078125 5.31054688
 0.0234375  0.015625   0.04882812 0.33984375 0.67578125 0.7109375
 5.18359375 0.00585938 0.015625   0.06445312 0.34375    0.4140625
 0.81054688 0.69726562 0.         0.         0.04101562 0.4140625
 0.84179688 0.00976562 0.01757812 0.0625     0.41796875 0.79101562]","[-0.0234375  -0.0625      0.09570312 -0.234375   -0.27148438 -0.70507812
 -0.71484375 -0.66210938  1.9765625  -0.01953125 -0.06054688  0.1015625
 -0.24804688 -0.64257812 -0.65234375  2.3203125   2.66796875  1.28125
 -0.02539062 -0.06835938  0.08789062 -0.29882812 -0.765625   -0.78515625
  1.60742188  0.01171875  0.00976562  0.08203125 -0.14648438  0.02148438
 -0.16210938 -0.49804688  0.01367188  0.01171875 -0.06835938  0.07226562
 -0.13867188  0.00976562  0.00390625  0.08007812  0.04492188 -0.2421875 ]"
5,"[-0.01367188 -0.02929688 -0.05273438  0.          0.01367188  0.
  0.          0.03515625  1.04296875  0.         -0.01367188 -0.03125
 -0.05664062  0.          0.          0.         -1.03125     1.04296875
  0.          0.86914062  1.04296875 -0.01367188 -0.02929688 -0.05273438
  0.          0.         -1.03125     1.04296875 -0.03515625 -0.07421875
  0.046875    0.16992188  0.18359375  0.37695312 -0.03710938 -0.07617188
  0.04296875  0.15625    -0.03515625 -0.0703125   0.04882812]","[2.73437500e-02 3.12500000e-02 2.92968750e-02 3.43750000e-01
 3.63281250e-01 7.28515625e-01 7.67578125e-01 8.88671875e-01
 5.09570312e+00 7.69726562e+00 2.92968750e-02 3.32031250e-02
 0.00000000e+00 3.84765625e-01 7.75390625e-01 8.22265625e-01
 3.11718750e+00 4.94921875e+00 7.48632812e+00 4.81445312e+00
 5.31054688e+00 2.34375000e-02 1.56250000e-02 4.88281250e-02
 6.58203125e-01 7.12890625e-01 3.32031250e+00 5.21679688e+00
 5.85937500e-03 1.56250000e-02 6.44531250e-02 3.65234375e-01
 4.14062500e-01 9.12109375e-01 0.00000000e+00 0.00000000e+00
 6.44531250e-02 4.21875000e-01 9.76562500e-03 2.53906250e-02
 6.25000000e-02]","[-0.0234375  -0.0625      0.09570312 -0.234375   -0.2734375  -0.71484375
 -0.73046875 -0.64257812  1.96875     2.50976562 -0.01953125 -0.06054688
  0.1015625  -0.2421875  -0.66601562 -0.66796875  1.640625    2.3125
  3.08203125  2.64648438  1.28515625 -0.02539062 -0.06835938  0.08789062
 -0.78125    -0.78320312  1.17578125  1.62304688  0.01171875  0.00976562
  0.08203125 -0.10351562 -0.01757812  0.47851562  0.01367188  0.01171875
  0.08203125  0.05859375  0.00976562  0.0078125   0.08007812]"
6,"[-0.01367188 -0.02929688 -0.05273438  0.          0.01367188  0.
  0.          0.06835938  1.04296875 -0.01367188 -0.03125    -0.05664062
  0.          0.          1.04296875  0.86914062 -0.01367188 -0.02929688
 -0.05273438  0.01367188  0.          0.          1.04296875 -0.03515625
 -0.07421875  0.046875    0.15625     0.16992188  0.41210938 -0.03710938
 -0.07617188  0.04296875 -0.03515625 -0.07617188  0.04882812  0.16992188]","[0.02734375 0.03125    0.02929688 0.34960938 0.3671875  0.71875
 0.75585938 0.8515625  5.09765625 0.02929688 0.03320312 0.
 0.77734375 0.81640625 4.953125   4.84179688 0.0234375  0.01757812
 0.04882812 0.34375    0.67578125 0.67578125 5.21875    0.00585938
 0.015625   0.06445312 0.38085938 0.41992188 0.8046875  0.
 0.         0.06445312 0.00976562 0.         0.0625     0.41992188]","[-0.0234375  -0.0625      0.09570312 -0.2265625  -0.26757812 -0.72460938
 -0.7421875  -0.6875      1.96289062 -0.01953125 -0.06054688  0.1015625
 -0.66210938 -0.67578125  2.3046875   2.59375    -0.02539062 -0.06835938
  0.08789062 -0.29492188 -0.765625   -0.81445312  1.6171875   0.01171875
  0.00976562  0.08203125 -0.05664062  0.01171875  0.62304688  0.01367188
  0.01171875  0.08203125  0.00976562  0.          0.08007812 -0.01367188]"
7,"[-0.01367188 -0.02929688 -0.05273438  0.          0.01367188  0.
  0.03320312  0.06835938  1.04296875 -0.01367188 -0.03125    -0.04882812
  0.01367188  0.          0.          1.04296875  1.04296875  1.04296875
 -0.01367188 -0.02929688 -0.05273438  0.01367188  0.03125     0.
  1.21679688 -0.03515625 -0.07421875  0.046875    0.15625     0.16992188
  0.4453125  -0.03710938 -0.07617188  0.04296875  0.15625    -0.03515625
 -0.07421875  0.04882812]","[0.02734375 0.03125    0.02929688 0.34960938 0.3671875  0.72265625
 0.75390625 0.83984375 5.09570312 0.02929688 0.03320312 0.
 0.38671875 0.77734375 0.80273438 4.94726562 4.75       5.29492188
 0.0234375  0.01757812 0.04882812 0.33984375 0.65820312 0.66992188
 5.18359375 0.00585938 0.015625   0.0625     0.3828125  0.41992188
 0.67578125 0.         0.         0.06445312 0.41796875 0.00976562
 0.01757812 0.0625    ]","[-0.0234375  -0.0625      0.09570312 -0.2265625  -0.26757812 -0.72265625
 -0.74414062 -0.703125    1.97070312 -0.01953125 -0.06054688  0.10742188
 -0.23828125 -0.6640625  -0.69140625  2.31445312  2.69921875  1.34375
 -0.02539062 -0.06835938  0.08789062 -0.30078125 -0.78125    -0.8203125
  1.60546875  0.01171875  0.00976562  0.08203125 -0.0390625   0.03320312
  0.74023438  0.01367188  0.01171875  0.08203125  0.08398438  0.00976562
  0.00390625  0.08007812]"
8,"[-0.01367188 -0.02929688 -0.05273438  0.          0.01367188  0.
  0.          0.06835938  1.04296875  0.         -0.01367188 -0.03125
 -0.05664062  0.          0.03320312  1.04296875  0.          0.86914062
  1.21679688 -0.01367188 -0.02929688 -0.05273438  0.01367188  0.03125
  0.03320312  1.21679688 -0.03515625 -0.07421875  0.046875    0.15625
  0.16992188  0.4453125  -0.03710938 -0.07617188  0.05273438 -0.03515625
 -0.07421875  0.04882812  0.16992188]","[2.73437500e-02 3.12500000e-02 2.92968750e-02 3.53515625e-01
 3.67187500e-01 7.20703125e-01 7.55859375e-01 8.41796875e-01
 5.09570312e+00 7.61328125e+00 2.92968750e-02 3.51562500e-02
 0.00000000e+00 7.69531250e-01 8.14453125e-01 4.94726562e+00
 7.42773438e+00 4.77148438e+00 5.27734375e+00 2.34375000e-02
 1.75781250e-02 4.88281250e-02 3.37890625e-01 6.60156250e-01
 6.95312500e-01 5.18359375e+00 5.85937500e-03 1.56250000e-02
 6.44531250e-02 3.84765625e-01 4.19921875e-01 6.85546875e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.76562500e-03
 1.75781250e-02 6.25000000e-02 4.19921875e-01]","[-0.0234375  -0.0625      0.09570312 -0.21875    -0.265625   -0.72265625
 -0.7421875  -0.70117188  1.96875     2.75390625 -0.01953125 -0.06054688
  0.1015625  -0.671875   -0.67578125  2.31640625  3.22265625  2.72070312
  1.26367188 -0.02539062 -0.06835938  0.08789062 -0.30273438 -0.77929688
 -0.79882812  1.60546875  0.01171875  0.00976562  0.08203125 -0.015625
  0.01757812  0.73242188  0.01367188  0.01171875  0.10742188  0.00976562
  0.00390625  0.08007812 -0.01367188]"
9,"[-0.01367188 -0.02929688 -0.05273438  0.          0.01367188  0.
  0.03320312  0.06835938  1.04296875  0.         -0.01367188 -0.03125
 -0.05664062  0.          0.          1.04296875  0.86914062  1.21679688
 -0.01367188 -0.02929688 -0.05273438  0.          0.03320312  1.21679688
  0.         -0.03515625 -0.07421875  0.046875    0.15625     0.16992188
  0.4453125  -0.03710938 -0.07617188  0.04296875 -0.03515625 -0.07421875
  0.04882812]","[2.73437500e-02 3.12500000e-02 2.92968750e-02 3.47656250e-01
 3.65234375e-01 7.22656250e-01 7.59765625e-01 8.41796875e-01
 5.09765625e+00 7.61523438e+00 2.92968750e-02 3.32031250e-02
 0.00000000e+00 7.63671875e-01 7.98828125e-01 4.95117188e+00
 4.80664062e+00 5.28125000e+00 2.34375000e-02 1.75781250e-02
 5.07812500e-02 6.42578125e-01 6.67968750e-01 5.18554688e+00
 7.79687500e+00 5.85937500e-03 1.56250000e-02 6.44531250e-02
 3.80859375e-01 4.19921875e-01 6.48437500e-01 0.00000000e+00
 0.00000000e+00 6.44531250e-02 9.76562500e-03 1.75781250e-02
 6.25000000e-02]","[-0.0234375  -0.0625      0.09570312 -0.23046875 -0.26953125 -0.72265625
 -0.73828125 -0.69921875  1.96289062  2.75       -0.01953125 -0.06054688
  0.1015625  -0.6796875  -0.6953125   2.30859375  2.65820312  1.24804688
 -0.02539062 -0.06835938  0.08789062 -0.79296875 -0.82226562  1.59960938
  2.17773438  0.01171875  0.00976562  0.08203125 -0.0546875   0.02539062
  0.765625    0.01367188  0.01171875  0.08203125  0.00976562  0.00390625
  0.08007812]"
