frame,x,y,z
0,[1.265625   1.3046875  1.265625   1.3046875  1.29492188],[0.79101562 0.80859375 0.8046875  0.81835938 0.9296875 ],[ 0.15429688  0.19335938  0.04101562  0.13476562 -0.00390625]
1,[1.20898438],[0.94140625],[0.21679688]
2,"[1.28125    1.37109375 1.37109375 1.3046875  1.29492188 1.28125
 1.37109375]","[1.01171875 0.98046875 0.98242188 0.79101562 0.91015625 1.01953125
 0.984375  ]","[ 0.1640625   0.08984375 -0.046875    0.25390625  0.1875      0.09960938
  0.01757812]"
3,"[1.28125    1.37109375 1.3125     1.3046875  1.34570312 1.33398438
 1.37109375]","[0.984375   0.953125   0.70703125 0.80664062 0.84375    0.94140625
 0.97265625]","[0.27929688 0.2421875  0.16601562 0.1953125  0.13476562 0.16601562
 0.14453125]"
4,"[ 1.21875    -1.74023438 -1.76367188 -1.86914062 -1.74023438  1.18164062
  1.171875    1.20898438 -1.74023438  1.22460938]","[0.87304688 1.09179688 0.96289062 0.859375   1.00976562 0.84570312
 0.93554688 0.96484375 1.0625     1.5859375 ]","[ 0.04492188 -0.1875      0.15625     0.14648438 -0.453125   -0.06054688
 -0.04882812 -0.01757812 -0.30859375  0.4921875 ]"
5,"[ 1.2578125   1.34570312  1.38476562  1.4765625  -1.93359375  1.29492188
  1.43554688  1.4765625   1.3046875   1.34570312  1.43554688  1.4765625 ]","[0.7265625  0.67773438 0.81445312 0.7890625  0.31054688 0.8984375
 0.7890625  0.81640625 0.73242188 0.75585938 0.765625   0.80859375]","[0.53320312 0.52148438 0.33398438 0.2109375  0.64648438 0.234375
 0.09179688 0.00390625 0.39257812 0.40039062 0.20898438 0.11328125]"
6,"[ 1.20898438  1.28125     1.31835938 -1.86914062  1.33398438  1.37109375
  1.20898438  1.29492188  1.33398438  1.37109375]","[0.8359375  1.015625   1.04882812 0.82617188 0.89648438 0.9375
 0.86914062 0.86523438 0.93359375 0.96484375]","[ 0.484375   -0.13085938 -0.09765625  0.27929688 -0.33398438 -0.29882812
  0.41992188  0.33984375 -0.20507812 -0.19140625]"
7,[1.171875 1.21875  1.28125 ],[0.75585938 0.6015625  1.01953125],[-0.55273438 -0.63476562  0.10351562]
8,"[ 1.35351562  1.34570312  1.43554688  1.42382812 -1.70117188  1.39453125
  1.43554688  1.40234375  1.39453125  1.43554688  1.4765625  -1.70117188]","[0.61328125 0.796875   0.765625   0.87304688 1.07617188 0.76367188
 0.79296875 0.56054688 0.74414062 0.77929688 0.80859375 1.08203125]","[ 0.4296875   0.3125      0.20898438  0.24023438  0.11132812  0.10546875
  0.046875    0.33789062  0.203125    0.15234375  0.1171875  -0.01171875]"
9,"[1.39453125 1.38476562 1.42382812 1.39453125 1.38476562 1.37109375
 1.39453125 1.38476562 1.42382812]","[0.63085938 0.8203125  0.8671875  0.73242188 0.87109375 0.984375
 0.68359375 0.85742188 0.890625  ]","[0.4453125  0.31835938 0.26367188 0.2421875  0.12890625 0.02148438
 0.35546875 0.20117188 0.1640625 ]"
10,"[1.31640625 1.265625   1.3046875  1.34570312 1.48632812 1.265625
 1.3046875  1.34570312 1.43554688 1.31640625 1.3125     1.35351562
 1.39453125 1.43554688]","[0.546875   0.79492188 0.8046875  0.85351562 0.69335938 0.80078125
 0.83007812 0.84960938 0.72265625 0.59375    0.72460938 0.7421875
 0.77148438 0.77148438]","[ 0.27734375  0.12695312  0.20117188  0.06445312  0.00585938 -0.0859375
  0.02539062 -0.09960938 -0.33007812  0.16015625  0.04492188  0.10351562
  0.00390625 -0.19335938]"
11,"[ 1.28125     1.21289062 -1.70117188 -1.8046875  -1.59960938 -1.70117188
 -1.8046875   1.29492188  1.28125     1.31835938 -1.76367188 -1.8046875 ]","[1.0234375  1.1640625  1.08203125 0.9921875  1.0078125  1.0390625
 0.98632812 0.921875   1.0234375  1.05273438 0.96875    0.99804688]","[ 0.046875    0.14453125 -0.03515625  0.109375   -0.54882812 -0.29882812
 -0.16015625  0.12304688 -0.03125     0.05859375 -0.11914062 -0.01953125]"
12,"[1.35351562 1.34570312 1.43554688 1.24609375 1.24609375 1.3046875
 1.39453125 1.48632812 1.24609375]","[0.74804688 0.84960938 0.76171875 1.08984375 1.1796875  0.82226562
 0.76367188 0.69140625 1.13476562]","[ 0.03710938  0.09765625  0.22265625  0.51367188  0.25       -0.11132812
  0.11523438  0.0546875   0.41015625]"
13,"[ 1.31640625  1.3125      1.43554688 -1.72265625 -1.82617188 -1.93359375
 -1.82617188 -1.72265625 -1.82617188 -1.86914062  1.27148438  1.40625
  1.48632812 -1.72265625 -1.76367188 -1.93359375]","[0.58398438 0.703125   0.7734375  0.953125   0.82617188 0.65234375
 0.83007812 0.9296875  0.8515625  0.87109375 0.6953125  0.49609375
 0.68945312 0.94921875 0.97265625 0.6953125 ]","[ 0.19140625  0.18164062  0.17773438  0.03515625  0.20898438  0.30078125
 -0.19335938 -0.20898438 -0.03320312  0.05273438  0.11328125  0.16210938
  0.08203125 -0.078125    0.08007812  0.17773438]"
