frame,x,y,z
0,"[-0.01367188 -0.03125    -0.05273438  0.06054688 -0.17773438 -1.40039062
 -1.39257812 -1.4296875  -1.51367188  1.35742188  0.         -0.23632812
  0.         -0.01367188 -0.03125    -0.05273438  0.05273438 -1.40039062
 -1.4375     -0.234375   -0.23632812 -0.23828125 -0.47070312  0.
  0.          0.         -0.01367188 -0.02929688 -0.05273438  0.05664062
 -1.35546875 -1.39257812  0.          0.          0.         -0.03515625
 -0.07421875  0.046875    0.109375    0.         -0.03710938 -0.07617188
  0.04296875  0.11328125 -0.03515625 -0.07421875  0.04296875  0.06640625]","[2.73437500e-02 1.95312500e-02 3.32031250e-02 1.28906250e-01
 6.44531250e-02 0.00000000e+00 3.51562500e-01 3.65234375e-01
 0.00000000e+00 0.00000000e+00 7.26757812e+00 7.33398438e+00
 7.42578125e+00 2.92968750e-02 3.32031250e-02 0.00000000e+00
 1.36718750e-01 0.00000000e+00 0.00000000e+00 7.12500000e+00
 7.19921875e+00 7.29296875e+00 6.98828125e+00 7.12109375e+00
 7.45703125e+00 7.51562500e+00 2.53906250e-02 1.56250000e-02
 5.07812500e-02 1.38671875e-01 3.41796875e-01 3.55468750e-01
 7.37695312e+00 7.43945312e+00 7.51367188e+00 3.90625000e-03
 1.56250000e-02 6.25000000e-02 0.00000000e+00 1.55078125e+00
 0.00000000e+00 0.00000000e+00 6.44531250e-02 1.95312500e-02
 7.81250000e-03 1.75781250e-02 8.39843750e-02 1.25000000e-01]","[-0.02148438 -0.06640625  0.09570312  0.04882812  0.00976562 -0.0078125
  0.06445312  0.00585938 -0.5078125  -1.41992188  1.96679688  1.84960938
  1.63867188 -0.01953125 -0.06054688  0.10351562  0.03710938  0.10742188
  0.13671875  2.41992188  2.31835938  2.14257812  2.75976562  2.56054688
  1.04101562  0.87304688 -0.02539062 -0.06835938  0.0859375   0.01953125
 -0.06054688 -0.03320312  1.50195312  1.37890625  1.16796875  0.01171875
  0.00976562  0.08203125 -0.11132812  0.01757812  0.01367188  0.01171875
  0.08398438 -0.09765625  0.00976562  0.00390625  0.06445312  0.0546875 ]"
1,"[-0.01367188 -0.03125    -0.05273438  0.05664062 -0.17773438 -1.40039062
 -1.39257812 -1.4296875  -1.51367188  0.         -0.23632812 -0.23828125
 -0.01367188 -0.03125    -0.05273438  0.05273438 -1.40039062 -1.4375
 -0.234375   -0.23632812  0.         -0.234375   -0.23632812  0.
  0.         -0.01367188 -0.02929688 -0.05273438  0.05664062 -1.35546875
 -1.39257812  0.          0.         -0.23828125 -0.03710938 -0.07421875
  0.046875    0.109375   -0.03710938 -0.07617188  0.04296875  0.11328125
 -0.03515625 -0.07421875  0.04296875  0.109375  ]","[0.02734375 0.01953125 0.03125    0.13671875 0.06445312 0.
 0.3515625  0.36523438 0.         7.265625   7.33007812 7.41015625
 0.02929688 0.03320312 0.         0.13671875 0.         0.
 7.12109375 7.1953125  7.29882812 7.046875   7.12109375 7.46484375
 7.51953125 0.02539062 0.015625   0.05078125 0.13867188 0.34375
 0.35546875 7.37695312 7.4375     7.50195312 0.         0.015625
 0.0625     0.         0.         0.         0.06445312 0.02539062
 0.0078125  0.01757812 0.08398438 0.        ]","[-0.02148438 -0.06640625  0.09570312  0.03320312  0.0078125   0.0234375
  0.06445312  0.01757812 -0.54296875  1.9765625   1.86328125  1.69140625
 -0.01953125 -0.06054688  0.10351562  0.03710938  0.140625    0.17382812
  2.43554688  2.33007812  2.13476562  2.640625    2.54882812  0.97265625
  0.84375    -0.02539062 -0.06835938  0.0859375   0.02148438 -0.046875
 -0.02148438  1.50585938  1.390625    1.22460938  0.01171875  0.00976562
  0.08203125 -0.11328125  0.01367188  0.01171875  0.08398438 -0.09765625
  0.00976562  0.00390625  0.06445312 -0.125     ]"
2,"[-0.01367188 -0.03125    -0.05273438  0.05664062 -0.17773438 -1.35546875
 -1.39257812 -1.4296875  -1.51367188  0.         -0.23632812  0.
 -0.01367188 -0.03125    -0.05273438  0.05664062 -1.40039062 -1.4375
 -1.4296875  -0.234375   -0.23632812 -0.23828125  0.          0.
  0.         -0.01367188 -0.02929688 -0.05273438  0.05664062 -0.18945312
 -1.35546875 -1.39257812 -1.4296875   0.          0.         -0.23828125
 -0.03710938 -0.07421875  0.046875    0.109375   -0.03710938 -0.07617188
  0.0390625   0.109375   -0.03515625 -0.07421875  0.04296875  0.06640625
 -0.125     ]","[0.02734375 0.01953125 0.03320312 0.13671875 0.06445312 0.34765625
 0.35546875 0.35742188 0.         7.265625   7.33398438 7.42773438
 0.02929688 0.03320312 0.         0.1328125  0.         0.
 0.36523438 7.12109375 7.19921875 7.3046875  6.97460938 7.05273438
 7.50585938 0.02539062 0.015625   0.05078125 0.13867188 0.
 0.33203125 0.34375    0.32617188 7.37695312 7.43945312 7.50976562
 0.         0.015625   0.06445312 0.         0.         0.
 0.07617188 0.02929688 0.0078125  0.01757812 0.08398438 0.125
 0.13476562]","[-0.02148438 -0.06640625  0.09570312  0.03515625  0.00976562  0.00390625
  0.01171875 -0.08007812 -0.32617188  1.97460938  1.84570312  1.62695312
 -0.01953125 -0.06054688  0.10351562  0.04492188  0.08007812  0.08398438
  0.00976562  2.43359375  2.3203125   2.1015625   2.83398438  2.7421875
  0.95117188 -0.02539062 -0.06835938  0.0859375   0.0234375   0.
 -0.1015625  -0.09765625 -0.1640625   1.50585938  1.37695312  1.16992188
  0.01171875  0.00976562  0.08203125 -0.11328125  0.01367188  0.01171875
  0.07421875 -0.1015625   0.00976562  0.00390625  0.06445312  0.0546875
 -0.04492188]"
3,"[-0.01367188 -0.03125    -0.05273438  0.05664062 -1.35546875 -1.39257812
 -1.4296875  -1.51367188  0.         -0.23632812 -0.23828125 -0.01367188
 -0.03125    -0.05273438  0.046875   -1.40039062 -1.39257812 -1.4296875
 -0.234375   -0.23632812 -0.23828125 -0.234375   -0.23632812  0.
  0.         -0.01367188 -0.02929688 -0.05273438  0.05664062 -1.35546875
 -1.39257812 -1.4296875  -1.51367188  0.          0.         -0.23828125
 -0.03710938 -0.07421875  0.046875    0.109375   -0.03710938 -0.07617188
  0.04296875  0.109375   -0.03515625 -0.07421875  0.04296875  0.109375  ]","[0.02734375 0.01953125 0.03320312 0.13671875 0.34765625 0.35546875
 0.36328125 0.         7.265625   7.33203125 7.41601562 0.02929688
 0.03320312 0.         0.140625   0.         0.33203125 0.36132812
 7.12109375 7.19921875 7.30273438 7.06054688 7.15039062 7.46289062
 7.52734375 0.02539062 0.015625   0.05078125 0.13867188 0.34570312
 0.35546875 0.34179688 0.         7.37695312 7.43945312 7.5078125
 0.         0.015625   0.06445312 0.         0.         0.
 0.06445312 0.02734375 0.0078125  0.01757812 0.08398438 0.        ]","[-0.02148438 -0.06640625  0.09570312  0.03320312  0.015625    0.03515625
 -0.046875   -0.37304688  1.97265625  1.8515625   1.66210938 -0.01953125
 -0.06054688  0.10351562  0.03125     0.06640625  0.12695312  0.06054688
  2.43554688  2.31445312  2.109375    2.6015625   2.46289062  0.98828125
  0.78125    -0.02539062 -0.06835938  0.0859375   0.02148438 -0.03710938
 -0.03515625 -0.13085938 -0.43164062  1.50195312  1.38085938  1.18164062
  0.01171875  0.00976562  0.08203125 -0.11328125  0.01367188  0.01171875
  0.08398438 -0.1015625   0.00976562  0.00390625  0.06445312 -0.125     ]"
4,"[-0.01367188 -0.03125    -0.05273438  0.05664062 -0.17773438 -1.35546875
 -1.39257812 -1.4296875  -1.51367188  0.         -0.23632812  0.
 -0.01367188 -0.03125    -0.05273438  0.05664062 -1.40039062 -1.4375
 -1.4296875   1.46679688 -0.234375   -0.23632812 -0.23828125  0.
 -0.47265625  0.          0.         -0.01367188 -0.02929688 -0.05273438
  0.05664062 -1.35546875 -1.39257812 -1.4296875  -1.51367188  0.
  0.         -0.23828125 -0.03515625 -0.07421875  0.046875    0.109375
 -0.03710938 -0.07617188  0.04296875  0.11328125 -0.03515625 -0.07421875
  0.04296875  0.11328125]","[2.73437500e-02 1.95312500e-02 3.12500000e-02 1.36718750e-01
 6.44531250e-02 3.47656250e-01 3.53515625e-01 3.63281250e-01
 0.00000000e+00 7.26757812e+00 7.33593750e+00 7.42773438e+00
 2.92968750e-02 3.32031250e-02 0.00000000e+00 1.32812500e-01
 0.00000000e+00 0.00000000e+00 3.55468750e-01 3.43750000e-01
 7.12109375e+00 7.20117188e+00 7.30273438e+00 7.01171875e+00
 7.12890625e+00 7.47070312e+00 7.52539062e+00 2.53906250e-02
 1.56250000e-02 5.07812500e-02 1.38671875e-01 3.41796875e-01
 3.43750000e-01 3.18359375e-01 0.00000000e+00 7.37890625e+00
 7.44140625e+00 7.50781250e+00 3.90625000e-03 1.56250000e-02
 6.44531250e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.44531250e-02 1.95312500e-02 7.81250000e-03 1.75781250e-02
 8.39843750e-02 0.00000000e+00]","[-0.02148438 -0.06640625  0.09570312  0.03515625  0.00976562  0.00976562
  0.04492188 -0.0390625  -0.29296875  1.96875     1.84179688  1.63085938
 -0.01953125 -0.06054688  0.10351562  0.046875    0.10351562  0.12304688
  0.08789062 -0.15234375  2.43164062  2.3125      2.10742188  2.74414062
  2.4921875   0.9296875   0.79296875 -0.02539062 -0.06835938  0.0859375
  0.02148438 -0.06445312 -0.09375    -0.18164062 -0.42578125  1.49609375
  1.36914062  1.1796875   0.01171875  0.00976562  0.08203125 -0.11328125
  0.01367188  0.01171875  0.08398438 -0.09765625  0.00976562  0.00390625
  0.06445312 -0.12109375]"
5,"[-0.01367188 -0.03125    -0.05273438  0.05664062 -0.18945312 -1.35546875
 -1.39257812 -1.4296875  -1.51367188  0.         -0.23632812  0.
 -0.01367188 -0.03125    -0.05273438  0.05273438 -1.35546875 -1.4375
 -1.4296875   1.46679688 -0.234375   -0.23632812 -0.23828125 -0.234375
 -0.47265625  0.          0.         -0.01367188 -0.02929688 -0.05273438
  0.05273438 -1.35546875 -1.39257812 -1.4296875  -1.51367188  0.
  0.         -0.23828125 -0.03710938 -0.07421875  0.046875    0.109375
 -0.03710938 -0.07617188  0.0390625   0.11328125 -0.03515625 -0.07421875
  0.04296875  0.11328125]","[0.02734375 0.01953125 0.03320312 0.13671875 0.         0.34375
 0.35546875 0.36328125 0.         7.26757812 7.3359375  7.4296875
 0.02929688 0.03320312 0.         0.13671875 0.29882812 0.
 0.35742188 0.3515625  7.12695312 7.19921875 7.30273438 6.99414062
 7.02734375 7.49023438 7.54296875 0.02539062 0.015625   0.05078125
 0.140625   0.34570312 0.3515625  0.30859375 0.         7.37890625
 7.44335938 7.51367188 0.         0.015625   0.06445312 0.
 0.         0.         0.07617188 0.0234375  0.0078125  0.01757812
 0.08398438 0.        ]","[-0.02148438 -0.06640625  0.09570312  0.03515625  0.01171875  0.04492188
  0.03320312 -0.03515625 -0.21289062  1.96679688  1.84375     1.61914062
 -0.01953125 -0.06054688  0.10351562  0.0390625   0.17578125  0.15039062
  0.07617188 -0.13085938  2.41601562  2.31445312  2.11132812  2.77734375
  2.765625    0.77148438  0.609375   -0.02539062 -0.06835938  0.0859375
  0.01757812 -0.0390625  -0.05664062 -0.19726562 -0.3515625   1.49414062
  1.36328125  1.14648438  0.01171875  0.00976562  0.08203125 -0.11328125
  0.01367188  0.01171875  0.07421875 -0.09765625  0.00976562  0.00390625
  0.06445312 -0.12109375]"
6,"[-0.01367188 -0.03125    -0.05273438  0.05664062 -1.35546875 -1.39257812
 -1.4296875  -1.51367188  0.         -0.23632812  0.         -0.01367188
 -0.03125    -0.05273438  0.05664062 -1.35546875 -1.4375     -1.4296875
 -0.234375   -0.23632812 -0.23828125  0.          0.          0.
 -0.01367188 -0.02929688 -0.05273438  0.05664062 -1.35546875 -1.39257812
 -1.4296875   1.46679688  0.          0.          0.         -0.03710938
 -0.07421875  0.046875    0.109375   -0.03710938 -0.07617188  0.0390625
  0.11328125 -0.03515625 -0.07421875  0.04296875  0.06640625]","[0.02734375 0.01953125 0.03125    0.13671875 0.34765625 0.35546875
 0.36523438 0.         7.26367188 7.33398438 7.4296875  0.02929688
 0.03320312 0.         0.1328125  0.33203125 0.         0.36523438
 7.1171875  7.19921875 7.30664062 6.96679688 7.43554688 7.49609375
 0.02539062 0.015625   0.05078125 0.13867188 0.33984375 0.35546875
 0.34960938 0.33007812 7.375      7.43945312 7.51367188 0.
 0.015625   0.0625     0.         0.         0.         0.07617188
 0.015625   0.0078125  0.01757812 0.08398438 0.12695312]","[-0.02148438 -0.06640625  0.09570312  0.03515625  0.01953125  0.03515625
 -0.03320312 -0.203125    1.98046875  1.84960938  1.6171875  -0.01953125
 -0.06054688  0.10351562  0.04492188  0.10351562  0.09570312  0.01367188
  2.44140625  2.31445312  2.09570312  2.953125    1.17773438  1.03710938
 -0.02539062 -0.06835938  0.0859375   0.02148438 -0.0703125  -0.02929688
 -0.10546875 -0.17773438  1.51367188  1.38476562  1.171875    0.01171875
  0.00976562  0.08203125 -0.11328125  0.01367188  0.01171875  0.07421875
 -0.09960938  0.00976562  0.00390625  0.06445312  0.05078125]"
7,"[-0.01367188 -0.03125    -0.05273438  0.05664062 -0.18945312 -1.35546875
 -1.39257812 -1.4296875  -1.51367188  0.         -0.23632812  0.
 -0.01367188 -0.03125    -0.05273438  0.05273438 -1.40039062 -1.4375
 -1.47460938 -0.234375   -0.23632812 -0.23828125 -0.234375   -0.47265625
  0.          0.         -0.01367188 -0.02929688 -0.05273438  0.05664062
 -1.35546875 -1.39257812 -1.4296875  -1.51367188  0.          0.
  0.         -0.03710938 -0.07421875  0.046875    0.109375   -0.03710938
 -0.07617188  0.04296875  0.109375   -0.03515625 -0.07421875  0.04296875
  0.11328125]","[0.02734375 0.01953125 0.03125    0.13671875 0.         0.34765625
 0.35546875 0.36523438 0.         7.265625   7.3359375  7.43164062
 0.02929688 0.03320312 0.         0.13671875 0.         0.
 0.         7.1171875  7.19921875 7.30664062 6.9140625  7.02929688
 7.44140625 7.5078125  0.02539062 0.015625   0.05078125 0.13867188
 0.33789062 0.34765625 0.35546875 0.         7.37695312 7.44140625
 7.51953125 0.         0.015625   0.06445312 0.         0.
 0.         0.06445312 0.03125    0.00976562 0.01757812 0.08203125
 0.        ]","[-0.02148438 -0.06640625  0.09570312  0.03515625  0.01171875  0.00585938
  0.02929688  0.0078125   0.046875    1.97460938  1.84179688  1.61523438
 -0.01953125 -0.06054688  0.10351562  0.0390625   0.0625      0.11328125
  0.09375     2.4453125   2.31640625  2.09179688  2.97265625  2.76171875
  1.140625    0.94140625 -0.02539062 -0.06835938  0.0859375   0.02148438
 -0.08007812 -0.078125   -0.08398438 -0.00585938  1.5078125   1.3671875
  1.13476562  0.01171875  0.00976562  0.08203125 -0.11132812  0.01367188
  0.01171875  0.08398438 -0.09960938  0.00976562  0.00390625  0.06445312
 -0.12109375]"
8,"[-0.01367188 -0.03125    -0.05273438  0.06054688 -0.18945312 -1.40039062
 -1.4375     -1.47460938 -1.51367188  0.         -0.23632812  0.
 -0.01367188 -0.03125    -0.05273438  0.05664062 -1.35546875 -1.39257812
 -1.47460938 -1.51367188 -0.234375   -0.23632812 -0.23828125  0.
  0.          0.         -0.01367188 -0.02929688 -0.05273438  0.05664062
 -1.35546875 -1.39257812 -1.47460938 -1.46679688  0.          0.
 -0.23828125 -0.03710938 -0.07421875  0.046875    0.109375   -0.03710938
 -0.07617188  0.0859375   0.11328125 -0.03515625 -0.07421875  0.04296875
  0.109375  ]","[0.02734375 0.01953125 0.03125    0.13085938 0.         0.
 0.         0.         0.         7.26757812 7.33789062 7.43554688
 0.02929688 0.03320312 0.         0.13085938 0.34570312 0.34179688
 0.         0.         7.12304688 7.20703125 7.31445312 7.19921875
 7.484375   7.5390625  0.02539062 0.015625   0.05078125 0.13867188
 0.328125   0.34765625 0.         0.35546875 7.38085938 7.44335938
 7.51171875 0.         0.015625   0.0625     0.         0.
 0.         0.04101562 0.01953125 0.0078125  0.01757812 0.08203125
 0.        ]","[-0.02148438 -0.06640625  0.09570312  0.046875    0.01367188 -0.04492188
  0.00390625  0.03320312  0.21289062  1.96289062  1.83398438  1.59375
 -0.01953125 -0.06054688  0.10351562  0.04882812  0.03710938  0.10351562
  0.11328125  0.2421875   2.42382812  2.29492188  2.06445312  2.328125
  0.82226562  0.63671875 -0.02539062 -0.06835938  0.0859375   0.0234375
 -0.11328125 -0.08007812 -0.0703125   0.12304688  1.48828125  1.36132812
  1.15429688  0.01171875  0.00976562  0.08203125 -0.11132812  0.01367188
  0.01171875 -0.0625     -0.09765625  0.00976562  0.00390625  0.06445312
 -0.125     ]"
9,"[-0.01367188 -0.03125    -0.05273438  0.05664062 -0.17773438 -1.35546875
 -1.4375      1.4296875  -1.51367188 -1.40625     0.          0.
 -0.23828125 -0.01367188 -0.03125    -0.05273438  0.05664062 -1.35546875
 -1.4375      1.4296875  -1.51367188 -0.234375   -0.23632812  0.
  0.          0.          0.         -0.01367188 -0.02929688 -0.05273438
  0.05664062 -1.40039062 -1.4375      1.4296875   0.          0.
  0.         -0.03515625 -0.07421875  0.046875    0.109375   -0.10546875
  1.2109375  -0.03710938 -0.07617188  0.04296875  0.109375   -0.03515625
 -0.07421875  0.04296875  0.11328125]","[2.73437500e-02 1.95312500e-02 3.32031250e-02 1.36718750e-01
 6.44531250e-02 3.47656250e-01 0.00000000e+00 3.41796875e-01
 0.00000000e+00 6.05468750e-01 7.27148438e+00 7.34570312e+00
 7.43359375e+00 2.92968750e-02 3.32031250e-02 0.00000000e+00
 1.32812500e-01 3.35937500e-01 0.00000000e+00 2.89062500e-01
 0.00000000e+00 7.12304688e+00 7.20898438e+00 7.33007812e+00
 7.00585938e+00 7.46289062e+00 7.52539062e+00 2.53906250e-02
 1.56250000e-02 5.07812500e-02 1.38671875e-01 0.00000000e+00
 0.00000000e+00 3.65234375e-01 7.38085938e+00 7.44726562e+00
 7.52539062e+00 3.90625000e-03 1.56250000e-02 6.25000000e-02
 0.00000000e+00 1.23046875e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.44531250e-02 2.73437500e-02 7.81250000e-03
 1.75781250e-02 8.20312500e-02 0.00000000e+00]","[-0.02148438 -0.06640625  0.09570312  0.03515625  0.01171875  0.01953125
  0.04296875  0.13085938  0.31054688  0.25195312  1.953125    1.8125
  1.5859375  -0.01953125 -0.06054688  0.10351562  0.04492188  0.08789062
  0.14453125  0.22265625  0.38085938  2.42773438  2.28515625  2.02539062
  2.86132812  1.          0.78710938 -0.02539062 -0.06835938  0.0859375
  0.02148438 -0.1171875  -0.03320312  0.02539062  1.484375    1.3359375
  1.09179688  0.01171875  0.00976562  0.08203125 -0.11328125 -0.09765625
  1.48242188  0.01367188  0.01171875  0.08398438 -0.1015625   0.00976562
  0.00390625  0.06445312 -0.12109375]"
