frame,x,y,z
0,"[-0.01367188 -0.03125    -0.05273438  0.0703125  -0.17773438 -0.76171875
 -0.7890625  -0.8515625  -0.828125   -0.92382812 -0.8515625  -0.86328125
 -0.875      -0.78125    -0.78515625 -0.7890625  -0.79492188  0.2578125
 -0.25976562 -0.26171875  0.          0.26367188  0.265625    2.66015625
  2.671875    2.68359375 -0.01367188 -0.03125     0.04296875  0.06640625
 -0.18359375 -0.76171875 -0.82226562 -0.8515625  -0.91015625 -0.83984375
 -0.8515625  -0.86328125 -0.875      -0.98046875 -0.7890625  -0.79492188
  0.         -0.25976562 -0.26171875  0.          0.26367188  0.
  2.66015625  2.40429688  2.41601562 -0.92382812 -0.93554688 -0.94921875
 -0.51953125 -0.26171875  0.          0.          0.          0.
  2.40429688  2.41601562 -0.8515625   0.265625  ]","[0.02734375 0.02148438 0.02734375 0.09960938 0.06054688 0.73632812
 0.75390625 0.73046875 2.4921875  2.50195312 2.5703125  2.61523438
 2.65820312 6.15625    6.20703125 6.26757812 6.2890625  8.04101562
 8.24414062 8.33203125 8.38476562 8.34960938 8.33789062 4.58007812
 6.5546875  7.4140625  0.02929688 0.03515625 0.06640625 0.10546875
 0.03320312 0.73046875 0.703125   0.7109375  2.43359375 2.5
 2.54492188 2.59570312 2.64648438 6.13867188 6.24414062 6.3046875
 7.91601562 8.29882812 8.35546875 8.33789062 8.24804688 8.26367188
 5.296875   6.90039062 7.6953125  2.42382812 2.47265625 2.53710938
 8.3046875  8.3515625  8.234375   8.11328125 8.1015625  7.9765625
 7.31054688 7.82421875 2.57226562 8.46875   ]","[-0.02148438 -0.06445312  0.09765625  0.08984375  0.02539062  0.0390625
  0.11328125  0.171875    0.34765625  0.32226562  0.296875    0.203125
  0.078125    0.671875    0.54296875  0.15820312 -0.47460938  1.81835938
 -1.11328125 -0.65625     0.49609375  1.1875      1.49804688 -6.6640625
 -4.796875   -3.40625    -0.01953125 -0.06054688  0.08203125  0.0859375
  0.03320312  0.09960938  0.1796875   0.2421875   0.51367188  0.50976562
  0.47070312  0.38085938  0.2578125   0.89453125  0.55859375 -0.08789062
  2.31445312 -0.58203125 -0.15234375  1.01171875  1.75585938  1.88085938
 -6.109375   -4.43945312 -2.94921875  0.6953125   0.65234375  0.54101562
 -0.20117188  0.30664062  1.65234375  2.31445312  2.48632812  2.97460938
 -3.72460938 -2.58789062 -0.2890625  -0.21875   ]"
1,"[-0.01367188 -0.03125     0.046875    0.0703125  -0.17773438 -0.72851562
 -0.7890625  -0.8515625  -0.828125   -0.83984375 -0.8515625  -0.86328125
 -0.875      -0.78515625 -0.7890625  -0.79492188  0.2578125   0.
 -0.26171875  0.26171875  0.26367188  0.          2.66015625  2.671875
  2.68359375 -0.01367188 -0.03125     0.04296875  0.06640625 -0.18359375
 -0.76171875 -0.82226562 -0.8515625  -0.91015625 -0.83984375 -0.8515625
 -0.86328125 -0.875      -0.97460938 -0.78515625 -0.7890625  -0.79492188
  0.2578125  -0.25976562 -0.26171875  0.          0.26367188  0.
  2.66015625  2.671875    2.68359375 -0.92382812 -0.93554688 -0.94921875
 -0.51953125 -0.26171875  0.          0.          0.          2.66015625
  2.40429688  2.41601562 -0.93554688  0.        ]","[0.02734375 0.02148438 0.06445312 0.09960938 0.0625     0.76757812
 0.75390625 0.72851562 2.49414062 2.52929688 2.57226562 2.6171875
 2.66015625 6.20898438 6.26757812 6.29101562 8.0546875  8.2421875
 8.33007812 8.38867188 8.35351562 8.375      4.6484375  6.58007812
 7.33398438 0.02929688 0.03515625 0.06445312 0.10742188 0.03125
 0.72851562 0.70117188 0.70703125 2.4375     2.50195312 2.546875
 2.59960938 2.65234375 6.09570312 6.16015625 6.24414062 6.30664062
 7.921875   8.29492188 8.35546875 8.34570312 8.25585938 8.26171875
 5.34179688 6.921875   7.546875   2.43554688 2.48632812 2.55078125
 8.30664062 8.3515625  8.25585938 8.140625   8.11328125 5.8984375
 7.27929688 7.76953125 2.4140625  7.91015625]","[-0.02148438 -0.06640625  0.08203125  0.08789062  0.0234375   0.04882812
  0.12109375  0.18164062  0.33398438  0.33007812  0.28710938  0.18164062
  0.02148438  0.52539062  0.15820312 -0.44921875  1.75390625 -1.15429688
 -0.68164062  0.3359375   1.1484375   1.29296875 -6.6171875  -4.76171875
 -3.57226562 -0.01953125 -0.06054688  0.08398438  0.08203125  0.03515625
  0.10351562  0.1875      0.25195312  0.49023438  0.50195312  0.46289062
  0.35742188  0.1953125   0.93359375  0.93554688  0.5625     -0.06054688
  2.27929688 -0.62890625 -0.16601562  0.95117188  1.72070312  1.88867188
 -6.0703125  -4.25       -3.09570312  0.66015625  0.60351562  0.46875
 -0.12109375  0.29101562  1.54882812  2.21484375  2.44921875 -5.53125
 -3.78710938 -2.74804688  0.84570312  3.04492188]"
2,"[-0.01367188 -0.03125     0.046875    0.0703125  -0.17773438 -0.76171875
 -0.7890625  -0.8515625  -0.828125   -0.83984375 -0.8515625  -0.86328125
 -0.875      -0.97460938 -0.78515625 -0.7890625  -0.79492188  0.2578125
 -0.25976562 -0.26171875  0.          0.26367188  0.265625    2.66015625
  2.671875    2.68359375 -0.01367188 -0.03125     0.04296875  0.06640625
 -0.18359375 -0.76171875 -0.82226562 -0.8515625  -0.828125   -0.83984375
 -0.8515625  -0.86328125 -0.875      -0.97460938 -0.78515625 -0.7890625
 -0.79492188  0.2578125  -0.25976562 -0.26171875  0.          0.26367188
  0.          2.66015625  2.671875    2.68359375 -0.92382812 -0.93554688
 -0.86328125 -0.51953125 -0.26171875  0.          0.          2.39453125
  2.40429688  2.41601562 -0.8515625   0.        ]","[0.02734375 0.02148438 0.06445312 0.09960938 0.06054688 0.73632812
 0.75390625 0.73046875 2.4921875  2.52929688 2.5703125  2.6171875
 2.65820312 6.13867188 6.20703125 6.265625   6.28710938 8.04101562
 8.24414062 8.33203125 8.38476562 8.34765625 8.33398438 4.62695312
 6.57617188 7.3828125  0.02929688 0.03515625 0.06445312 0.10351562
 0.03125    0.72851562 0.70117188 0.7109375  2.46289062 2.5
 2.54492188 2.59570312 2.6484375  6.078125   6.15429688 6.2421875
 6.30664062 7.90234375 8.29882812 8.35546875 8.34179688 8.24804688
 8.25585938 5.3203125  6.91601562 7.59570312 2.44140625 2.484375
 2.54882812 8.30664062 8.34765625 8.140625   8.07226562 5.79882812
 7.19140625 7.90234375 2.56445312 8.4296875 ]","[-0.02148438 -0.06640625  0.08203125  0.08984375  0.02734375  0.0390625
  0.1171875   0.17382812  0.34179688  0.33398438  0.29296875  0.1953125
  0.05859375  0.58203125  0.55664062  0.1640625  -0.48046875  1.81835938
 -1.12304688 -0.64453125  0.4921875   1.19140625  1.52148438 -6.63085938
 -4.765625   -3.47265625 -0.01953125 -0.06054688  0.08203125  0.08984375
  0.03515625  0.10742188  0.18359375  0.24414062  0.51367188  0.5078125
  0.46875     0.37695312  0.2421875   1.04101562  0.97460938  0.58398438
 -0.06835938  2.34765625 -0.58007812 -0.13085938  0.98632812  1.75390625
  1.91210938 -6.08984375 -4.2578125  -2.97851562  0.63671875  0.60546875
  0.62109375 -0.01367188  0.3984375   2.21484375  2.58398438 -5.75390625
 -3.94921875 -2.34179688 -0.34570312 -0.875     ]"
3,"[-0.01367188 -0.03125     0.046875    0.0703125  -0.17773438 -0.76171875
 -0.7890625  -0.8515625  -0.828125   -0.92382812 -0.8515625  -0.86328125
 -0.78710938 -0.78515625 -0.7890625  -0.79492188  0.2578125  -0.25976562
  0.          0.          0.26367188  0.265625    2.66015625  2.671875
  2.68359375 -0.01367188 -0.03125     0.04296875  0.06054688 -0.18359375
 -0.76171875 -0.82226562 -0.8515625  -0.91015625 -0.83984375 -0.8515625
 -0.86328125 -0.875      -0.98046875 -0.7890625  -0.79492188  0.
 -0.25976562 -0.26171875  0.          0.26367188  0.          2.66015625
  2.40429688  2.41601562 -0.92382812 -0.93554688 -0.94921875 -0.25976562
 -0.26171875  0.          0.          0.          2.66015625  2.40429688
 -0.93554688  0.265625    2.66015625 -0.83984375]","[0.02734375 0.02148438 0.06445312 0.09960938 0.06054688 0.73632812
 0.75390625 0.73046875 2.4921875  2.50195312 2.5703125  2.61523438
 2.68554688 6.20898438 6.26757812 6.2890625  8.04492188 8.24414062
 8.33203125 8.38476562 8.34960938 8.33789062 4.578125   6.5546875
 7.40820312 0.02929688 0.03515625 0.06445312 0.11523438 0.03125
 0.72851562 0.703125   0.7109375  2.43359375 2.5        2.54492188
 2.59570312 2.64648438 6.140625   6.24414062 6.30664062 7.91992188
 8.29882812 8.35546875 8.33984375 8.25195312 8.26367188 5.28125
 6.89453125 7.69921875 2.4296875  2.48046875 2.52734375 8.31640625
 8.33789062 8.30273438 8.16992188 8.09960938 5.76367188 7.21875
 2.41796875 8.46289062 0.         2.55078125]","[-0.02148438 -0.06640625  0.08203125  0.08984375  0.02539062  0.03320312
  0.11328125  0.171875    0.34179688  0.3203125   0.29296875  0.1953125
  0.08398438  0.53125     0.15234375 -0.47265625  1.796875   -1.1171875
 -0.70703125  0.48632812  1.1796875   1.4921875  -6.6640625  -4.796875
 -3.41601562 -0.01953125 -0.06054688  0.08203125  0.07617188  0.03515625
  0.1015625   0.18164062  0.24023438  0.5078125   0.5078125   0.46875
  0.37695312  0.25976562  0.875       0.55078125 -0.04882812  2.30078125
 -0.57421875 -0.14257812  0.98828125  1.73632812  1.87890625 -6.12304688
 -4.44726562 -2.93945312  0.68164062  0.625       0.58007812  0.1953125
  0.57617188  1.2734375   2.109375    2.4921875  -5.671875   -3.90039062
  0.83203125 -0.36328125  8.3203125   0.        ]"
4,"[-0.01367188 -0.03125     0.046875    0.0703125  -0.17773438  0.70898438
 -0.72851562 -0.7890625  -0.8515625  -0.828125   -0.92382812 -0.8515625
 -0.86328125 -0.875      -0.78125    -0.78515625 -0.7890625  -0.79492188
  0.         -0.25976562  0.          0.          0.26367188  0.265625
  2.66015625  2.671875    2.68359375 -0.01367188 -0.03125     0.04296875
  0.06640625 -0.18359375 -0.76171875 -0.82226562 -0.8515625  -0.91015625
 -0.83984375 -0.8515625  -0.86328125 -0.875      -0.97460938 -0.98046875
 -0.7890625  -0.79492188  0.2578125  -0.25976562 -0.26171875  0.
  0.          0.          2.66015625  2.40429688  2.41601562 -0.92382812
 -0.93554688 -0.94921875 -0.25976562 -0.26171875  0.          0.
  0.          2.66015625  2.40429688  0.        ]","[0.02734375 0.02148438 0.06445312 0.09960938 0.06054688 0.49609375
 0.76757812 0.75390625 0.73046875 2.4921875  2.50195312 2.5703125
 2.6171875  2.65820312 6.15625    6.20703125 6.265625   6.2890625
 8.05078125 8.24414062 8.33203125 8.38476562 8.34960938 8.3359375
 4.61328125 6.57421875 7.38671875 0.02929688 0.03515625 0.06445312
 0.10546875 0.02734375 0.72851562 0.70117188 0.7109375  2.43554688
 2.5        2.54492188 2.59765625 2.65039062 6.08398438 6.13671875
 6.2421875  6.30664062 7.91210938 8.29882812 8.35546875 8.33984375
 8.2734375  8.26171875 5.30664062 6.8984375  7.67773438 2.4296875
 2.48242188 2.53710938 8.31835938 8.34960938 8.26171875 8.14648438
 8.11132812 5.91796875 7.16210938 7.95507812]","[-0.02148438 -0.06445312  0.08203125  0.08789062  0.02539062  0.2734375
  0.04882812  0.11523438  0.17382812  0.33789062  0.3203125   0.29101562
  0.19140625  0.046875    0.68359375  0.546875    0.1640625  -0.4765625
  1.79101562 -1.11523438 -0.6953125   0.48632812  1.1796875   1.5
 -6.640625   -4.76953125 -3.46289062 -0.01953125 -0.06054688  0.08398438
  0.0859375   0.0390625   0.109375    0.18554688  0.24414062  0.5
  0.50585938  0.46679688  0.36914062  0.23046875  1.00585938  0.90429688
  0.57421875 -0.07617188  2.31640625 -0.58203125 -0.13476562  0.99023438
  1.65625     1.89257812 -6.1015625  -4.44335938 -2.99609375  0.67773438
  0.61523438  0.53320312 -0.04882812  0.37304688  1.51171875  2.19140625
  2.453125   -5.50976562 -4.00390625  2.921875  ]"
5,"[-0.01367188 -0.03125    -0.05273438  0.0703125  -0.17773438 -0.76171875
 -0.7890625  -0.8515625  -0.91015625 -0.83984375 -0.8515625  -0.86328125
 -0.875      -0.78515625 -0.7890625  -0.79492188  0.2578125  -0.25976562
  0.          0.          0.          0.          2.66015625  2.671875
  2.68359375 -0.01367188 -0.03125     0.04296875  0.06640625 -0.17773438
 -0.76171875 -0.82226562 -0.8515625  -0.828125   -0.83984375 -0.8515625
 -0.86328125 -0.875      -0.78515625 -0.7890625  -0.79492188  0.2578125
 -0.25976562 -0.26171875  0.          0.26367188  0.          2.66015625
  2.671875    2.68359375 -0.92382812 -0.8515625  -0.86328125 -0.51953125
  0.          0.          0.          0.          0.          2.40429688
  2.41601562  0.         -0.765625    0.265625  ]","[0.02734375 0.02148438 0.02539062 0.09960938 0.06054688 0.73632812
 0.75390625 0.73046875 2.46484375 2.52929688 2.5703125  2.61523438
 2.65820312 6.20507812 6.265625   6.2890625  8.04296875 8.2421875
 8.33007812 8.38476562 8.36132812 8.37109375 4.62890625 6.5703125
 7.390625   0.02929688 0.03515625 0.06445312 0.10546875 0.0546875
 0.72851562 0.703125   0.7109375  2.46484375 2.5        2.54492188
 2.59570312 2.6484375  6.15625    6.24414062 6.30664062 7.90625
 8.296875   8.35546875 8.33789062 8.24414062 8.25585938 5.3359375
 6.91796875 7.59570312 2.43359375 2.5078125  2.55078125 8.30664062
 8.35351562 8.23632812 8.05273438 8.05664062 7.94140625 7.25195312
 7.765625   8.00976562 2.61132812 8.46875   ]","[-0.02148438 -0.06445312  0.09765625  0.08789062  0.02734375  0.03515625
  0.1171875   0.17382812  0.32617188  0.3359375   0.29882812  0.20507812
  0.06445312  0.56054688  0.16796875 -0.47070312  1.8046875  -1.13671875
 -0.71289062  0.49804688  1.12890625  1.32617188 -6.62890625 -4.7734375
 -3.45507812 -0.01953125 -0.06054688  0.08398438  0.0859375   0.03515625
  0.1015625   0.18359375  0.2421875   0.5078125   0.5078125   0.47265625
  0.38085938  0.25        0.96679688  0.56445312 -0.08203125  2.33203125
 -0.59960938 -0.1484375   1.01953125  1.77734375  1.91601562 -6.07617188
 -4.25585938 -2.97851562  0.66210938  0.640625    0.61328125 -0.11328125
  0.3671875   1.64257812  2.51953125  2.63085938  3.06445312 -3.83984375
 -2.76171875  2.77148438 -0.11914062 -0.19921875]"
6,"[-0.01367188 -0.03125     0.046875    0.0703125  -0.17773438 -0.76171875
 -0.7890625  -0.8515625  -0.828125   -0.83984375 -0.8515625  -0.77734375
 -0.875      -0.97460938 -0.78515625 -0.7890625  -0.79492188  0.2578125
 -0.25976562  0.          0.          0.26367188  0.265625    2.66015625
  2.671875    2.41601562 -0.01367188 -0.03125     0.04296875  0.06640625
 -0.18359375 -0.76171875 -0.7890625  -0.8515625  -0.828125   -0.92382812
 -0.8515625  -0.86328125 -0.875      -0.97460938 -0.78515625 -0.98632812
 -0.79492188  0.2578125  -0.25976562 -0.26171875  0.26171875  0.26367188
  0.          2.66015625  2.671875    2.41601562 -0.92382812 -0.8515625
 -0.94921875 -0.78125    -0.5234375   0.          2.66015625 -0.765625
  0.265625   -0.83984375 -0.765625   -0.86328125]","[0.02734375 0.02148438 0.06445312 0.09960938 0.06054688 0.734375
 0.75390625 0.73046875 2.49023438 2.52734375 2.5703125  2.640625
 2.65820312 6.1328125  6.203125   6.265625   6.29296875 8.03125
 8.25585938 8.34179688 8.37695312 8.33789062 8.32617188 4.61328125
 6.57421875 7.51953125 0.02929688 0.03515625 0.06445312 0.10351562
 0.03320312 0.7265625  0.74023438 0.7109375  2.46289062 2.47070312
 2.54296875 2.59570312 2.64648438 6.07421875 6.15039062 6.21484375
 6.30664062 7.89257812 8.3046875  8.35742188 8.33789062 8.234375
 8.24609375 5.30273438 6.9140625  7.71679688 2.44726562 2.51171875
 2.53515625 8.28515625 8.33203125 8.12109375 5.79492188 2.61328125
 8.453125   2.55078125 2.61328125 2.6171875 ]","[-2.14843750e-02 -6.64062500e-02  8.20312500e-02  8.98437500e-02
  2.34375000e-02  5.07812500e-02  1.17187500e-01  1.71875000e-01
  3.53515625e-01  3.45703125e-01  3.06640625e-01  2.22656250e-01
  8.39843750e-02  6.44531250e-01  5.87890625e-01  1.89453125e-01
 -4.16015625e-01  1.85546875e+00 -1.03125000e+00 -5.82031250e-01
  6.05468750e-01  1.25976562e+00  1.56250000e+00 -6.64062500e+00
 -4.76953125e+00 -3.37304688e+00 -1.95312500e-02 -6.05468750e-02
  8.20312500e-02  8.78906250e-02  3.32031250e-02  1.21093750e-01
  1.85546875e-01  2.42187500e-01  5.11718750e-01  5.03906250e-01
  4.78515625e-01  3.84765625e-01  2.51953125e-01  1.05468750e+00
  1.00195312e+00  5.76171875e-01 -5.85937500e-03  2.37890625e+00
 -5.00000000e-01 -1.75781250e-02  9.80468750e-01  1.82031250e+00
  1.95703125e+00 -6.10546875e+00 -4.26171875e+00 -2.89648438e+00
  6.11328125e-01  6.19140625e-01  5.50781250e-01 -1.52343750e-01
  4.55078125e-01  2.42578125e+00 -5.63867188e+00 -7.42187500e-02
 -5.44921875e-01 -3.12500000e-02 -4.88281250e-02 -1.73828125e-01]"
7,"[-0.01367188 -0.03125    -0.05273438  0.0703125  -0.17773438 -0.76171875
 -0.7890625  -0.8515625  -0.828125   -0.83984375 -0.8515625  -0.86328125
 -0.78710938 -0.78125    -0.78515625 -0.7890625  -0.79492188  0.2578125
 -0.25976562 -0.26171875  0.26171875  0.26367188  0.265625    2.66015625
  2.671875    2.68359375 -0.01367188 -0.03125     0.04296875  0.06640625
 -0.18359375 -0.76171875 -0.82226562 -0.8515625  -0.91015625 -0.83984375
 -0.8515625  -0.86328125 -0.875      -0.97460938 -0.78515625 -0.98632812
 -0.79492188  0.         -0.25976562 -0.26171875  0.          0.26367188
  0.265625    2.66015625  2.40429688  2.41601562 -0.92382812 -0.93554688
 -0.94921875 -0.51953125  0.          0.          0.          0.
  2.66015625  2.40429688  2.41601562  0.        ]","[0.02734375 0.02148438 0.02734375 0.09960938 0.06054688 0.734375
 0.75390625 0.72851562 2.48828125 2.52734375 2.5703125  2.61328125
 2.68164062 6.14453125 6.20507812 6.26757812 6.28710938 8.02929688
 8.25976562 8.34179688 8.37890625 8.34179688 8.33984375 4.39257812
 6.453125   7.50390625 0.02929688 0.03515625 0.06445312 0.10546875
 0.03125    0.7265625  0.70117188 0.70703125 2.42773438 2.49804688
 2.54296875 2.59179688 2.63867188 6.06445312 6.15234375 6.21875
 6.3046875  7.89257812 8.30664062 8.35742188 8.32226562 8.24023438
 8.2109375  5.12890625 6.76953125 7.75195312 2.4296875  2.47851562
 2.53125    8.30664062 8.35546875 8.26171875 8.1484375  8.09960938
 5.85742188 7.20117188 7.98046875 7.86914062]","[-0.02148438 -0.06640625  0.09570312  0.08789062  0.02734375  0.046875
  0.1171875   0.18164062  0.37109375  0.34960938  0.30664062  0.22265625
  0.16992188  0.78125     0.578125    0.16015625 -0.48632812  1.86523438
 -0.98828125 -0.515625    0.51367188  1.24023438  1.484375   -6.7890625
 -4.93359375 -3.203125   -0.01953125 -0.06054688  0.08203125  0.0859375
  0.03515625  0.12109375  0.1875      0.25390625  0.53710938  0.52539062
  0.48242188  0.40234375  0.33398438  1.109375    0.9921875   0.5234375
 -0.09375     2.390625   -0.4609375  -0.01171875  1.13671875  1.79101562
  2.078125   -6.25       -4.63671875 -2.79492188  0.6796875   0.63476562
  0.56445312  0.          0.28515625  1.515625    2.18945312  2.49414062
 -5.57617188 -3.93164062 -2.0546875   3.14453125]"
8,"[-0.01367188 -0.03125     0.046875    0.0703125  -0.17773438 -0.72851562
 -0.7890625  -0.8515625  -0.828125   -0.83984375 -0.8515625  -0.86328125
 -0.78710938 -0.78515625 -0.7890625  -0.79492188  0.2578125  -0.25976562
  0.          0.          0.26367188  0.265625    2.66015625  2.671875
  2.68359375 -0.01367188 -0.03125     0.04296875  0.06640625 -0.18359375
 -0.76171875 -0.82226562 -0.8515625  -0.828125   -0.83984375 -0.8515625
 -0.86328125 -0.875      -0.98046875 -0.7890625  -0.79492188  0.2578125
 -0.25976562 -0.26171875  0.          0.26367188  0.          2.66015625
  2.671875    2.41601562 -0.92382812 -0.93554688 -0.94921875 -0.25976562
 -0.26171875  0.          0.          0.          2.66015625  2.40429688
  2.41601562 -0.92382812 -0.93554688  0.        ]","[0.02734375 0.02148438 0.06445312 0.1015625  0.0625     0.76953125
 0.75585938 0.73046875 2.49414062 2.53320312 2.57421875 2.61914062
 2.6875     6.21289062 6.26757812 6.28320312 8.05078125 8.23632812
 8.32421875 8.38867188 8.36132812 8.35546875 4.46875    6.4921875
 7.36914062 0.02929688 0.03515625 0.06445312 0.10351562 0.03320312
 0.73242188 0.70507812 0.7109375  2.46679688 2.50585938 2.54882812
 2.6015625  2.65429688 6.1484375  6.24804688 6.3046875  7.91992188
 8.29492188 8.35351562 8.34765625 8.26757812 8.28710938 5.19335938
 6.86132812 7.66601562 2.43945312 2.49023438 2.54296875 8.31640625
 8.35351562 8.2734375  8.1484375  8.12695312 5.76953125 7.2109375
 7.88085938 2.39648438 2.43164062 8.13476562]","[-0.02148438 -0.06640625  0.08203125  0.08789062  0.0234375   0.00976562
  0.10351562  0.171875    0.32226562  0.3125      0.26757812  0.16210938
  0.015625    0.47851562  0.109375   -0.54101562  1.77734375 -1.16992188
 -0.78515625  0.41015625  1.09570312  1.390625   -6.74023438 -4.88085938
 -3.50195312 -0.01953125 -0.06054688  0.08398438  0.08789062  0.03320312
  0.08007812  0.171875    0.24023438  0.49023438  0.484375    0.44335938
  0.34179688  0.17382812  0.81835938  0.51367188 -0.1171875   2.28710938
 -0.64453125 -0.23828125  0.92382812  1.66210938  1.77539062 -6.19921875
 -4.34570312 -3.02539062  0.64453125  0.58789062  0.51367188 -0.18164062
  0.23632812  1.44921875  2.1875      2.40039062 -5.66601562 -3.9140625
 -2.41015625  0.7890625   0.79492188  2.23632812]"
9,"[-0.01367188 -0.03125     0.046875    0.06054688 -0.17773438  0.68164062
  0.73828125 -0.76171875 -0.7890625  -0.8515625  -0.828125   -0.83984375
 -0.765625   -0.86328125 -0.875      -0.78515625 -0.7890625  -0.79492188
  0.2578125  -0.25976562 -0.26171875  0.          0.26367188  0.
  2.66015625  2.671875    2.68359375 -0.01367188 -0.03125     0.04296875
  0.06054688 -0.18359375 -0.76171875 -0.82226562 -0.8515625  -0.828125
 -0.92382812 -0.8515625  -0.86328125 -0.875      -0.98046875 -0.7890625
 -0.79492188  0.2578125  -0.25976562 -0.26171875  0.          0.
  0.          2.66015625  2.671875    2.41601562 -0.92382812 -0.8515625
 -0.94921875 -0.25976562  0.          0.          0.          2.66015625
  2.40429688  2.41601562  0.         -0.8515625 ]","[0.02734375 0.02148438 0.06445312 0.12304688 0.0625     0.4921875
 0.50390625 0.73632812 0.75195312 0.7265625  2.49414062 2.53125
 2.59765625 2.61914062 2.66015625 6.20703125 6.265625   6.29101562
 8.05273438 8.24609375 8.33789062 8.38476562 8.35546875 8.37890625
 4.6640625  6.58789062 7.29882812 0.02929688 0.03515625 0.06445312
 0.1171875  0.03125    0.72851562 0.69921875 0.70507812 2.46484375
 2.47460938 2.54882812 2.60351562 2.65429688 6.13476562 6.24023438
 6.30664062 7.91601562 8.30078125 8.35742188 8.33984375 8.28125
 8.265625   5.33789062 6.91796875 7.61523438 2.4453125  2.5078125
 2.53515625 8.31445312 8.35742188 8.12695312 8.078125   5.84765625
 7.23046875 7.79296875 7.82226562 2.57226562]","[-0.02148438 -0.06640625  0.08203125  0.06445312  0.0234375   0.34570312
  0.30664062  0.04101562  0.125       0.19140625  0.328125    0.328125
  0.2890625   0.15234375 -0.02929688  0.55859375  0.17773438 -0.44921875
  1.76757812 -1.09570312 -0.57226562  0.48242188  1.140625    1.2734375
 -6.60546875 -4.75       -3.64257812 -0.01953125 -0.06054688  0.08398438
  0.07421875  0.03515625  0.109375    0.19335938  0.25976562  0.50195312
  0.48632812  0.45117188  0.33007812  0.15429688  0.921875    0.59960938
 -0.02929688  2.30078125 -0.55664062 -0.05859375  1.          1.609375
  1.875      -6.07421875 -4.25585938 -3.15429688  0.6171875   0.63671875
  0.546875   -0.26367188  0.22070312  2.265625    2.56054688 -5.5859375
 -3.88085938 -2.68164062  3.2578125  -0.28515625]"
