frame,x,y,z
0,"[-0.01367188 -0.03125    -0.05273438  0.05664062  0.87304688  0.89453125
  0.86523438  1.109375    1.1171875   1.125       1.13476562  0.76953125
  0.7734375   0.51757812  0.         -1.828125    3.41210938 -1.609375
 -0.01367188 -0.03125    -0.05273438  0.05273438  0.87304688  0.89453125
  0.86523438  1.109375    1.27734375  1.125       1.13476562  0.76953125
  0.7734375   0.77734375  0.          3.13476562  3.15039062 -1.609375
  0.87304688  0.79492188  1.1171875   0.515625    0.87304688  0.89453125
  0.91601562  1.1171875   1.28710938  0.7734375  -1.828125   -0.01367188
 -0.02929688 -0.05273438  0.05664062  0.87304688  0.89453125  0.91601562
  1.26757812  1.27734375  1.28710938  1.13476562  0.76953125  0.7734375
  0.77734375  0.25976562 -1.828125    3.41210938]","[0.02734375 0.02148438 0.01367188 0.12890625 1.2578125  1.27929688
 1.3359375  4.82617188 4.85742188 4.90234375 5.01367188 8.03125
 8.15039062 8.25390625 8.3125     5.7265625  3.95703125 8.41796875
 0.02929688 0.03515625 0.         0.12890625 1.234375   1.25390625
 1.3046875  4.74414062 4.74414062 4.82421875 4.9609375  7.90625
 8.06054688 8.125      8.3203125  5.27148438 4.70507812 8.359375
 1.21875    1.27734375 4.67578125 7.97460938 1.27929688 1.3046875
 1.328125   4.9609375  4.9609375  8.2109375  4.7890625  0.0234375
 0.015625   0.04296875 0.13476562 1.27148438 1.29882812 1.32226562
 4.8515625  4.88476562 4.92773438 5.04492188 8.11523438 8.19921875
 8.24609375 8.29882812 5.13867188 2.96289062]","[-0.0234375  -0.06640625  0.09960938  0.05273438  0.25390625  0.296875
  0.33984375  1.08789062  1.11328125  1.08398438  0.65820312  1.51953125
  0.99804688  0.52148438 -0.41601562 -5.8125     -6.57617188  0.5546875
 -0.01953125 -0.06054688  0.10742188  0.05859375  0.34765625  0.39453125
  0.44335938  1.40234375  1.39453125  1.38867188  0.98046875  2.07226562
  1.56640625  1.4296875   0.24804688 -5.68359375 -6.203125    1.13085938
  0.40039062  0.51367188  1.7265625   2.04101562  0.09179688  0.1484375
  0.21679688  0.484375    0.45703125 -0.02148438 -6.60546875 -0.02539062
 -0.06835938  0.08984375  0.04101562  0.16015625  0.19921875  0.24804688
  0.74804688  0.77148438  0.74023438  0.34765625  0.98242188  0.44140625
  0.20703125 -0.57226562 -6.33789062 -7.08007812]"
1,"[-0.015625   -0.03125    -0.05273438  0.05664062  0.87304688  0.89453125
  0.91601562  1.109375    1.1171875   1.125       1.13476562  0.76953125
  0.7734375   0.51757812  0.         -1.828125    3.15039062 -1.609375
 -0.01367188 -0.03125    -0.05273438  0.05664062  0.87304688  0.89453125
  0.86523438  1.109375    1.1171875   1.125       1.13476562  0.51367188
  0.7734375   0.77734375  0.25976562 -2.08984375  3.15039062 -1.609375
  0.82421875  0.84375     0.95703125  0.96484375  0.515625    0.87304688
  0.89453125  1.1171875  -0.01367188 -0.02929688 -0.05273438  0.05664062
  0.87304688  0.89453125  0.91601562  1.26757812  1.27734375  1.28710938
  1.13476562  0.76953125  0.7734375   0.77734375  0.25976562 -1.828125
  3.41210938 -1.609375   -0.03515625 -0.07421875]","[2.53906250e-02 2.14843750e-02 1.36718750e-02 1.28906250e-01
 1.25781250e+00 1.27929688e+00 1.30078125e+00 4.82812500e+00
 4.86132812e+00 4.90429688e+00 5.01562500e+00 8.03710938e+00
 8.15234375e+00 8.25390625e+00 8.31054688e+00 5.73046875e+00
 3.92968750e+00 8.41992188e+00 2.92968750e-02 3.32031250e-02
 0.00000000e+00 1.25000000e-01 1.23437500e+00 1.25390625e+00
 1.30664062e+00 4.75000000e+00 4.78125000e+00 4.82617188e+00
 4.96289062e+00 7.96875000e+00 8.06445312e+00 8.12890625e+00
 8.28906250e+00 5.90234375e+00 4.70117188e+00 8.36328125e+00
 1.22656250e+00 1.25390625e+00 4.68945312e+00 4.69921875e+00
 8.01171875e+00 1.28125000e+00 1.31054688e+00 4.96484375e+00
 2.34375000e-02 1.56250000e-02 4.29687500e-02 1.32812500e-01
 1.27343750e+00 1.29882812e+00 1.32421875e+00 4.85351562e+00
 4.88671875e+00 4.92773438e+00 5.04687500e+00 8.11718750e+00
 8.20117188e+00 8.24609375e+00 8.29687500e+00 5.13476562e+00
 2.96093750e+00 8.43554688e+00 3.90625000e-03 1.56250000e-02]","[-0.0234375  -0.06640625  0.09960938  0.05273438  0.25390625  0.29492188
  0.33984375  1.07421875  1.09960938  1.07421875  0.64453125  1.49023438
  0.98632812  0.50390625 -0.44921875 -5.80859375 -6.72265625  0.5234375
 -0.01953125 -0.06054688  0.10742188  0.0625      0.34960938  0.39453125
  0.43945312  1.38085938  1.40820312  1.3828125   0.97460938  1.90820312
  1.54101562  1.40234375  0.703125   -5.54101562 -6.20703125  1.1015625
  0.47070312  0.48828125  1.78515625  1.85742188  1.89257812  0.07617188
  0.08789062  0.42773438 -0.02539062 -0.06835938  0.08984375  0.04296875
  0.15820312  0.19726562  0.23828125  0.73632812  0.76171875  0.72851562
  0.34179688  0.953125    0.421875    0.1953125  -0.59960938 -6.33984375
 -7.08007812 -0.05273438  0.01171875  0.00976562]"
2,"[-0.01367188 -0.03125    -0.05273438  0.05664062  0.87304688  0.89453125
  0.91601562  1.26757812  1.1171875   1.28710938  1.13476562  0.76953125
  0.7734375   0.77734375  0.25976562 -1.828125    3.15039062 -1.609375
 -0.01367188 -0.03125    -0.05273438  0.05664062  0.87304688  0.89453125
  0.86523438  1.109375    1.1171875   1.125       1.13476562  0.51367188
  0.515625    0.51757812  0.         -1.828125    3.15039062 -1.609375
  0.82421875  0.84375     0.95703125  0.515625    0.921875    0.89453125
  1.1171875   1.03125    -0.01367188 -0.02929688 -0.05273438  0.05664062
  0.87304688  0.89453125  0.91601562  1.26757812  1.27734375  1.125
  1.13476562  0.76953125  0.7734375   0.77734375  0.25976562 -1.828125
  3.41210938 -1.609375   -0.03515625 -0.07421875]","[2.73437500e-02 2.14843750e-02 1.36718750e-02 1.30859375e-01
 1.25781250e+00 1.27929688e+00 1.30078125e+00 4.79492188e+00
 4.85937500e+00 4.87109375e+00 5.01562500e+00 8.03125000e+00
 8.15039062e+00 8.21093750e+00 8.31835938e+00 5.71289062e+00
 3.96875000e+00 8.41601562e+00 2.92968750e-02 3.32031250e-02
 0.00000000e+00 1.25000000e-01 1.23437500e+00 1.25390625e+00
 1.30664062e+00 4.75195312e+00 4.77929688e+00 4.82617188e+00
 4.96484375e+00 7.96289062e+00 8.11328125e+00 8.19335938e+00
 8.32031250e+00 6.20507812e+00 4.73046875e+00 8.35742188e+00
 1.24414062e+00 1.25195312e+00 4.71289062e+00 7.99414062e+00
 1.24609375e+00 1.31054688e+00 4.97070312e+00 8.18164062e+00
 2.34375000e-02 1.56250000e-02 4.29687500e-02 1.32812500e-01
 1.27343750e+00 1.29882812e+00 1.32421875e+00 4.85156250e+00
 4.88476562e+00 4.96093750e+00 5.04687500e+00 8.11718750e+00
 8.19921875e+00 8.24609375e+00 8.29882812e+00 5.10546875e+00
 2.98828125e+00 8.43554688e+00 3.90625000e-03 1.56250000e-02]","[-2.34375000e-02 -6.64062500e-02  9.96093750e-02  5.27343750e-02
  2.53906250e-01  2.96875000e-01  3.43750000e-01  1.05468750e+00
  1.10937500e+00  1.04687500e+00  6.42578125e-01  1.51757812e+00
  9.92187500e-01  8.00781250e-01  7.42187500e-02 -5.82421875e+00
 -6.69921875e+00  5.85937500e-01 -1.95312500e-02 -6.05468750e-02
  1.07421875e-01  6.25000000e-02  3.49609375e-01  3.94531250e-01
  4.39453125e-01  1.37695312e+00  1.41406250e+00  1.38671875e+00
  9.60937500e-01  1.93359375e+00  1.39453125e+00  1.11523438e+00
  2.36328125e-01 -5.29687500e+00 -6.18359375e+00  1.15429688e+00
  4.23828125e-01  4.94140625e-01  1.71875000e+00  1.96289062e+00
  6.25000000e-02  8.98437500e-02  3.71093750e-01  1.34765625e-01
 -2.53906250e-02 -6.83593750e-02  8.98437500e-02  4.29687500e-02
  1.58203125e-01  1.97265625e-01  2.40234375e-01  7.44140625e-01
  7.67578125e-01  7.69531250e-01  3.30078125e-01  9.62890625e-01
  4.41406250e-01  1.95312500e-01 -5.80078125e-01 -6.36328125e+00
 -7.06835938e+00 -5.85937500e-03  1.17187500e-02  9.76562500e-03]"
3,"[-0.01367188 -0.03125    -0.05273438  0.05664062  0.87304688  0.89453125
  0.91601562  1.26757812  1.1171875   1.125       1.13476562  0.76953125
  0.7734375   0.77734375  0.25976562 -1.828125    3.15039062 -1.87890625
 -0.01367188 -0.03125    -0.05273438  0.05273438  0.82421875  0.89453125
  0.86523438  1.109375    1.1171875   1.125       1.13476562  0.51367188
  0.7734375   0.51757812  0.         -1.828125    3.41210938 -1.87890625
  0.87304688  0.84375     0.8125      1.1171875   0.87304688  0.89453125
  1.27734375  0.7734375  -1.828125   -0.01367188 -0.02929688 -0.05273438
  0.06054688  0.87304688  0.94335938  0.91601562  1.26757812  1.1171875
  1.28710938  1.13476562  0.76953125  0.7734375   0.77734375  0.25976562
 -1.828125    3.41210938 -1.609375   -0.03515625]","[2.73437500e-02 2.14843750e-02 1.36718750e-02 1.30859375e-01
 1.25585938e+00 1.27929688e+00 1.30273438e+00 4.79296875e+00
 4.85937500e+00 4.90429688e+00 5.01562500e+00 8.03320312e+00
 8.15039062e+00 8.20898438e+00 8.31835938e+00 5.71289062e+00
 3.93945312e+00 8.36718750e+00 2.92968750e-02 3.32031250e-02
 0.00000000e+00 1.28906250e-01 1.26562500e+00 1.25390625e+00
 1.30664062e+00 4.74609375e+00 4.77734375e+00 4.82421875e+00
 4.96289062e+00 7.96093750e+00 8.06250000e+00 8.19335938e+00
 8.32031250e+00 6.21289062e+00 4.68750000e+00 8.31640625e+00
 1.20117188e+00 1.25781250e+00 1.31250000e+00 4.65039062e+00
 1.28320312e+00 1.31054688e+00 4.92968750e+00 8.21093750e+00
 4.43945312e+00 2.34375000e-02 1.56250000e-02 4.29687500e-02
 1.28906250e-01 1.27148438e+00 1.26367188e+00 1.32421875e+00
 4.85156250e+00 4.91796875e+00 4.92773438e+00 5.04687500e+00
 8.11523438e+00 8.19921875e+00 8.24609375e+00 8.29882812e+00
 5.10156250e+00 2.96093750e+00 8.43554688e+00 3.90625000e-03]","[-0.0234375  -0.06640625  0.09960938  0.05273438  0.25585938  0.29492188
  0.3359375   1.05664062  1.11132812  1.078125    0.65039062  1.51171875
  0.99609375  0.81445312  0.08398438 -5.82617188 -6.71484375  0.47851562
 -0.01953125 -0.06054688  0.10742188  0.06054688  0.35742188  0.39257812
  0.4375      1.39453125  1.421875    1.390625    0.97070312  1.94335938
  1.56054688  1.12304688  0.25       -5.2890625  -6.07617188  1.03320312
  0.45117188  0.47851562  0.51367188  1.79296875  0.0078125   0.08007812
  0.40429688  0.04882812 -6.84570312 -0.02539062 -0.06835938  0.08984375
  0.04882812  0.16015625  0.1953125   0.23242188  0.74609375  0.8046875
  0.73046875  0.33789062  0.97265625  0.4375      0.20117188 -0.578125
 -6.3671875  -7.08007812 -0.015625    0.01171875]"
4,"[-0.01367188 -0.03125    -0.05273438  0.05664062  0.87304688  0.89453125
  0.86523438  1.109375    1.27734375  1.125       1.13476562  0.76953125
  0.7734375   0.77734375  0.25976562 -1.828125    3.41210938 -1.609375
 -0.01367188 -0.03125    -0.05664062  0.05664062  0.87304688  0.84375
  0.91601562  1.26757812  1.1171875   1.125       1.13476562  0.76953125
  0.7734375   0.77734375  0.25976562 -1.828125    3.15039062 -1.87890625
  0.82421875  0.84375     0.95703125  0.515625    0.87304688  0.94335938
  1.1171875   0.7734375  -0.01367188 -0.02929688 -0.05273438  0.05664062
  0.87304688  0.89453125  0.91601562  1.26757812  1.27734375  1.125
  1.13476562  0.76953125  0.7734375   0.77734375  0.25976562 -1.56835938
  3.41210938 -1.609375   -0.03515625 -0.07421875]","[2.53906250e-02 2.14843750e-02 1.36718750e-02 1.28906250e-01
 1.25585938e+00 1.27929688e+00 1.33593750e+00 4.82812500e+00
 4.82617188e+00 4.90429688e+00 5.01757812e+00 8.03320312e+00
 8.15039062e+00 8.20898438e+00 8.31835938e+00 5.74804688e+00
 3.94726562e+00 8.41992188e+00 2.92968750e-02 3.32031250e-02
 0.00000000e+00 1.25000000e-01 1.23437500e+00 1.28710938e+00
 1.26953125e+00 4.71679688e+00 4.77734375e+00 4.82421875e+00
 4.96679688e+00 7.91210938e+00 8.06054688e+00 8.12500000e+00
 8.28515625e+00 6.24218750e+00 4.70312500e+00 8.32031250e+00
 1.22265625e+00 1.23828125e+00 4.76757812e+00 7.97656250e+00
 1.27929688e+00 1.27343750e+00 4.96289062e+00 8.20312500e+00
 2.34375000e-02 1.56250000e-02 4.29687500e-02 1.32812500e-01
 1.27148438e+00 1.29882812e+00 1.32421875e+00 4.85156250e+00
 4.88476562e+00 4.96289062e+00 5.04687500e+00 8.11914062e+00
 8.20117188e+00 8.24609375e+00 8.30078125e+00 5.57226562e+00
 2.95117188e+00 8.43554688e+00 3.90625000e-03 1.56250000e-02]","[-0.0234375  -0.06640625  0.09960938  0.0546875   0.25585938  0.296875
  0.3359375   1.078125    1.078125    1.07421875  0.64257812  1.50390625
  0.99609375  0.81640625  0.08984375 -5.79101562 -6.58203125  0.52734375
 -0.01953125 -0.06054688  0.10351562  0.0625      0.3515625   0.39453125
  0.44335938  1.35742188  1.41601562  1.38867188  0.95117188  2.0546875
  1.5625      1.4296875   0.75195312 -5.25390625 -6.20507812  0.99804688
  0.48242188  0.52734375  1.56054688  2.03125     0.1015625   0.125
  0.44921875 -0.34960938 -0.02539062 -0.06835938  0.08984375  0.04296875
  0.16210938  0.19726562  0.23828125  0.7421875   0.765625    0.765625
  0.34375     0.94140625  0.42773438  0.21484375 -0.55664062 -6.03320312
 -7.0859375  -0.06054688  0.01171875  0.00976562]"
5,"[-0.01367188 -0.03125    -0.05273438  0.05664062  0.87304688  0.84375
  0.91601562  1.26757812  1.1171875   1.125       1.13476562  0.76953125
  0.7734375   0.77734375  0.25976562 -1.828125    3.15039062 -1.87890625
 -0.01367188 -0.03125    -0.05664062  0.05273438  0.87304688  0.89453125
  0.86523438  1.109375    1.1171875   1.125       1.13476562  0.51367188
  0.515625    0.51757812  0.         -1.828125    3.41210938 -1.609375
  0.82421875  0.84375     0.95703125  0.515625   -2.08984375  0.921875
  0.89453125  1.27734375  0.7734375   3.13476562 -0.01367188 -0.02929688
 -0.05273438  0.06054688  0.87304688  0.89453125  0.91601562  1.26757812
  1.27734375  1.28710938  1.13476562  0.76953125  0.7734375   0.77734375
  0.25976562 -1.828125    3.41210938 -1.609375  ]","[0.02734375 0.02148438 0.01757812 0.12890625 1.2578125  1.3125
 1.30273438 4.79492188 4.85742188 4.90234375 5.01367188 8.03125
 8.15039062 8.20898438 8.31835938 5.74023438 3.93164062 8.37109375
 0.02929688 0.03320312 0.         0.12890625 1.234375   1.25390625
 1.30664062 4.75       4.77734375 4.82226562 4.96289062 7.95703125
 8.109375   8.18945312 8.3203125  6.23828125 4.6796875  8.3671875
 1.23828125 1.26367188 4.6640625  7.953125   6.3984375  1.24609375
 1.30859375 4.92578125 8.2109375  3.01171875 0.0234375  0.015625
 0.04296875 0.12890625 1.2734375  1.29882812 1.32421875 4.8515625
 4.88476562 4.92773438 5.04492188 8.11523438 8.19921875 8.24609375
 8.29882812 5.140625   2.94726562 8.43554688]","[-0.0234375  -0.06640625  0.09960938  0.05273438  0.25390625  0.296875
  0.33789062  1.05273438  1.11132812  1.08203125  0.66992188  1.51953125
  1.00195312  0.81835938  0.0859375  -5.796875   -6.72070312  0.40820312
 -0.01953125 -0.06054688  0.10351562  0.05859375  0.34960938  0.39257812
  0.43554688  1.38085938  1.41992188  1.39648438  0.9765625   1.95703125
  1.41601562  1.140625    0.25585938 -5.25976562 -6.08203125  1.07226562
  0.44335938  0.46289062  1.84765625  2.125      -4.9609375   0.08007812
  0.11914062  0.43554688 -0.13671875 -7.14257812 -0.02539062 -0.06835938
  0.08984375  0.04882812  0.16015625  0.1953125   0.234375    0.75
  0.77148438  0.734375    0.36132812  0.97851562  0.43554688  0.20898438
 -0.58203125 -6.33398438 -7.0859375  -0.05078125]"
6,"[-0.01367188 -0.03125    -0.05273438  0.06054688  0.87304688  0.89453125
  0.86523438  1.109375    1.27734375  1.125       1.13476562 -2.0859375
  0.76953125  0.7734375   0.77734375  0.25976562 -1.828125    3.41210938
 -1.609375   -0.01367188 -0.03125    -0.05664062  0.05273438  0.87304688
  0.84375     0.86523438  1.26757812  1.1171875   1.125       1.13476562
  0.76953125  0.7734375   0.77734375  0.25976562 -1.828125    3.15039062
 -1.87890625  0.82421875  0.84375     1.1171875   0.515625   -1.87890625
  0.87304688  0.89453125  0.91601562  1.1171875   0.7734375  -0.01367188
 -0.02929688 -0.05273438  0.06054688  0.87304688  0.89453125  0.91601562
  1.26757812  1.27734375  1.125       1.13476562 -2.0859375   0.76953125
  0.7734375   0.77734375  0.25976562 -1.56835938]","[0.02734375 0.02148438 0.015625   0.125      1.2578125  1.28125
 1.3359375  4.828125   4.82617188 4.90429688 5.015625   5.02734375
 8.03320312 8.15039062 8.20898438 8.31835938 5.74414062 3.93359375
 8.41992188 0.02929688 0.03320312 0.         0.12890625 1.234375
 1.28710938 1.30664062 4.71875    4.77734375 4.82617188 4.96484375
 7.90429688 8.06054688 8.125      8.28515625 6.24414062 4.6796875
 8.32226562 1.22460938 1.25390625 4.70898438 8.00976562 8.25
 1.28320312 1.3125     1.33984375 4.96679688 8.20507812 0.0234375
 0.015625   0.04296875 0.12890625 1.2734375  1.29882812 1.32421875
 4.85351562 4.88476562 4.96289062 5.046875   5.09179688 8.11914062
 8.19921875 8.24609375 8.29882812 5.56054688]","[-0.0234375  -0.06640625  0.09960938  0.06054688  0.25195312  0.29492188
  0.3359375   1.08007812  1.07617188  1.07617188  0.65039062  1.14453125
  1.51171875  1.00195312  0.81445312  0.078125   -5.79492188 -6.58984375
  0.50976562 -0.01953125 -0.06054688  0.10351562  0.05859375  0.34960938
  0.39453125  0.4375      1.35351562  1.41796875  1.38671875  0.96875
  2.08203125  1.56640625  1.42773438  0.74804688 -5.25195312 -6.22265625
  0.98046875  0.47460938  0.49023438  1.6328125   1.8984375   1.47460938
  0.02148438  0.07617188  0.11328125  0.41796875 -0.3125     -0.02539062
 -0.06835938  0.08984375  0.04882812  0.15625     0.1953125   0.23828125
  0.73828125  0.76757812  0.75976562  0.3359375   0.8046875   0.94726562
  0.43359375  0.19921875 -0.58203125 -6.04492188]"
7,"[-0.01367188 -0.03125    -0.05273438  0.05664062  0.87304688  0.89453125
  0.91601562  1.26757812  1.1171875   1.125       1.13476562  0.76953125
  0.7734375   0.77734375  0.25976562 -1.828125    3.15039062 -1.609375
 -0.01367188 -0.03125    -0.05664062  0.05273438  0.87304688  0.84375
  0.86523438  1.109375    1.1171875   1.125       1.13476562  0.76953125
  0.7734375   0.77734375  0.25976562 -1.828125    3.15039062 -1.87890625
  0.82421875  0.84375     0.95703125  1.125       0.515625    0.87304688
  0.89453125  1.1171875   1.03125    -0.01367188 -0.02929688 -0.05273438
  0.05664062  0.87304688  0.89453125  0.86523438  1.26757812  1.27734375
  1.125       1.13476562  0.76953125  0.7734375   0.77734375  0.25976562
 -1.828125    3.41210938 -1.609375   -0.03515625]","[2.73437500e-02 2.14843750e-02 1.56250000e-02 1.28906250e-01
 1.25585938e+00 1.27929688e+00 1.30078125e+00 4.79296875e+00
 4.85937500e+00 4.90429688e+00 5.01757812e+00 8.03515625e+00
 8.15039062e+00 8.20898438e+00 8.31835938e+00 5.73828125e+00
 3.92773438e+00 8.41992188e+00 2.92968750e-02 3.32031250e-02
 0.00000000e+00 1.28906250e-01 1.23437500e+00 1.28710938e+00
 1.30664062e+00 4.74609375e+00 4.77734375e+00 4.82617188e+00
 4.96679688e+00 7.91796875e+00 8.06250000e+00 8.12695312e+00
 8.28906250e+00 6.24023438e+00 4.69140625e+00 8.31835938e+00
 1.24804688e+00 1.25976562e+00 4.65625000e+00 4.69726562e+00
 8.01562500e+00 1.28125000e+00 1.30859375e+00 4.96289062e+00
 8.18359375e+00 2.34375000e-02 1.56250000e-02 4.29687500e-02
 1.34765625e-01 1.27148438e+00 1.29882812e+00 1.35742188e+00
 4.85156250e+00 4.88476562e+00 4.96093750e+00 5.04687500e+00
 8.11718750e+00 8.20117188e+00 8.24609375e+00 8.29882812e+00
 5.13281250e+00 2.92968750e+00 8.43554688e+00 3.90625000e-03]","[-0.0234375  -0.06640625  0.09960938  0.0546875   0.25585938  0.296875
  0.33984375  1.05664062  1.109375    1.07226562  0.63476562  1.49804688
  0.99414062  0.80664062  0.0703125  -5.80078125 -6.72265625  0.5234375
 -0.01953125 -0.06054688  0.10351562  0.06054688  0.34960938  0.39257812
  0.4375      1.39648438  1.41992188  1.38476562  0.95703125  2.03125
  1.55273438  1.4140625   0.71679688 -5.25585938 -6.21484375  1.01171875
  0.41015625  0.47460938  1.8671875   1.7734375   1.87109375  0.05078125
  0.11523438  0.44921875  0.03710938 -0.02539062 -0.06835938  0.08984375
  0.04101562  0.16015625  0.19726562  0.23632812  0.74609375  0.76953125
  0.76953125  0.3203125   0.95703125  0.42773438  0.19726562 -0.5859375
 -6.34179688 -7.09375    -0.04882812  0.01171875]"
8,"[-0.015625   -0.03125    -0.05273438  0.05664062  0.87304688  0.89453125
  0.91601562  1.26757812  1.1171875   1.125       1.13476562 -2.0859375
  0.76953125  0.7734375   0.77734375  0.25976562 -1.828125    3.15039062
 -1.87890625 -0.01367188 -0.03125    -0.05664062  0.05664062  0.87304688
  0.84375     0.86523438  1.109375    1.1171875   1.125       1.13476562
 -2.0859375   0.76953125  0.7734375   0.51757812  0.         -2.08984375
  3.15039062 -1.87890625  0.82421875  0.84375     0.86523438  0.95703125
  0.515625    0.51757812  3.13476562  0.87304688  0.89453125  1.27734375
  0.7734375   3.13476562 -0.01367188 -0.02929688 -0.05273438  0.06054688
  0.87304688  0.89453125  0.86523438  1.109375    1.27734375  1.125
  1.13476562  0.76953125  0.7734375   0.77734375]","[0.02539062 0.02148438 0.015625   0.12890625 1.25585938 1.27929688
 1.30273438 4.79492188 4.859375   4.90429688 5.01757812 5.03320312
 8.03515625 8.15039062 8.20898438 8.31835938 5.73828125 3.91992188
 8.37109375 0.02929688 0.03320312 0.         0.125      1.234375
 1.28710938 1.30664062 4.74804688 4.77929688 4.82617188 4.96484375
 4.9296875  7.9140625  8.0625     8.19335938 8.3203125  5.91015625
 4.68554688 8.32421875 1.24023438 1.24609375 1.27148438 4.70507812
 8.02148438 8.09375    5.72460938 1.28125    1.30859375 4.92578125
 8.2109375  3.328125   0.0234375  0.015625   0.04492188 0.12890625
 1.27148438 1.29882812 1.35742188 4.88671875 4.88671875 4.96289062
 5.04882812 8.1171875  8.20117188 8.24609375]","[-0.0234375  -0.06640625  0.09960938  0.0546875   0.25585938  0.29492188
  0.3359375   1.04882812  1.10351562  1.07226562  0.640625    1.11523438
  1.49804688  0.9921875   0.81054688  0.07421875 -5.80078125 -6.72851562
  0.38671875 -0.01953125 -0.06054688  0.10351562  0.06445312  0.3515625
  0.39453125  0.4375      1.390625    1.4140625   1.38671875  0.96679688
  1.5078125   2.04101562  1.55664062  1.12109375  0.234375   -5.53320312
 -6.21875     0.96875     0.43554688  0.50976562  0.53320312  1.74023438
  1.84765625  1.69921875 -5.2265625   0.0546875   0.11328125  0.4453125
 -0.02929688 -7.         -0.02539062 -0.06835938  0.08984375  0.05078125
  0.16210938  0.1953125   0.234375    0.76953125  0.765625    0.76171875
  0.3125      0.96484375  0.42578125  0.20898438]"
9,"[-0.01367188 -0.03125    -0.05273438  0.05664062  0.87304688  0.89453125
  0.91601562  1.109375    1.27734375  1.125       1.13476562  0.76953125
  0.7734375   0.77734375  0.25976562  3.13476562  3.41210938 -1.609375
 -0.01367188 -0.03125    -0.05664062  0.05273438  0.87304688  0.89453125
  0.86523438  1.109375    1.1171875   1.125       1.13476562  0.76953125
  0.7734375   0.77734375  0.         -1.828125    3.15039062 -1.609375
  0.87304688  0.84375     1.1171875   0.7734375   0.77734375  3.13476562
  0.921875    0.89453125  1.1171875   0.7734375  -0.01367188 -0.02929688
 -0.05273438  0.05664062  0.87304688  0.89453125  0.91601562  1.26757812
  1.27734375  1.28710938  1.13476562  0.76953125  1.03125     0.77734375
  0.25976562 -1.828125    3.41210938 -1.609375  ]","[0.02734375 0.02148438 0.01367188 0.12890625 1.25585938 1.27929688
 1.30078125 4.828125   4.828125   4.90625    5.01757812 8.03710938
 8.15039062 8.20898438 8.31835938 4.6328125  3.93164062 8.421875
 0.02929688 0.03320312 0.         0.12890625 1.234375   1.25390625
 1.3046875  4.74804688 4.77929688 4.82617188 4.96679688 7.91796875
 8.0625     8.125      8.3203125  6.25585938 4.6875     8.36914062
 1.19335938 1.25585938 4.69335938 7.96875    7.97851562 5.69921875
 1.24414062 1.30859375 4.95703125 8.20898438 0.0234375  0.015625
 0.04296875 0.13476562 1.27148438 1.29882812 1.32226562 4.85351562
 4.88671875 4.9296875  5.046875   8.11914062 8.16210938 8.24609375
 8.29882812 5.15429688 2.9140625  8.43554688]","[-0.0234375  -0.06640625  0.09960938  0.0546875   0.25585938  0.296875
  0.34375     1.07617188  1.07421875  1.0703125   0.63476562  1.49023438
  0.99414062  0.81054688  0.0625     -6.21484375 -6.58984375  0.48242188
 -0.01953125 -0.06054688  0.10351562  0.06054688  0.34960938  0.39453125
  0.44335938  1.38867188  1.41601562  1.3828125   0.95117188  2.02734375
  1.55859375  1.41992188  0.234375   -5.23828125 -6.21679688  1.06640625
  0.46875     0.48632812  1.67773438  1.98046875  2.09570312 -5.25390625
  0.09570312  0.11523438  0.51757812 -0.16601562 -0.02539062 -0.06835938
  0.08984375  0.04101562  0.16210938  0.20117188  0.2421875   0.74023438
  0.75976562  0.72070312  0.32617188  0.93554688  0.59375     0.1953125
 -0.578125   -6.32421875 -7.09960938 -0.09960938]"
