frame,x,y,z
0,"[-0.01367188 -0.02929688 -0.05273438  0.05664062 -0.5390625  -0.51953125
 -0.49609375 -0.51953125 -0.51757812 -0.56835938 -0.44726562 -0.45703125
 -0.46875    -0.33984375 -0.34570312 -0.26171875 -0.35546875 -0.359375
 -0.2578125   0.26171875  0.52539062  0.79492188  0.79882812 -0.01367188
 -0.03125    -0.05664062  0.05664062 -0.5390625  -0.54296875 -0.52148438
 -0.51953125 -0.54296875 -0.56835938 -0.44726562 -0.45703125 -0.46875
 -0.42578125 -0.25976562 -0.34960938 -0.35546875 -0.44921875 -0.38671875
  0.26171875  0.52539062  0.52929688  0.79882812 -0.49609375 -0.5078125
 -0.51953125 -0.34570312 -0.34960938 -0.44335938  0.26171875  0.26171875
  0.265625   -0.4375     -0.44335938 -0.25976562 -0.26171875 -0.35546875
 -0.44726562 -0.45703125 -0.46875    -0.25976562]","[0.02734375 0.03320312 0.02148438 0.13085938 0.42382812 0.50195312
 0.58203125 0.63867188 0.69921875 0.70703125 1.48828125 1.53710938
 1.59179688 2.66015625 2.69726562 2.75585938 2.80078125 2.85351562
 4.09570312 8.2578125  8.25976562 8.42382812 8.46289062 0.02929688
 0.03515625 0.         0.12695312 0.39453125 0.45507812 0.53710938
 0.62695312 0.67578125 0.70117188 1.46289062 1.515625   1.58007812
 2.60742188 2.671875   2.71289062 2.77734375 2.83789062 4.04101562
 8.16015625 8.15429688 8.45703125 8.47460938 1.41992188 1.47460938
 1.54882812 2.61523438 2.671875   2.74609375 8.03320312 8.02929688
 8.46289062 2.57617188 2.66601562 2.74609375 2.78710938 2.79882812
 1.51953125 1.56054688 1.59570312 2.74609375]","[-2.14843750e-02 -6.25000000e-02  9.76562500e-02  5.27343750e-02
  2.14843750e-01  2.22656250e-01  2.12890625e-01  1.23046875e-01
  2.14843750e-02  5.66406250e-02  3.33984375e-01  2.71484375e-01
  1.36718750e-01  4.78515625e-01  4.82421875e-01  4.21875000e-01
  2.81250000e-01 -1.95312500e-03  4.12109375e-01  1.28906250e+00
  1.42968750e+00 -4.94140625e-01 -4.41406250e-01 -1.95312500e-02
 -5.85937500e-02  1.03515625e-01  6.25000000e-02  2.67578125e-01
  2.63671875e-01  2.65625000e-01  1.67968750e-01  7.03125000e-02
  1.09375000e-01  4.31640625e-01  3.71093750e-01  2.38281250e-01
  6.66015625e-01  6.52343750e-01  5.93750000e-01  4.58984375e-01
  1.13281250e-01  7.20703125e-01  1.80468750e+00  1.94531250e+00
  6.05468750e-02  1.01562500e-01  5.09765625e-01  4.58984375e-01
  3.18359375e-01  8.14453125e-01  7.61718750e-01  5.56640625e-01
  2.30273438e+00  2.45312500e+00  3.65234375e-01  1.00390625e+00
  8.65234375e-01 -1.54296875e-01 -7.81250000e-02 -3.04687500e-01
  1.23046875e-01  6.05468750e-02 -9.17968750e-02  1.46484375e-01]"
1,"[-0.01367188 -0.02929688 -0.05273438  0.05664062 -0.5390625  -0.51953125
 -0.52148438 -0.51953125 -0.51757812 -0.56835938 -0.44726562 -0.45703125
 -0.46875    -0.33984375 -0.25976562 -0.34960938 -0.35546875 -0.44921875
 -0.2578125   0.26171875  0.52539062  0.52929688  0.79882812 -0.01367188
 -0.03125    -0.05664062  0.05664062 -0.51757812 -0.54296875 -0.52148438
 -0.51953125 -0.54296875 -0.56835938 -0.49609375 -0.5078125  -0.46875
 -0.33984375 -0.34570312 -0.34960938 -0.265625   -0.359375   -0.38671875
  0.26171875  0.26171875  0.52929688  0.79882812 -0.49609375 -0.5078125
 -0.51953125 -0.34570312 -0.4375     -0.35546875  0.26171875  0.26171875
  0.52929688 -0.4375     -0.26171875 -0.44726562 -0.40625    -0.46875
 -0.34570312 -0.26171875 -0.265625    0.26171875]","[0.02734375 0.03320312 0.02148438 0.13085938 0.421875   0.50195312
 0.55664062 0.63867188 0.69921875 0.70703125 1.48828125 1.53710938
 1.59179688 2.66015625 2.70703125 2.74609375 2.80078125 2.83789062
 4.08984375 8.2578125  8.25976562 8.44335938 8.46289062 0.02929688
 0.03515625 0.         0.125      0.41796875 0.44726562 0.53515625
 0.625      0.67578125 0.69921875 1.44726562 1.49804688 1.58007812
 2.625      2.66210938 2.71289062 2.78710938 2.84960938 4.03125
 8.16210938 8.1640625  8.45898438 8.47460938 1.40625    1.47265625
 1.54296875 2.60742188 2.65820312 2.74804688 8.0546875  8.00976562
 8.45117188 2.59765625 2.78710938 1.5234375  1.57421875 1.59375
 2.73828125 2.78710938 2.82421875 8.3515625 ]","[-0.02148438 -0.0625      0.09765625  0.05078125  0.21875     0.22460938
  0.22265625  0.12304688  0.0234375   0.06054688  0.33007812  0.27148438
  0.13867188  0.47460938  0.47851562  0.41796875  0.27734375 -0.08789062
  0.4609375   1.28320312  1.42382812 -0.48828125 -0.44921875 -0.01953125
 -0.05859375  0.10351562  0.0625      0.2734375   0.27734375  0.26757812
  0.17578125  0.07617188  0.11132812  0.43164062  0.37695312  0.24023438
  0.640625    0.65234375  0.59375     0.46484375  0.13867188  0.78125
  1.79882812  1.95507812  0.03125     0.07226562  0.546875    0.46875
  0.34960938  0.84179688  0.75976562  0.60742188  2.2265625   2.515625
  0.33007812  0.94921875 -0.06835938  0.046875    0.02539062 -0.10351562
  0.12109375  0.06640625 -0.0546875   0.30078125]"
2,"[-0.01367188 -0.02929688 -0.05273438  0.05664062 -0.5390625  -0.51953125
 -0.49609375 -0.51953125 -0.54296875 -0.56835938 -0.44726562 -0.45703125
 -0.46875    -0.33984375 -0.25976562 -0.34960938 -0.35546875 -0.44921875
 -0.2578125   0.26171875  0.52539062  0.52929688  0.79882812 -0.01367188
 -0.03125    -0.05664062  0.05664062 -0.51757812 -0.51953125 -0.52148438
 -0.51953125 -0.54296875 -0.56835938 -0.49609375 -0.5078125  -0.46875
 -0.33984375 -0.34570312 -0.34960938 -0.265625   -0.359375   -0.38671875
  0.26171875  0.26171875  0.52929688  0.79882812 -0.49609375 -0.5078125
 -0.51953125 -0.34570312 -0.4375     -0.35546875  0.26171875  0.26171875
  0.52929688 -0.43164062 -0.4375     -0.53125    -0.26171875 -0.44726562
 -0.40625    -0.34570312 -0.26171875 -0.265625  ]","[0.02734375 0.03320312 0.01953125 0.13085938 0.41992188 0.50195312
 0.58398438 0.63867188 0.67773438 0.70507812 1.48828125 1.53710938
 1.59179688 2.66015625 2.70703125 2.74609375 2.80273438 2.83789062
 4.08984375 8.2578125  8.25976562 8.44335938 8.46289062 0.02929688
 0.03515625 0.         0.12695312 0.42382812 0.484375   0.54101562
 0.62695312 0.67382812 0.69921875 1.44726562 1.5        1.58007812
 2.625      2.66015625 2.71289062 2.78710938 2.84960938 4.03125
 8.16210938 8.1640625  8.45898438 8.47460938 1.40820312 1.46679688
 1.52734375 2.6171875  2.65625    2.73242188 8.03515625 7.99414062
 8.42382812 2.53320312 2.59765625 2.68945312 2.78515625 1.51757812
 1.57226562 2.73632812 2.78710938 2.82421875]","[-0.02148438 -0.0625      0.09765625  0.05078125  0.22460938  0.22460938
  0.20898438  0.12109375  0.02929688  0.0625      0.33007812  0.26953125
  0.13671875  0.48046875  0.47851562  0.41796875  0.27539062 -0.09375
  0.46289062  1.28515625  1.42382812 -0.50195312 -0.4609375  -0.01953125
 -0.05859375  0.10351562  0.0625      0.265625    0.2578125   0.25976562
  0.171875    0.08007812  0.1171875   0.43164062  0.375       0.24023438
  0.64453125  0.65429688  0.59375     0.46484375  0.140625    0.78125
  1.79296875  1.95703125  0.03710938  0.08789062  0.54492188  0.48632812
  0.41015625  0.8125      0.76953125  0.6796875   2.29492188  2.56054688
  0.75195312  1.01171875  0.94921875  0.73046875 -0.10742188  0.140625
  0.09375     0.140625    0.06835938 -0.04492188]"
3,"[-0.01367188 -0.02929688 -0.05273438  0.06054688 -0.51757812 -0.51953125
 -0.52148438 -0.51953125 -0.51757812 -0.56835938 -0.44726562 -0.45703125
 -0.46875    -0.33984375 -0.34570312 -0.34960938 -0.35546875 -0.359375
 -0.2578125   0.5234375   0.52539062  0.52929688  0.79882812 -0.01367188
 -0.03125    -0.05664062  0.05664062 -0.5390625  -0.51953125 -0.52148438
 -0.51953125 -0.54296875 -0.56835938 -0.44726562 -0.45703125 -0.46875
 -0.33984375 -0.34570312 -0.34960938 -0.35546875 -0.44921875 -0.38671875
  0.26171875  0.52539062  0.52929688  0.79882812 -0.49609375 -0.5078125
 -0.51953125 -0.34570312 -0.34960938 -0.35546875  0.26171875  0.26171875
 -0.4375     -0.26171875 -0.49609375 -0.45703125 -0.46875    -0.25976562
 -0.26171875 -0.265625    0.5234375   0.78710938]","[0.02734375 0.03320312 0.02148438 0.125      0.44921875 0.5
 0.55859375 0.640625   0.69921875 0.70703125 1.49023438 1.53710938
 1.59179688 2.65820312 2.69726562 2.74609375 2.80078125 2.85351562
 4.09179688 8.24804688 8.25976562 8.4453125  8.46289062 0.02929688
 0.03515625 0.         0.125      0.40429688 0.47851562 0.53710938
 0.62890625 0.67578125 0.69921875 1.46484375 1.51757812 1.58007812
 2.62109375 2.66015625 2.71289062 2.77734375 2.83789062 4.03515625
 8.16015625 8.15429688 8.45703125 8.47460938 1.42773438 1.47851562
 1.55078125 2.60546875 2.66796875 2.73828125 8.03710938 8.0625
 2.60742188 2.78710938 1.5        1.55859375 1.59570312 2.74609375
 2.78710938 2.82226562 8.34179688 8.34765625]","[-0.02148438 -0.0625      0.09765625  0.05859375  0.22070312  0.2265625
  0.21875     0.11328125  0.02148438  0.05859375  0.328125    0.26953125
  0.13476562  0.48242188  0.48242188  0.41992188  0.27929688 -0.02539062
  0.4453125   1.26757812  1.4296875  -0.48046875 -0.44921875 -0.01953125
 -0.05859375  0.10351562  0.0625      0.25        0.26953125  0.26757812
  0.16015625  0.07421875  0.1171875   0.421875    0.3671875   0.234375
  0.65429688  0.65625     0.59570312  0.45703125  0.1015625   0.75976562
  1.80078125  1.9453125   0.06054688  0.08007812  0.49023438  0.44726562
  0.31054688  0.84570312  0.77539062  0.65429688  2.29296875  2.33984375
  0.921875   -0.03515625  0.1640625   0.07617188 -0.0703125   0.12304688
  0.05078125 -0.10742188  0.2578125   0.48632812]"
4,"[-0.01367188 -0.03125    -0.05273438  0.06054688 -0.5390625  -0.51953125
 -0.49609375 -0.51953125 -0.51757812 -0.56835938 -0.44726562 -0.45703125
 -0.46875    -0.33984375 -0.25976562 -0.34960938 -0.35546875 -0.359375
 -0.2578125   0.5234375   0.52539062  0.52929688  0.79882812 -0.01367188
 -0.03125    -0.05664062  0.05664062 -0.5390625  -0.54296875 -0.52148438
 -0.51953125 -0.54296875 -0.56835938 -0.49609375 -0.5078125  -0.46875
 -0.33984375 -0.34570312 -0.34960938 -0.35546875 -0.359375   -0.38671875
  0.26171875  0.52539062  0.79492188  0.79882812 -0.49609375 -0.45703125
 -0.51953125 -0.34570312 -0.34960938 -0.35546875  0.26171875  0.26171875
  0.52929688 -0.4375     -0.34570312 -0.26171875 -0.44726562 -0.45703125
 -0.46875    -0.25976562 -0.26171875 -0.265625  ]","[0.02734375 0.0234375  0.01953125 0.125      0.42382812 0.49804688
 0.58398438 0.64257812 0.69921875 0.70507812 1.49414062 1.5390625
 1.59179688 2.66210938 2.70703125 2.74609375 2.80078125 2.85351562
 4.0859375  8.24609375 8.25585938 8.44335938 8.46289062 0.02929688
 0.03515625 0.         0.125      0.39648438 0.4453125  0.53710938
 0.6328125  0.67382812 0.69726562 1.453125   1.5        1.58007812
 2.62890625 2.66210938 2.71289062 2.77734375 2.84960938 4.02539062
 8.15625    8.14648438 8.4375     8.47460938 1.41015625 1.48632812
 1.54492188 2.62304688 2.671875   2.75       8.02929688 8.01367188
 8.43945312 2.60742188 2.74023438 2.78515625 1.5234375  1.56054688
 1.59765625 2.74804688 2.78515625 2.82421875]","[-0.02148438 -0.06445312  0.09765625  0.06054688  0.21484375  0.23242188
  0.2109375   0.1015625   0.03320312  0.07226562  0.30664062  0.26367188
  0.13671875  0.46875     0.48046875  0.41992188  0.27929688 -0.03515625
  0.49023438  1.27734375  1.44921875 -0.50976562 -0.45507812 -0.01953125
 -0.05859375  0.10351562  0.06445312  0.26171875  0.27929688  0.26757812
  0.14453125  0.0859375   0.12890625  0.41015625  0.36914062  0.23632812
  0.63085938  0.65234375  0.59570312  0.45898438  0.14257812  0.80664062
  1.8203125   1.97460938  0.00585938  0.06054688  0.5390625   0.48046875
  0.33984375  0.79101562  0.7578125   0.60546875  2.3203125   2.49804688
  0.54882812  0.91992188 -0.06835938 -0.12304688  0.06054688  0.05273438
 -0.00585938  0.1171875   0.08398438 -0.0390625 ]"
5,"[-0.01367188 -0.02929688 -0.05273438  0.06054688 -0.5390625  -0.51953125
 -0.49609375 -0.51953125 -0.54296875 -0.56835938 -0.44726562 -0.45703125
 -0.46875    -0.33984375 -0.34570312 -0.34960938 -0.35546875 -0.359375
 -0.2578125   0.5234375   0.52539062  0.52929688  0.79882812 -0.01367188
 -0.03125    -0.05664062  0.05664062 -0.5390625  -0.54296875 -0.52148438
 -0.49414062 -0.54296875 -0.56835938 -0.49609375 -0.5078125  -0.51953125
 -0.33984375 -0.34570312 -0.34960938 -0.35546875 -0.44921875 -0.38671875
  0.26171875  0.52539062  0.52929688  0.53125    -0.49609375 -0.55859375
 -0.34570312 -0.34960938 -0.35546875  0.26171875  0.26171875 -0.4375
 -0.34570312 -0.34960938 -0.44726562 -0.45703125 -0.41601562 -0.25976562
 -0.26171875 -0.265625    0.5234375   0.52539062]","[0.02734375 0.03320312 0.02148438 0.12304688 0.41015625 0.4921875
 0.5859375  0.64453125 0.67773438 0.70507812 1.49609375 1.5390625
 1.59179688 2.66210938 2.69726562 2.74609375 2.80078125 2.8515625
 4.08203125 8.24609375 8.2578125  8.44726562 8.46484375 0.02929688
 0.03515625 0.         0.125      0.38476562 0.4375     0.54101562
 0.65820312 0.671875   0.6953125  1.45507812 1.5        1.56054688
 2.62695312 2.66210938 2.71289062 2.77734375 2.83984375 4.01757812
 8.15625    8.1484375  8.45703125 8.49414062 1.42382812 1.46484375
 2.59960938 2.6640625  2.7421875  8.08203125 8.01953125 2.61523438
 2.73632812 2.77539062 1.52148438 1.56054688 1.609375   2.74414062
 2.78515625 2.82421875 8.34179688 8.375     ]","[-0.02148438 -0.0625      0.09765625  0.06054688  0.24023438  0.24609375
  0.203125    0.0859375   0.03515625  0.07421875  0.29882812  0.265625
  0.14257812  0.46679688  0.48242188  0.41796875  0.27539062 -0.04492188
  0.52734375  1.28515625  1.43945312 -0.43554688 -0.41992188 -0.01953125
 -0.05859375  0.10351562  0.06445312  0.27734375  0.29296875  0.2578125
  0.12109375  0.09375     0.1328125   0.40039062  0.36914062  0.25390625
  0.63085938  0.65234375  0.59375     0.45507812  0.08007812  0.84960938
  1.81835938  1.96875     0.08984375  0.13671875  0.50195312  0.43554688
  0.86328125  0.78515625  0.63476562  2.12890625  2.48046875  0.89648438
 -0.140625   -0.12695312  0.10742188  0.0703125  -0.09960938  0.16796875
  0.08789062 -0.08203125  0.18945312  0.3515625 ]"
6,"[-0.01367188 -0.02929688 -0.05273438  0.05664062 -0.60351562 -0.5390625
 -0.56835938 -0.47265625 -0.49414062 -0.54296875 -0.49609375 -0.45703125
 -0.46875    -0.33984375 -0.34570312 -0.34960938 -0.35546875 -0.359375
 -0.38671875  0.26171875  0.52539062  0.26367188  0.52929688  0.79882812
 -0.01367188 -0.03125    -0.05664062  0.05664062 -0.5390625  -0.59179688
 -0.47265625 -0.54296875 -0.49609375 -0.5078125  -0.46875    -0.33984375
 -0.34570312 -0.34960938 -0.35546875 -0.359375   -0.38671875  0.5234375
  0.52539062  0.26367188  0.52929688  0.79882812 -0.34960938 -0.5078125
 -0.34570312 -0.26171875 -0.35546875  0.5234375   0.52539062 -0.44726562
 -0.45703125 -0.46875    -0.33984375 -0.25976562 -0.26171875 -0.35546875
 -0.26953125 -0.2578125   0.5234375   0.52539062]","[0.02734375 0.03320312 0.02148438 0.13085938 0.22265625 0.37890625
 0.35546875 0.62695312 0.66992188 0.67773438 1.47460938 1.53515625
 1.59179688 2.66015625 2.69726562 2.74609375 2.80078125 2.8515625
 4.06835938 8.24414062 8.25       8.40429688 8.45507812 8.4609375
 0.02929688 0.03515625 0.         0.125      0.32617188 0.23632812
 0.61914062 0.671875   1.44921875 1.49609375 1.578125   2.625
 2.66015625 2.71289062 2.77734375 2.84375    4.02734375 8.13476562
 8.13867188 8.34375    8.453125   8.47460938 2.765625   1.54492188
 2.73828125 2.78515625 2.80664062 8.34375    8.38085938 1.51953125
 1.55859375 1.59570312 2.69726562 2.74609375 2.78710938 2.81445312
 2.85351562 4.11523438 8.33984375 8.37109375]","[-0.02148438 -0.0625      0.09765625  0.05273438  0.015625    0.28710938
  0.35351562  0.12695312  0.015625    0.04882812  0.32617188  0.28125
  0.14453125  0.48046875  0.48828125  0.41992188  0.28710938  0.07421875
  0.54492188  1.36914062  1.48632812  0.69335938 -0.25195312 -0.4921875
 -0.01953125 -0.05859375  0.10351562  0.0625      0.34765625  0.40820312
  0.16210938  0.10546875  0.41992188  0.38476562  0.24609375  0.64257812
  0.66015625  0.59765625  0.46484375  0.234375    0.80273438  1.859375
  2.00390625  1.21679688  0.27734375  0.0390625  -0.265625   -0.00390625
 -0.0859375  -0.11328125 -0.2265625  -0.10351562 -0.20703125  0.12695312
  0.07421875 -0.06640625  0.1640625   0.14453125  0.06640625 -0.07226562
 -0.2265625   0.05273438  0.31054688  0.43945312]"
7,"[-0.01367188 -0.03125    -0.05273438  0.06054688 -0.53125    -0.5625
 -0.59179688 -0.49609375 -0.51953125 -0.54296875 -0.56835938 -0.49609375
 -0.5078125  -0.51953125 -0.33984375 -0.34570312 -0.34960938 -0.35546875
  0.71875    -0.51171875 -0.38671875  0.25976562  0.26171875  0.52539062
  0.52734375  0.52929688  0.79882812 -0.01367188 -0.03125    -0.05664062
  0.05664062 -0.5390625  -0.59179688 -0.49609375 -0.51953125 -0.54296875
 -0.49609375 -0.5078125  -0.51953125 -0.33984375 -0.34570312 -0.34960938
 -0.44335938  0.71875    -0.51171875 -0.515625    0.          0.5234375
  0.52539062  0.26367188  0.52929688  0.53125    -0.5078125  -0.34570312
 -0.34960938 -0.44335938  0.          0.         -0.34960938 -0.44726562
 -0.45703125 -0.25976562 -0.26171875 -0.35546875]","[0.02734375 0.0234375  0.01953125 0.125      0.34570312 0.41015625
 0.453125   0.61132812 0.64453125 0.66210938 0.68945312 1.47265625
 1.51757812 1.578125   2.65429688 2.69335938 2.7421875  2.796875
 2.73242188 3.91015625 3.92773438 8.1953125  8.22851562 8.24023438
 8.41796875 8.45703125 8.45898438 0.02929688 0.03515625 0.
 0.125      0.41796875 0.43359375 0.59960938 0.63671875 0.6484375
 1.44726562 1.49414062 1.56835938 2.61523438 2.65234375 2.70703125
 2.76171875 2.69726562 3.82421875 3.796875   8.08398438 8.11132812
 8.125      8.41015625 8.45117188 8.49609375 1.48632812 2.61328125
 2.66992188 2.70898438 7.95117188 7.9921875  2.76757812 1.52539062
 1.56054688 2.75       2.78710938 2.80664062]","[-2.14843750e-02 -6.44531250e-02  9.76562500e-02  6.05468750e-02
  2.46093750e-01  1.81640625e-01  1.34765625e-01  1.07421875e-01
  7.81250000e-02  1.50390625e-01  1.62109375e-01  3.32031250e-01
  2.91015625e-01  1.07421875e-01  5.07812500e-01  5.09765625e-01
  4.41406250e-01  3.16406250e-01  5.35156250e-01  1.07031250e+00
  1.19726562e+00  1.43164062e+00  1.45898438e+00  1.53515625e+00
  1.73828125e-01 -1.69921875e-01 -5.23437500e-01 -1.95312500e-02
 -5.85937500e-02  1.03515625e-01  6.25000000e-02  2.28515625e-01
  1.87500000e-01  1.62109375e-01  1.26953125e-01  2.05078125e-01
  4.29687500e-01  3.92578125e-01  2.07031250e-01  6.83593750e-01
  6.85546875e-01  6.19140625e-01  4.74609375e-01  6.87500000e-01
  1.34570312e+00  1.52343750e+00  1.98242188e+00  1.95703125e+00
  2.06640625e+00  6.26953125e-01  3.45703125e-01  3.12500000e-02
  4.21875000e-01  8.26171875e-01  7.65625000e-01  7.16796875e-01
  2.58984375e+00  2.58007812e+00 -2.36328125e-01  1.95312500e-03
 -6.64062500e-02 -9.76562500e-03 -8.00781250e-02 -2.20703125e-01]"
8,"[-0.01367188 -0.03125    -0.05273438  0.06054688 -0.55273438 -0.51757812
 -0.51953125 -0.52148438 -0.57226562 -0.51757812 -0.484375   -0.49609375
 -0.55859375 -0.625      -0.33984375 -0.34570312 -0.34960938 -0.44335938
  0.80859375  0.72851562  0.25976562  0.26171875  0.52539062  0.26367188
  0.52929688  0.53125    -0.01367188 -0.03125    -0.05664062  0.05664062
 -0.5390625  -0.54296875 -0.546875   -0.53320312 -0.49609375 -0.55859375
 -0.42578125 -0.34570312 -0.34960938 -0.35546875  0.71875     0.72851562
  0.          0.5234375   0.26171875  0.26367188  0.52929688  0.53125
 -0.546875   -0.609375   -0.33984375 -0.43164062 -0.4375     -0.44335938
  0.26171875  0.26171875  0.          0.265625   -0.34570312 -0.34960938
 -0.49609375 -0.5078125  -0.33984375 -0.25976562]","[0.02734375 0.0234375  0.01953125 0.125      0.35742188 0.46289062
 0.51757812 0.56835938 0.5625     0.65234375 1.43164062 1.47265625
 1.5        1.54296875 2.64453125 2.6875     2.74023438 2.7890625
 2.67382812 2.734375   8.19726562 8.234375   8.26757812 8.4296875
 8.45703125 8.48242188 0.02929688 0.03515625 0.         0.125
 0.41015625 0.47460938 0.52539062 1.40039062 1.453125   1.47851562
 2.58984375 2.64648438 2.70507812 2.77148438 2.66601562 2.6875
 8.09375    8.11914062 8.17578125 8.42578125 8.44726562 8.49609375
 1.35351562 1.40429688 2.5546875  2.58789062 2.65039062 2.73046875
 7.95117188 8.0078125  8.375      8.4140625  2.734375   2.76367188
 1.50585938 1.54492188 2.703125   2.75      ]","[-0.02148438 -0.06445312  0.09765625  0.06054688  0.171875    0.1875
  0.18359375  0.19140625  0.22265625  0.25585938  0.34765625  0.33398438
  0.2890625   0.01367188  0.55664062  0.53320312  0.45117188  0.28515625
  0.67773438  0.6953125   1.42382812  1.42578125  1.38671875 -0.19140625
 -0.12109375 -0.4609375  -0.01953125 -0.05859375  0.10351562  0.0625
  0.24023438  0.22851562  0.23632812  0.40234375  0.41210938  0.38085938
  0.73046875  0.70703125  0.63085938  0.49023438  0.8046875   0.85742188
  1.94335938  1.93164062  1.90820312  0.33203125  0.42578125  0.06640625
  0.62890625  0.55078125  0.87890625  0.86523438  0.78710938  0.63085938
  2.57226562  2.51953125  1.01953125  0.98242188 -0.19140625 -0.28710938
  0.10742188  0.046875   -0.00390625  0.03320312]"
9,"[-0.01367188 -0.03125    -0.05273438  0.05664062 -0.53125    -0.58398438
 -0.66210938 -0.49609375 -0.57226562 -0.5703125  -0.546875   -0.609375
 -0.33984375 -0.34570312 -0.34960938 -0.44335938  0.80859375  0.25976562
  0.26171875  0.52539062  0.26367188  0.52929688  0.53125     1.89453125
 -0.01367188 -0.03125    -0.05664062  0.05664062 -0.546875   -0.609375
 -0.42578125 -0.34570312 -0.34960938 -0.44335938  0.71875     0.25976562
  0.26171875  0.26171875  0.26367188  0.265625    0.53125     1.625
 -0.59570312 -0.42578125 -0.34570312 -0.4375     -0.53125     0.
  0.          0.26171875  0.26367188  0.265625   -0.546875   -0.33984375
 -0.34570312 -0.34960938  0.25976562  0.5234375   0.52539062  0.26367188
 -0.484375   -0.546875   -0.609375   -0.33984375]","[0.02734375 0.0234375  0.01953125 0.13085938 0.3984375  0.3671875
 0.         0.59960938 0.5546875  0.609375   1.43164062 1.46875
 2.640625   2.6875     2.74414062 2.79882812 2.6484375  8.17382812
 8.22460938 8.32617188 8.42382812 8.44726562 8.45898438 6.94726562
 0.02929688 0.03515625 0.         0.125      1.38671875 1.43554688
 2.5859375  2.64648438 2.70898438 2.77929688 2.60742188 8.05273438
 8.11132812 8.26367188 8.43164062 8.47070312 8.49023438 6.62890625
 1.33789062 2.50195312 2.5859375  2.65039062 2.7265625  8.
 8.03710938 8.19726562 8.40234375 8.4453125  1.49023438 2.703125
 2.74023438 2.77734375 8.31835938 8.34375    8.3515625  8.15039062
 1.45703125 1.47851562 1.50390625 2.69140625]","[-0.02148438 -0.06445312  0.09765625  0.05273438  0.1484375   0.20117188
  0.74023438  0.16210938  0.24023438  0.2421875   0.41992188  0.33984375
  0.58007812  0.5390625   0.43554688  0.16210938  0.77734375  1.55078125
  1.48242188  0.97851562 -0.39257812 -0.4296875  -0.7890625   4.81640625
 -0.01953125 -0.05859375  0.10351562  0.06445312  0.55078125  0.4609375
  0.74414062  0.7109375   0.61328125  0.359375    0.97265625  2.08789062
  2.00976562  1.47851562  0.14648438  0.10351562 -0.32226562  5.3359375
  0.6171875   0.9921875   0.90625     0.78710938  0.57617188  2.29492188
  2.30664062  1.80859375  0.70703125  0.64257812  0.06835938  0.0390625
  0.01953125 -0.0703125   0.07421875 -0.12695312 -0.71289062 -2.16210938
  0.21875     0.20117188  0.12304688  0.25390625]"
