frame,x,y,z
0,"[ 0.61523438  0.10546875  0.55273438  0.61523438  0.          0.046875
  0.         -0.45117188  0.29882812 -0.45703125 -0.43164062 -0.703125
 -0.234375   -0.2734375 ]","[0.         0.42578125 0.         0.         0.41601562 0.59960938
 0.578125   0.4609375  0.453125   0.38085938 0.48828125 0.
 0.56054688 0.6484375 ]","[-0.38085938 -0.3515625  -0.359375   -0.4296875  -0.56835938 -0.44726562
 -0.54882812  0.12304688  0.15039062  0.13476562  0.0859375  -0.48242188
  0.43945312  0.37304688]"
1,"[ 0.24804688 -0.43164062  0.36914062  0.28515625 -0.65625    -0.609375
 -0.10351562  0.         -0.609375   -0.45117188]","[0.54101562 0.43164062 0.36328125 0.50390625 0.         0.
 0.45117188 0.21875    0.         0.41992188]","[ 0.12890625  0.2421875   0.21875     0.1875     -0.46875    -0.40625
 -0.46679688 -0.51953125 -0.46875     0.22460938]"
2,"[-0.05273438  0.          0.         -0.1640625  -0.38671875 -0.40429688
 -0.41992188  0.0625    ]","[0.49414062 0.4921875  0.578125   0.10546875 0.30859375 0.24804688
 0.09570312 0.6328125 ]","[-0.26367188 -0.27148438 -0.19140625 -0.62695312  0.26953125  0.30273438
  0.43164062 -0.1640625 ]"
3,"[ 0.          0.34375     0.          0.          0.34375     0.328125
  0.30859375  0.29882812 -0.20898438  0.33398438  0.31640625 -0.19140625
 -0.2265625  -0.63671875]","[0.24804688 0.45898438 0.         0.16796875 0.48046875 0.5390625
 0.61523438 0.44726562 0.51367188 0.4296875  0.44140625 0.546875
 0.5390625  0.        ]","[-0.50585938  0.20703125  0.5625     -0.53710938  0.1484375   0.18359375
  0.14648438  0.16210938  0.25195312  0.140625    0.14453125  0.18945312
  0.296875   -0.45117188]"
4,[ 0.10546875  0.0703125  -0.09570312 -0.12304688 -0.12304688  0.09570312],[0.34179688 0.35351562 0.5703125  0.546875   0.54492188 0.25976562],[ 0.43554688  0.43164062 -0.19140625 -0.04882812 -0.0625      0.54296875]
5,[0.        0.4921875],[0.4375 0.    ],[-0.35351562 -0.421875  ]
6,[0.],[0.4921875],[-0.2734375]
7,[-0.0703125  -0.07617188],[0.4921875  0.50390625],[-0.26367188 -0.3359375 ]
8,[-0.11523438],[0.375],[-0.46679688]
9,[0.         0.         0.33398438],[0.42773438 0.4921875  0.31054688],[-0.36523438 -0.359375    0.33007812]
10,[ 0.55273438 -0.47265625 -0.45703125  0.59570312],[0.         0.44921875 0.37304688 0.        ],[-0.328125    0.0859375   0.15234375 -0.40039062]
11,"[ 0.          0.          0.         -0.47265625  0.58984375  0.26757812
 -0.08203125]","[0.44335938 0.38671875 0.41992188 0.41796875 0.         0.51171875
 0.43945312]","[-0.41796875 -0.40820312 -0.44140625  0.18164062 -0.34375     0.19726562
 -0.48046875]"
12,"[ 0.01757812  0.49609375  0.          0.51367188  0.53320312 -0.03515625
 -0.4765625   0.28125     0.28515625 -0.4921875 ]","[0.15625    0.         0.29492188 0.         0.         0.26953125
 0.19140625 0.48632812 0.53125    0.39453125]","[ 0.54101562 -0.47070312  0.48046875 -0.42773438 -0.38476562  0.4921875
  0.328125    0.02929688  0.08789062  0.18164062]"
13,[ 0.54492188  0.57226562  0.05273438 -0.4375    ],[0.         0.         0.0234375  0.39648438],[-0.38867188 -0.41992188  0.56054688  0.1484375 ]
14,[0.         0.26367188],[0.37304688 0.43164062],[-0.421875    0.24609375]
15,[-0.0703125  -0.0390625   0.52734375 -0.28515625],[0.4765625  0.51953125 0.         0.51367188],[-0.2890625  -0.31445312 -0.55078125  0.16210938]
16,[ 0.         -0.05273438 -0.07617188  0.61523438  0.51367188 -0.41015625],[0.47851562 0.51171875 0.58007812 0.         0.16796875 0.50976562],[-0.29492188 -0.22851562 -0.16796875 -0.38085938 -0.28125     0.05078125]
17,"[ 0.26367188 -0.0390625  -0.63671875  0.26367188 -0.24804688 -0.65625
 -0.05273438  0.28515625 -0.28710938 -0.0703125  -0.05664062 -0.24609375]","[0.46875    0.58789062 0.         0.44335938 0.32226562 0.
 0.5390625  0.44140625 0.5        0.50976562 0.60546875 0.4375    ]","[ 0.1640625  -0.15429688 -0.22070312  0.2265625   0.453125   -0.1640625
  0.15039062  0.30859375  0.3125      0.22851562 -0.04882812  0.42382812]"
18,"[ 0.          0.         -0.05273438  0.         -0.14453125 -0.4765625
 -0.45703125 -0.47265625]","[0.44140625 0.58984375 0.4609375  0.57617188 0.30859375 0.1328125
 0.21484375 0.41992188]","[-0.34960938 -0.15234375 -0.31835938 -0.19726562  0.56054688  0.35742188
  0.33984375  0.17773438]"
19,[-0.08789062  0.57226562  0.57421875 -0.43945312 -0.4375     -0.14453125],[0.46679688 0.         0.21875    0.         0.28710938 0.09960938],[-0.30078125 -0.29101562 -0.23046875  0.36523438  0.31054688 -0.6328125 ]
20,[0.         0.         0.53320312],[0.37304688 0.46484375 0.        ],[-0.421875   -0.39453125 -0.45703125]
21,[ 0.         -0.01757812  0.          0.49609375],[0.45117188 0.45507812 0.5        0.        ],[-0.3359375  -0.33007812 -0.34960938 -0.48632812]
22,"[-0.015625    0.          0.         -0.53320312 -0.01757812  0.
  0.         -0.53320312  0.          0.01953125 -0.51367188 -0.29101562
 -0.29882812 -0.3046875   0.59570312 -0.28125    -0.28515625  0.63671875
 -0.28125    -0.3046875   0.59570312]","[0.35351562 0.41992188 0.44726562 0.37304688 0.44335938 0.34179688
 0.36523438 0.3828125  0.38476562 0.41210938 0.390625   0.36914062
 0.43359375 0.47851562 0.         0.46679688 0.51367188 0.
 0.45507812 0.49609375 0.        ]","[-0.375      -0.375      -0.4140625   0.08203125 -0.34570312 -0.44726562
 -0.48828125 -0.015625   -0.41015625 -0.44726562  0.12304688  0.21289062
  0.19921875  0.22265625 -0.45117188  0.140625    0.16210938 -0.41992188
  0.171875    0.18164062 -0.51171875]"
23,"[-0.04882812 -0.05273438 -0.05664062 -0.0625     -0.05273438 -0.19140625
 -0.23828125 -0.03320312 -0.03515625  0.         -0.04882812 -0.03515625
 -0.0390625  -0.0625     -0.06640625 -0.30664062 -0.3515625   0.49609375
  0.53320312 -0.3515625  -0.36132812 -0.29101562 -0.3515625  -0.38085938
  0.5546875  -0.33007812]","[0.35742188 0.40039062 0.42773438 0.24609375 0.42578125 1.15429688
 1.16601562 0.2890625  0.31640625 0.34960938 0.31445312 0.3671875
 0.39453125 0.265625   0.31445312 0.36914062 0.40039062 0.
 0.0390625  0.42773438 0.48632812 0.39453125 0.41796875 0.4609375
 0.         0.59570312]","[-0.36914062 -0.390625   -0.4296875  -0.60546875 -0.36523438  0.34179688
  0.4296875  -0.42578125 -0.46289062 -0.49804688 -0.40625    -0.42382812
 -0.46289062 -0.59765625 -0.625       0.18945312  0.1796875  -0.40429688
 -0.38085938  0.09570312  0.0703125   0.16210938  0.13476562  0.1171875
 -0.44726562  0.17773438]"
24,"[-0.06445312 -0.05273438 -0.07617188 -0.22851562 -0.10546875 -0.29296875
 -0.22851562 -0.27734375 -0.04882812 -0.05273438 -0.07617188 -0.04882812
 -0.05273438 -0.05664062  0.30859375 -0.33789062 -0.36914062 -0.40039062
 -0.38671875 -0.75195312 -0.32226562 -0.3515625   0.3046875  -0.32226562
 -0.3515625   0.3046875  -0.12304688]","[0.41796875 0.45898438 0.47851562 1.18359375 0.50976562 1.13085938
 1.17773438 1.23046875 0.37695312 0.39453125 0.40234375 0.40429688
 0.43164062 0.46289062 0.47070312 0.33007812 0.36523438 0.40234375
 0.27929688 0.         0.37304688 0.4140625  0.4921875  0.35546875
 0.39648438 0.47070312 0.51757812]","[-0.29492188 -0.32226562 -0.36914062  0.18164062 -0.2109375   0.09179688
  0.22070312  0.109375   -0.34960938 -0.3984375  -0.453125   -0.31640625
 -0.35742188 -0.390625    0.33789062  0.20507812  0.21679688  0.22265625
  0.29882812 -1.10742188  0.15039062  0.14648438  0.19335938  0.18945312
  0.1875      0.23828125 -0.38476562]"
25,[-0.19140625 -0.19140625],[1.203125 1.203125],[0.      0.03125]
26,"[-0.26757812  0.02734375  0.         -0.22851562 -0.27734375 -0.22851562
 -0.0703125  -0.05664062 -0.68554688 -0.6484375  -0.29882812  0.51367188]","[1.1875     0.44921875 0.49023438 1.18945312 1.22265625 1.17382812
 0.48242188 0.49804688 0.         0.         0.38671875 0.        ]","[ 0.07617188 -0.71289062 -0.74414062  0.12890625  0.18164062  0.234375
 -0.28125    -0.34570312 -1.19140625 -1.06054688  0.27929688 -0.4609375 ]"
27,"[ 0.2109375  -0.11523438 -0.0625      0.          0.         -0.484375
 -0.57226562  0.          0.22851562  0.22851562 -0.09570312 -0.08203125
 -0.08789062  0.05664062  0.0625      0.32226562  0.30273438 -0.40429688
 -0.08789062  0.07617188]","[0.43945312 0.27148438 0.52734375 0.515625   0.58203125 0.90820312
 0.         0.65820312 0.45703125 0.45703125 0.31054688 0.44140625
 0.11914062 0.55078125 0.640625   0.63085938 0.56054688 0.37304688
 0.         0.55078125]","[ 0.28125    -0.53320312 -0.38671875 -0.66796875 -0.67382812  0.06445312
  1.01171875 -0.59960938  0.234375    0.234375   -0.515625   -0.47851562
 -0.54296875 -0.25585938 -0.125      -0.75       -0.86914062  0.11914062
  0.55664062 -0.24804688]"
28,[-0.03515625  0.         -0.01757812 -0.609375    0.38085938],[0.53320312 0.5        0.51171875 0.         0.        ],[-0.17382812 -0.2578125  -0.23242188 -0.40625    -0.546875  ]
29,"[ 0.31640625  0.32421875 -0.0703125  -0.35546875 -0.33789062  0.31640625
  0.32421875  0.31640625  0.34375    -0.08789062 -0.09570312  0.28125
  0.16210938  0.1015625  -0.0703125  -0.05664062 -0.05273438 -0.07617188]","[0.45507812 0.50585938 0.48242188 0.96484375 1.00390625 0.46484375
 0.515625   0.45898438 0.50390625 0.33789062 0.45507812 0.45507812
 0.76953125 0.82226562 0.06054688 0.20507812 0.18554688 0.37890625]","[ 0.09960938  0.09960938 -0.28125     0.08203125  0.20703125  0.02734375
  0.03320312  0.0703125   0.03125    -0.44140625 -0.39453125  0.17578125
 -0.66796875 -0.69140625  0.5546875  -0.57226562 -0.52929688 -0.47070312]"
30,[0.         0.29882812],[0.34765625 0.32226562],[-0.44140625  0.3515625 ]
31,"[ 0.          0.          0.          0.          0.          0.
  0.29101562 -0.26367188 -0.22851562  0.30664062 -0.24609375 -0.58984375]","[0.4765625  0.49023438 0.41992188 0.44140625 0.45898438 0.49804688
 0.32617188 0.         0.18554688 0.36132812 0.         0.        ]","[-0.19921875 -0.27734375 -0.375      -0.26757812 -0.32617188 -0.3515625
  0.2734375  -0.54882812  0.48046875  0.203125    0.54296875 -0.39453125]"
