frame,x,y,z
0,"[-0.01367188 -0.02929688  0.0390625   0.05273438  0.75585938  0.77539062
  0.79492188  0.8125      0.78710938  0.79296875  0.79882812  0.8046875
  0.          0.          0.25976562  0.25976562  0.26171875 -0.01367188
 -0.03125     0.0390625   0.05664062  0.75585938  0.77539062  0.74414062
  0.76171875  0.78710938  0.79296875  0.79882812  0.8046875   0.
  0.          0.25976562  0.25976562  0.26171875  0.7265625   0.6953125
  0.63867188  0.          0.          0.          0.          0.77539062
  0.79492188  0.79296875  0.79882812  0.2578125   0.25976562 -0.01367188
 -0.02929688  0.04296875  0.75585938  0.77539062  0.79492188  0.8125
  0.78710938  0.79296875  0.79882812  0.8046875   0.25585938  0.
  0.25976562  0.25976562  0.26171875 -1.85351562]","[0.02734375 0.03125    0.0859375  0.13867188 1.27539062 1.30664062
 1.33984375 1.38085938 4.88671875 4.91992188 4.95117188 4.98242188
 8.01171875 8.109375   8.21875    8.23632812 8.14648438 0.02929688
 0.03515625 0.078125   0.13085938 1.24804688 1.27929688 1.34179688
 1.38671875 4.81640625 4.84960938 4.87890625 4.90625    7.88671875
 8.0078125  8.14453125 8.14648438 8.         1.27539062 1.3203125
 4.81835938 7.6953125  7.85351562 8.01757812 8.00585938 1.33984375
 1.37109375 5.00195312 5.03515625 8.22851562 8.28125    0.0234375
 0.015625   0.08398438 1.29296875 1.32617188 1.359375   1.3984375
 4.93554688 4.96875    5.00195312 5.03710938 8.11328125 8.18359375
 8.26367188 8.29296875 8.25585938 8.19921875]","[-0.0234375  -0.0625      0.06445312  0.03515625  0.3046875   0.31054688
  0.31054688  0.27734375  0.91015625  0.93359375  0.97070312  1.
  1.79492188  1.50195312  1.01757812  1.171875    1.86132812 -0.01953125
 -0.06054688  0.07226562  0.05273438  0.40039062  0.40820312  0.41210938
  0.38085938  1.2265625   1.24804688  1.28320312  1.32617188  2.27734375
  1.97851562  1.5         1.68945312  2.41992188  0.5         0.546875
  1.57226562  2.86328125  2.52148438  2.08789062  2.27929688  0.09179688
  0.12109375  0.24023438  0.3046875   0.50195312  0.09960938 -0.02539062
 -0.06835938  0.0625      0.20898438  0.21289062  0.2109375   0.17773438
  0.5859375   0.61523438  0.65429688  0.67578125  1.22851562  1.03320312
  0.52929688  0.65429688  1.30273438  1.0703125 ]"
1,"[-0.01367188 -0.03125     0.0390625   0.05664062  0.75585938  0.77539062
  0.79492188  0.8125      0.78710938  0.79296875  0.79882812  0.8046875
  0.          0.          0.25976562  0.25976562  0.26171875 -0.01367188
 -0.03125     0.0390625   0.05664062  0.75585938  0.77539062  0.74414062
  0.76171875  0.78710938  0.79296875  0.79882812  0.8046875   0.
  0.          0.25976562  0.25976562  0.26171875  0.7265625   0.6953125
  0.6328125   0.63867188  0.          0.          0.          0.
  0.7265625   0.79492188  0.79296875  0.79882812  0.2578125   0.25976562
  0.25976562 -0.01367188 -0.02929688  0.04296875  0.05664062  0.75585938
  0.77539062  0.79492188  0.8125      0.78710938  0.79296875  0.79882812
  0.8046875   0.25585938  0.2578125   0.25976562]","[0.02734375 0.02148438 0.0859375  0.1328125  1.27539062 1.30664062
 1.33984375 1.38085938 4.88867188 4.921875   4.95117188 4.984375
 8.00976562 8.109375   8.21875    8.23632812 8.1484375  0.02929688
 0.03515625 0.078125   0.13085938 1.25       1.28125    1.34179688
 1.38476562 4.81835938 4.8515625  4.87890625 4.91210938 7.88867188
 8.00976562 8.14453125 8.14648438 7.99804688 1.26757812 1.328125
 4.77539062 4.8359375  7.796875   7.9140625  8.04296875 8.02539062
 1.36132812 1.37109375 5.         5.0234375  8.23046875 8.28125
 8.31835938 0.0234375  0.01757812 0.08398438 0.13671875 1.29492188
 1.32617188 1.359375   1.3984375  4.9375     4.97070312 5.00195312
 5.03710938 8.11328125 8.19335938 8.265625  ]","[-0.0234375  -0.06640625  0.06445312  0.04296875  0.30078125  0.30859375
  0.31054688  0.27734375  0.8984375   0.92773438  0.97070312  0.99609375
  1.8046875   1.5078125   1.01367188  1.16796875  1.859375   -0.01953125
 -0.06054688  0.07421875  0.05273438  0.39453125  0.40625     0.41210938
  0.38085938  1.21484375  1.2421875   1.28515625  1.30664062  2.2734375
  1.97070312  1.49609375  1.68945312  2.421875    0.52148438  0.52929688
  1.58203125  1.51367188  2.5703125   2.32226562  1.9921875   2.20898438
  0.15234375  0.12109375  0.27929688  0.47460938  0.45703125  0.01171875
  0.01757812 -0.02539062 -0.06835938  0.0625      0.03125     0.20703125
  0.21289062  0.2109375   0.17382812  0.56835938  0.61328125  0.65625
  0.671875    1.234375    0.91796875  0.52734375]"
2,"[-0.01367188 -0.02929688  0.0390625   0.05664062  0.75585938  0.77539062
  0.79492188  0.8125      0.78710938  0.79296875  0.79882812  0.8046875
  0.          0.          0.25976562  0.25976562  0.26171875 -0.01367188
 -0.03125     0.0390625   0.05664062  0.75585938  0.77539062  0.74414062
  0.76171875  0.78710938  0.6328125   0.79882812  0.8046875   0.
  0.          0.25976562  0.25976562  0.26171875 -1.85351562  0.7265625
  0.6953125   0.6328125   0.63867188  0.          0.          0.
  0.7265625   0.79492188  0.79296875  0.79882812  0.2578125   0.25976562
  0.25976562 -0.01367188 -0.02929688  0.04296875  0.05664062  0.75585938
  0.77539062  0.79492188  0.8125      0.78710938  0.79296875  0.79882812
  0.8046875   0.25585938  0.          0.25976562]","[0.02734375 0.03125    0.0859375  0.13476562 1.27539062 1.30859375
 1.34179688 1.3828125  4.88867188 4.921875   4.95117188 4.98242188
 8.00976562 8.109375   8.21875    8.23632812 8.1484375  0.02929688
 0.03320312 0.078125   0.13085938 1.25       1.28125    1.34179688
 1.38671875 4.82226562 4.875      4.88085938 4.90625    7.88671875
 8.0078125  8.14453125 8.14648438 7.99804688 7.984375   1.26953125
 1.33398438 4.83007812 4.82617188 7.88867188 8.0234375  8.02148438
 1.36914062 1.37304688 5.00195312 5.04101562 8.23046875 8.28125
 8.31835938 0.0234375  0.015625   0.08398438 0.13671875 1.29492188
 1.32617188 1.359375   1.3984375  4.9375     4.97070312 5.00390625
 5.03710938 8.11328125 8.18164062 8.265625  ]","[-0.0234375  -0.0625      0.06445312  0.04101562  0.30078125  0.30859375
  0.30859375  0.27148438  0.89453125  0.921875    0.96484375  1.00195312
  1.80664062  1.5078125   1.015625    1.16796875  1.85546875 -0.01953125
 -0.06054688  0.07421875  0.05273438  0.39648438  0.40429688  0.40820312
  0.375       1.20507812  1.23828125  1.27734375  1.32617188  2.27929688
  1.97851562  1.5         1.6875      2.42382812  2.15625     0.51367188
  0.51171875  1.40625     1.546875    2.40820312  2.07226562  2.21875
  0.07421875  0.08007812  0.24023438  0.18359375  0.484375    0.02929688
  0.03125    -0.02539062 -0.06835938  0.0625      0.03125     0.203125
  0.20898438  0.20898438  0.171875    0.57226562  0.59765625  0.64453125
  0.68164062  1.2265625   1.04101562  0.52734375]"
3,"[-0.01367188 -0.03125    -0.05273438  0.05273438  0.75585938  0.77539062
  0.79492188  0.8125      0.78710938  0.79296875  0.79882812  0.8046875
  0.25585938  0.          0.25976562  0.25976562  0.26171875 -0.01367188
 -0.03125     0.0390625   0.05664062  0.75585938  0.77539062  0.74414062
  0.76171875  0.62890625  0.6328125   0.79882812  0.8046875   0.
  0.          0.25976562  0.25976562  0.26171875  0.7265625   0.6953125
  0.47460938  0.63867188  0.          0.          0.          0.7265625
  0.79492188  0.79296875  0.79882812  0.25585938  0.2578125   0.25976562
  0.25976562 -0.01367188 -0.02929688  0.04296875  0.05664062  0.75585938
  0.77539062  0.79492188  0.8125      0.78710938  0.79296875  0.79882812
  0.8046875   0.25585938  0.          0.25976562]","[0.02734375 0.02148438 0.01953125 0.13671875 1.27539062 1.30664062
 1.33984375 1.38085938 4.88671875 4.91992188 4.95117188 4.984375
 8.02929688 8.109375   8.21875    8.23632812 8.14648438 0.02929688
 0.03320312 0.078125   0.13085938 1.24804688 1.28125    1.34179688
 1.38671875 4.84375    4.87304688 4.87890625 4.9140625  7.88867188
 8.0078125  8.14257812 8.14648438 7.99414062 1.26953125 1.33398438
 4.75585938 4.81835938 7.8515625  8.01953125 7.99609375 1.36328125
 1.37109375 5.00195312 5.0234375  8.15625    8.23046875 8.28125
 8.31445312 0.0234375  0.015625   0.08398438 0.13671875 1.29492188
 1.32617188 1.359375   1.3984375  4.93554688 4.96875    5.00195312
 5.03515625 8.11523438 8.18359375 8.265625  ]","[-0.0234375  -0.06640625  0.09765625  0.03515625  0.29882812  0.30859375
  0.31054688  0.27539062  0.90429688  0.92773438  0.96875     0.99023438
  1.68945312  1.50585938  1.015625    1.171875    1.86523438 -0.01953125
 -0.06054688  0.07421875  0.05273438  0.3984375   0.40625     0.41210938
  0.38085938  1.21289062  1.24804688  1.28125     1.296875    2.2734375
  1.9765625   1.5078125   1.69140625  2.43554688  0.51367188  0.51171875
  1.68945312  1.57226562  2.5234375   2.08398438  2.31054688  0.1328125
  0.12109375  0.24023438  0.46289062  0.90820312  0.45703125  0.0625
  0.25585938 -0.02539062 -0.06835938  0.0625      0.03125     0.20703125
  0.21289062  0.2109375   0.17382812  0.578125    0.61328125  0.65429688
  0.68945312  1.21875     1.03125     0.52929688]"
4,"[-0.01367188 -0.03125     0.0390625   0.05273438  0.75585938  0.77539062
  0.79492188  0.8125      0.78710938  0.79296875  0.79882812  0.8046875
  0.          0.          0.25976562  0.25976562  0.26171875 -0.01367188
 -0.03125     0.0390625   0.75585938  0.77539062  0.74414062  0.76171875
  0.62890625  0.79296875  0.79882812  0.8046875   0.          0.
  0.25976562  0.25976562  0.26171875 -1.85351562  0.70898438  0.7265625
  0.74414062  0.79296875  0.63867188  0.          0.          0.
  0.77539062  0.79492188  0.79296875  0.79882812  0.25585938  0.2578125
  0.25976562  0.25976562 -0.01367188 -0.02929688  0.04296875  0.05273438
  0.75585938  0.77539062  0.79492188  0.8125      0.78710938  0.79296875
  0.79882812  0.8046875   0.25585938  0.2578125 ]","[0.02734375 0.02148438 0.08398438 0.13671875 1.27539062 1.30664062
 1.34179688 1.3828125  4.88867188 4.91992188 4.95117188 4.984375
 8.01171875 8.109375   8.21875    8.23632812 8.14648438 0.02929688
 0.03320312 0.07617188 1.25       1.28125    1.34179688 1.38671875
 4.83984375 4.84765625 4.87890625 4.91015625 7.890625   8.0078125
 8.14453125 8.14648438 7.99609375 7.984375   1.24609375 1.27148438
 1.30664062 4.73242188 4.77734375 7.83398438 8.01757812 8.05859375
 1.33789062 1.37109375 5.         5.04101562 8.18554688 8.23828125
 8.27929688 8.31835938 0.0234375  0.015625   0.08398438 0.140625
 1.29492188 1.32617188 1.359375   1.3984375  4.93554688 4.97070312
 5.00195312 5.03515625 8.1171875  8.19335938]","[-0.0234375  -0.06640625  0.06445312  0.03515625  0.30078125  0.30859375
  0.30859375  0.2734375   0.90039062  0.93164062  0.96875     0.99609375
  1.79101562  1.50390625  1.01367188  1.16796875  1.86132812 -0.01953125
 -0.06054688  0.07421875  0.39648438  0.40625     0.41015625  0.38085938
  1.22460938  1.25195312  1.28125     1.31445312  2.265625    1.97265625
  1.49804688  1.68945312  2.4296875   2.15234375  0.48242188  0.51367188
  0.50976562  1.63476562  1.69335938  2.57617188  2.08789062  2.08007812
  0.12890625  0.12109375  0.27929688  0.19335938  0.57617188  0.30664062
 -0.16015625  0.02148438 -0.02539062 -0.06835938  0.0625      0.02539062
  0.20507812  0.2109375   0.2109375   0.17382812  0.57617188  0.609375
  0.65039062  0.6875      1.203125    0.90625   ]"
5,"[-0.01367188 -0.03125     0.0390625   0.05273438  0.75585938  0.77539062
  0.79492188  0.8125      0.78710938  0.79296875  0.79882812  0.8046875
  0.          0.          0.25976562  0.25976562  0.26171875 -0.01367188
 -0.03125     0.0390625   0.05273438  0.75585938  0.77539062  0.79492188
  0.76171875  0.62890625  0.79296875  0.79882812  0.8046875   0.
  0.          0.25976562  0.25976562  0.26171875  0.7265625   0.74414062
  0.6328125   0.63867188  0.          0.          0.          0.77539062
  0.79492188  0.63867188  0.2578125   0.25976562  0.25976562 -0.01367188
 -0.02929688  0.04296875  0.05664062  0.75585938  0.77539062  0.79492188
  0.8125      0.78710938  0.79296875  0.79882812  0.8046875   0.25585938
  0.2578125   0.25976562  0.25976562  0.26171875]","[0.02734375 0.02148438 0.08398438 0.13671875 1.27539062 1.30664062
 1.34179688 1.38085938 4.88671875 4.91992188 4.95117188 4.98242188
 8.01367188 8.109375   8.21875    8.23632812 8.14648438 0.02929688
 0.03320312 0.07617188 0.13476562 1.24804688 1.28125    1.31445312
 1.38671875 4.84375    4.8515625  4.87890625 4.90625    7.890625
 8.0078125  8.14453125 8.14453125 7.99609375 1.27148438 1.3125
 4.765625   4.83984375 7.8828125  8.05664062 8.01367188 1.33984375
 1.37109375 5.05859375 8.22851562 8.28125    8.31835938 0.0234375
 0.015625   0.08398438 0.13671875 1.29492188 1.32617188 1.359375
 1.3984375  4.93359375 4.96875    5.00195312 5.03515625 8.1171875
 8.19335938 8.265625   8.29296875 8.25585938]","[-0.0234375  -0.06640625  0.06445312  0.03515625  0.30078125  0.30859375
  0.30859375  0.27539062  0.90234375  0.93164062  0.97070312  1.00390625
  1.78710938  1.5         1.01367188  1.16992188  1.86523438 -0.01953125
 -0.06054688  0.07421875  0.046875    0.3984375   0.40625     0.40429688
  0.37695312  1.20898438  1.2421875   1.28320312  1.32421875  2.26953125
  1.97460938  1.5         1.69726562  2.43164062  0.51367188  0.5
  1.609375    1.50195312  2.42773438  1.93359375  2.24804688  0.10351562
  0.12109375  0.28320312  0.50390625 -0.06445312  0.09179688 -0.02539062
 -0.06835938  0.0625      0.03125     0.20507812  0.2109375   0.20898438
  0.17773438  0.59765625  0.61914062  0.66015625  0.69335938  1.20117188
  0.90625     0.52539062  0.65039062  1.296875  ]"
6,"[-0.01367188 -0.03125     0.0390625   0.05273438  0.75585938  0.77539062
  0.79492188  0.8125      0.78710938  0.79296875  0.79882812  0.8046875
  0.25585938  0.          0.          0.25976562  0.26171875 -1.85351562
 -0.01367188 -0.03125     0.0390625   0.05273438  0.75585938  0.77539062
  0.74414062  0.8125      0.78710938  0.6328125   0.79882812  0.8046875
  0.          0.          0.          0.25976562  0.26171875 -1.85351562
  0.7265625   0.74414062  0.6328125   0.63867188  0.          0.
  0.          0.          0.77539062  0.79492188  0.95117188  0.79882812
  0.25585938  0.2578125   0.25976562  0.25976562 -0.01367188 -0.02929688
  0.04296875  0.05273438  0.75585938  0.77539062  0.79492188  0.8125
  0.94335938  0.79296875  0.79882812  0.8046875 ]","[0.02734375 0.02148438 0.0859375  0.13867188 1.27539062 1.30664062
 1.33984375 1.38085938 4.88867188 4.91992188 4.95117188 4.98046875
 8.02929688 8.10742188 8.2109375  8.23632812 8.14648438 8.11328125
 0.02929688 0.03320312 0.078125   0.13476562 1.24804688 1.28125
 1.34179688 1.35742188 4.81445312 4.87109375 4.87695312 4.90625
 7.88867188 8.00585938 8.1328125  8.14648438 7.99414062 7.98632812
 1.28125    1.31445312 4.78320312 4.78710938 7.75976562 7.85742188
 8.02929688 8.00390625 1.33789062 1.37304688 4.96289062 5.02734375
 8.15429688 8.22265625 8.27929688 8.31835938 0.0234375  0.01757812
 0.08398438 0.140625   1.29296875 1.32617188 1.359375   1.3984375
 4.90820312 4.96875    5.00195312 5.03515625]","[-0.0234375  -0.06640625  0.06445312  0.03515625  0.3046875   0.30859375
  0.31054688  0.27539062  0.89648438  0.9296875   0.96875     1.0078125
  1.6953125   1.50976562  1.10351562  1.171875    1.86132812  1.59570312
 -0.01953125 -0.06054688  0.07421875  0.046875    0.3984375   0.40429688
  0.41015625  0.37304688  1.23046875  1.25195312  1.28710938  1.32421875
  2.27734375  1.98242188  1.5859375   1.69140625  2.43554688  2.14648438
  0.48632812  0.4921875   1.55859375  1.66210938  2.67773438  2.50585938
  2.046875    2.28515625  0.1171875   0.10546875  0.3984375   0.42773438
  0.91992188  0.57617188  0.20507812  0.08789062 -0.02539062 -0.06835938
  0.0625      0.0234375   0.20898438  0.21289062  0.2109375   0.171875
  0.58789062  0.61914062  0.66015625  0.69335938]"
7,"[-0.01367188 -0.03125    -0.05273438  0.05273438  0.75585938  0.7265625
  0.79492188  0.78710938  0.79296875  0.63867188  0.8046875   0.25585938
  0.          0.25976562  0.25976562  0.26171875 -1.85351562 -0.01367188
 -0.03125     0.0390625   0.05664062  0.75585938  0.77539062  0.74414062
  0.78710938  0.79296875  0.63867188  0.64257812  0.          0.
  0.          0.          0.         -1.85351562  0.67773438  0.74414062
  0.6328125   0.63867188  0.          0.          0.          0.77539062
  0.74414062  0.79296875  0.79882812  0.25585938  0.2578125   0.25976562
  0.51953125 -0.01367188 -0.02929688  0.04296875  0.05273438  0.75585938
  0.77539062  0.79492188  0.78710938  0.79296875  0.79882812  0.8046875
  0.25585938  0.2578125   0.25976562  0.25976562]","[0.02734375 0.02148438 0.01953125 0.13671875 1.27539062 1.33398438
 1.33984375 4.88476562 4.91992188 4.97070312 4.98632812 8.02929688
 8.10742188 8.21679688 8.234375   8.14257812 8.10351562 0.02929688
 0.03320312 0.078125   0.13085938 1.24804688 1.27929688 1.34179688
 4.81640625 4.84960938 4.90039062 4.93164062 7.890625   8.00585938
 8.12890625 8.15234375 8.03320312 7.97460938 1.29296875 1.30078125
 4.80859375 4.85742188 7.87304688 7.9921875  8.00390625 1.33984375
 1.3984375  4.9921875  5.03125    8.16210938 8.22851562 8.28125
 8.3046875  0.0234375  0.015625   0.08398438 0.140625   1.29296875
 1.32617188 1.359375   4.93554688 4.96875    5.00195312 5.03710938
 8.11523438 8.19140625 8.26367188 8.29296875]","[-0.0234375  -0.06640625  0.09765625  0.03515625  0.3046875   0.31054688
  0.3125      0.9140625   0.93359375  0.98242188  0.98632812  1.68945312
  1.515625    1.02734375  1.18164062  1.88085938  1.64648438 -0.01953125
 -0.06054688  0.07421875  0.05078125  0.3984375   0.40820312  0.4140625
  1.2265625   1.24609375  1.29296875  1.31835938  2.26367188  1.98242188
  1.59960938  1.6796875   2.31835938  2.18554688  0.5234375   0.52539062
  1.4765625   1.4453125   2.45507812  2.1875      2.28515625  0.10742188
  0.11328125  0.3828125   0.3671875   0.84179688  0.5078125   0.06445312
  0.1875     -0.02539062 -0.06835938  0.0625      0.0234375   0.2109375
  0.21289062  0.21484375  0.59179688  0.61914062  0.65625     0.671875
  1.21289062  0.921875    0.546875    0.6640625 ]"
8,"[-0.01367188 -0.03125     0.0390625   0.05273438  0.8046875   0.77539062
  0.74414062  0.78710938  0.6328125   0.79882812  0.8046875   0.25585938
  0.2578125   0.25976562  0.25976562  0.26171875 -0.01367188 -0.03125
  0.0390625   0.046875    0.75585938  0.7265625   0.74414062  0.76171875
  0.62890625  0.79296875  0.63867188  0.8046875   0.          0.
  0.          0.25976562  0.26171875 -1.85351562  0.7265625   0.74414062
  0.6328125   0.63867188  0.          0.          0.82421875  0.79492188
  0.79296875  0.63867188  0.25585938  0.2578125   0.25976562  0.25976562
 -0.01367188 -0.02929688  0.04296875  0.05273438  0.75585938  0.77539062
  0.79492188  0.78710938  0.79296875  0.79882812  0.8046875   0.25585938
  0.2578125   0.          0.25976562  0.26171875]","[0.02734375 0.02148438 0.08398438 0.13867188 1.24609375 1.30664062
 1.3671875  4.88867188 4.94140625 4.95117188 4.984375   8.03125
 8.12695312 8.21875    8.23632812 8.14257812 0.02929688 0.03320312
 0.078125   0.13867188 1.25       1.30859375 1.34179688 1.38476562
 4.84179688 4.84960938 4.8984375  4.91210938 7.890625   8.0078125
 8.13085938 8.14453125 7.98828125 7.97851562 1.26953125 1.31054688
 4.73242188 4.7890625  7.84570312 7.984375   1.30859375 1.37109375
 4.99804688 5.06054688 8.16796875 8.23242188 8.28125    8.31640625
 0.0234375  0.015625   0.08398438 0.140625   1.29296875 1.32617188
 1.359375   4.93554688 4.96875    5.00195312 5.03515625 8.1171875
 8.19335938 8.26171875 8.29296875 8.25195312]","[-0.0234375  -0.06640625  0.06445312  0.03320312  0.30273438  0.30859375
  0.31445312  0.90039062  0.93554688  0.96679688  0.99414062  1.6875
  1.3828125   1.0234375   1.17773438  1.88085938 -0.01953125 -0.06054688
  0.07226562  0.04101562  0.39648438  0.40820312  0.41210938  0.38476562
  1.21679688  1.24609375  1.29882812  1.30273438  2.26367188  1.97460938
  1.59375     1.70117188  2.453125    2.17382812  0.51367188  0.5
  1.70117188  1.66015625  2.54101562  2.21484375  0.12695312  0.10742188
  0.31640625  0.27539062  0.78320312  0.43164062  0.08398438  0.1953125
 -0.02539062 -0.06835938  0.06445312  0.02148438  0.20898438  0.21289062
  0.21484375  0.5859375   0.61523438  0.65234375  0.68554688  1.20898438
  0.91601562  0.62109375  0.66015625  1.32421875]"
9,"[-0.01367188 -0.03125     0.0390625   0.05273438  0.75585938  0.77539062
  0.74414062  0.78710938  0.79296875  0.79882812  0.8046875   0.25585938
  0.2578125   0.25976562  0.25976562  0.26171875 -1.58984375 -0.01367188
 -0.03125     0.0390625   0.75585938  0.77539062  0.74414062  0.78710938
  0.6328125   0.79882812  0.64257812  0.          0.          0.25976562
  0.25976562  0.26171875 -1.85351562  0.7265625   0.6953125   0.79296875
  0.63867188  0.          0.          0.          0.          0.77539062
  0.79492188  0.79296875  0.79882812  0.2578125   0.25976562 -0.01367188
 -0.02929688  0.04296875  0.75585938  0.77539062  0.79492188  0.78710938
  0.79296875  0.79882812  0.64257812  0.25585938  0.2578125   0.25976562
  0.25976562  0.26171875 -1.58984375 -0.03515625]","[2.73437500e-02 2.14843750e-02 8.59375000e-02 1.36718750e-01
 1.27539062e+00 1.30859375e+00 1.36718750e+00 4.88671875e+00
 4.91992188e+00 4.95117188e+00 4.98242188e+00 8.03125000e+00
 8.12695312e+00 8.21875000e+00 8.23632812e+00 8.14257812e+00
 8.15039062e+00 2.92968750e-02 3.32031250e-02 7.81250000e-02
 1.25000000e+00 1.28125000e+00 1.34179688e+00 4.81835938e+00
 4.87304688e+00 4.88085938e+00 4.93164062e+00 7.89257812e+00
 8.00585938e+00 8.14257812e+00 8.14453125e+00 7.98828125e+00
 7.96875000e+00 1.27929688e+00 1.33789062e+00 4.80664062e+00
 4.86328125e+00 7.60546875e+00 7.84765625e+00 7.99023438e+00
 8.02343750e+00 1.33984375e+00 1.37304688e+00 4.98437500e+00
 5.02929688e+00 8.23632812e+00 8.28125000e+00 2.34375000e-02
 1.56250000e-02 8.39843750e-02 1.29492188e+00 1.32617188e+00
 1.35937500e+00 4.93359375e+00 4.96875000e+00 5.00195312e+00
 5.05664062e+00 8.11718750e+00 8.19335938e+00 8.26367188e+00
 8.29296875e+00 8.25195312e+00 8.24414062e+00 3.90625000e-03]","[-0.0234375  -0.06640625  0.06445312  0.03515625  0.29882812  0.30664062
  0.31445312  0.90820312  0.92773438  0.96679688  1.          1.6796875
  1.3828125   1.02148438  1.17773438  1.8828125   1.69726562 -0.01953125
 -0.06054688  0.07421875  0.39257812  0.40429688  0.41210938  1.22070312
  1.24609375  1.27734375  1.32226562  2.26171875  1.98046875  1.50976562
  1.69921875  2.45507812  2.21289062  0.49023438  0.50195312  1.40039062
  1.42578125  3.09179688  2.53515625  2.19140625  2.21679688  0.08398438
  0.1015625   0.48828125  0.38476562  0.36914062  0.01171875 -0.02539062
 -0.06835938  0.0625      0.203125    0.2109375   0.2109375   0.59765625
  0.6171875   0.65234375  0.70117188  1.20507812  0.90625     0.53320312
  0.65429688  1.31835938  1.15625     0.01171875]"
